Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
1.020108128,6155,2.2941002977502267e-05,36971,2.04373045735569,43126
2.026538733,6155,3.090809545935354e-05,42331,4.412013993104678,48486
3.022605047,6155,3.4835358708512296e-05,51838,6.868634726311986,57993
4.023462011,6155,3.5789033024918546e-05,62700,9.347091338620338,68855
5.040713995,6155,3.7696381657731046e-05,74530,11.744453705613287,80685
6.037926075,6155,4.210048206509293e-05,83208,14.31530240919126,89362
7.155778628,6155,4.305415638149918e-05,89115,16.83875293250863,94149
8.1368595,6155,4.3530993539702304e-05,96814,19.31700631574796,101382
9.127878735,6155,4.5438342172514804e-05,104175,21.915594672822017,109048
10.0857632,6155,4.774071564126966e-05,110237,24.499283209566958,115285
11.069314922,6155,4.869438995767591e-05,115466,27.073862402829306,120598
12.07592451,6155,5.2032250065097785e-05,125309,29.5032538849256,129302
13.076769266,6155,5.2985924381504035e-05,141800,32.05274986092271,144294
14.055123172,6155,5.2985924381504035e-05,153334,34.46903943580687,156940
15.064959012,6155,0.0020530625634357686,163726,37.0310822718639,168545
16.069656889,19082,0.020949143416293628,169651,39.65991052875154,186187
17.094558677,36391,0.045156664479410316,176761,42.13058633408124,206522
18.076646554,36391,0.04772647742671122,191431,44.750831888185004,218175
19.088218205,36391,0.04782373889005525,204166,47.21640725047236,232878
20.098657689,36391,0.04795848416947381,212795,49.82967422272152,241901
21.089429105,36391,0.048124659453183165,222621,52.49089757832396,250450
22.104970109,36391,0.04822309261041976,233435,54.89623614290784,258434
23.108852233,36391,0.0535688651336256,239112,55.68786170548492,269248
24.12783168,39080,0.07860111235395356,239388,55.81741671591353,275201
25.107104019,40957,0.6563810780451379,239728,55.87354038318685,279743
26.096652463,41291,1.2097976641769925,241707,57.81192108883235,280463
27.097755117,41348,1.6510312416378896,244636,58.76325338704464,283330
28.110461215,42148,2.1842924106156087,248124,60.53631589644192,289249
29.101891256,43242,2.7373210254772475,252196,63.04419200979201,292561
30.09911796,44317,3.3327796373393235,252639,65.45747601569443,294448
31.098001991,45687,3.877186913509198,255342,68.02626166833836,296711
32.102666037,45932,4.395154163269566,260239,70.4721034222654,299252
33.109609309,46050,4.923093557905094,265388,72.88990876684343,304099
34.132790678,46529,5.266014237599058,270596,75.4308504926438,306544
35.166530923,46536,5.658099383551006,278858,77.9710654904073,312177
36.150827494,46920,6.242641302109234,286129,80.39792695587336,319467
37.163937642,47337,6.828242988766019,293636,82.95015350665442,327939
38.144750012,48245,7.48123097558871,300718,85.49500567532343,335836
39.168198114,49167,8.066995628468927,307863,87.90961590466023,340846
40.146010791,50367,8.629392442033566,314906,90.46442026990444,348855
41.139779903,51770,9.248666081746668,320546,93.01688236374078,358556
42.157545736,53091,9.846353906470156,327579,95.49267951860084,366991
43.179031597,54514,10.387692118369017,334563,97.96043136757096,374240
44.178180573,55945,10.9643186803317,341959,100.28190973295996,378392
45.206078668,57061,11.583914950969188,344387,100.53614232320989,390982
46.178836887,58208,12.129641699176608,346654,100.71828944388811,396796
47.194874434,59381,12.63371485037775,346680,100.87150039088957,401428
48.180057071,61943,13.025658341867706,341154,102.92472523819995,402601
49.227950316,63909,13.061440486269435,338223,105.49850297970896,403773
