Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
1.007494137,0,0,700,0.0,0
2.006752693,0,0,700,0.0,0
3.005517942,0,0,700,0.0061604876186875665,0
4.004572266,0,0,17770,1.956092450328694,0
5.007920765,0,0,34706,4.515162909109806,0
6.006271443,0,0,40803,7.022404962732336,0
7.010836707,0,0,48865,9.363130393593194,0
8.009297153,0,0,59076,11.828119817548375,0
9.011331283,0,0,72120,14.342845586747236,0
10.012665413,0,0,81663,16.7723194177569,0
11.012080615,0,0,87994,19.429512797041138,0
12.016929984,0,0,93515,22.040245204216546,0
13.025596598,0,0,102894,24.505033300450197,0
14.013298409,0,0,108132,26.966459287462143,0
15.016179951,0,0,114443,29.53780306062166,0
16.018938294,0,0,120392,32.093900106294306,0
17.022526813,0,0,134980,34.52459830984146,0
18.02582639,0,0,150786,37.07050454218093,0
19.0275772,0,0,160981,39.49940634340331,0
20.027260268,0,0,167134,42.10681996054889,0
21.041440895,0,0,174007,44.73011514018945,0
22.034983072,0,0,188411,47.19567471642136,0
23.037714172,0,0,201943,49.81926486532228,0
24.046586983,0,0,211050,52.40784912395467,0
25.046640516,0,0,220409,54.91386096265015,0
26.035247304,0,0,233435,57.533608072544034,0
27.036271726,0,0,238303,58.75784842201699,0
28.035649724,0,0,239388,58.896523885945484,0
29.037033884,0,0,239728,58.98093385532872,0
30.037843453,0,0,240709,60.41573811821855,0
31.061515753,0,0,243012,61.85003522910902,0
32.038990394,0,0,246299,63.049473836708934,0
33.039233359,0,0,251714,65.53754235365372,0
34.056579814,0,0,252531,68.07670755494934,0
35.036750462,0,0,254594,70.52171677534717,0
36.04132986,0,0,259200,72.97355731729832,0
37.040092938,0,0,263932,75.50944499667249,0
38.040289313,0,0,270596,78.05815958960969,0
39.051441893,0,0,277259,80.46682796641235,0
40.046861835,0,0,283915,83.01559991973716,0
41.070903594,0,0,291048,85.57834027389082,0
42.048690013,0,0,297622,87.98837509014375,0
43.073782724,0,0,304523,90.52787475439762,0
44.0782974,0,0,311682,93.08263973794139,0
45.052744397,0,0,318686,95.5096844311927,0
46.056084344,0,0,324122,97.9744378892935,0
47.063786443,0,0,331044,100.57454617742894,0
48.071847713,0,0,338558,103.01575502705339,0
49.074623705,0,0,343650,103.66941398826428,0
50.066409565,0,0,346032,103.85149656526058,0
51.064250099,0,0,346042,103.95024282808849,0
52.058750019,0,0,340513,105.4090978502854,0
53.066610396,0,0,339504,107.99227976811942,0
54.065070865,0,0,339549,110.56275464358454,0
55.065735051,0,0,339585,113.0123510035844,0
56.118077665,0,0,340477,115.45213971012035,0
57.076724103,0,0,341578,118.027847503255,0
58.061161816,0,0,342595,120.45031372196183,0
59.103948349,0,0,342628,123.01815107405977,0
60.116850228,0,0,342758,125.44936133774753,0
61.076271124,0,0,342008,128.1505844400745,0
62.062014223,0,0,342025,130.65098392392161,0
63.069124945,0,0,342192,133.27422170033066,0
64.073662104,0,0,342197,135.72757489128475,0
65.058546879,0,0,342224,138.28938639845194,0
66.076186049,0,0,343191,140.7234111047569,0
67.057241524,0,0,343373,143.26835154453545,0
68.07513963,0,0,343408,145.82808017694813,0
69.059252465,0,0,341530,148.24807469900145,0
70.064551026,0,0,341550,150.73390757693358,0
71.063765517,0,0,341738,153.1045855146776,0
72.060773105,0,0,342077,155.59566235499793,0
73.088017825,0,0,342388,158.00429403415518,0
74.061702998,0,0,342534,160.4539102015918,0
75.065020484,0,0,343726,163.1021080380868,0
76.066185531,0,0,348478,165.74541941149423,0
77.063094491,0,0,355508,168.21964096679528,0
78.070480885,0,0,361976,170.73190267548404,0
79.063919654,0,0,367132,173.384218514757,0
80.085728464,0,0,374350,175.90747651514818,0
81.088093262,0,0,380931,178.52158218609537,0
82.076447091,0,0,382511,180.99545691957474,0
83.063656761,0,0,384015,183.58223415736697,0
84.06647652,0,0,390751,186.02159834065188,0
85.08659272,0,0,393726,188.58077378901933,0
86.068508186,0,0,393726,191.02336333266072,0
87.08308721,0,0,398842,193.58093448833887,0
88.063081119,0,0,405379,196.01453634910914,0
89.106402364,0,0,409333,198.56348215949484,0
90.077246967,0,0,417832,200.90781455551144,0
91.069692383,0,0,417832,201.38077750776182,0
92.065578525,0,0,417832,203.82143978489344,0
93.080175783,0,0,430481,206.39945883546392,0
94.070839339,0,0,433182,208.86425652771405,0
95.073294035,0,0,447951,211.2932904405213,0
96.067225859,0,0,452713,213.8623425503981,0
97.067510328,0,0,452713,216.4225652888288,0
98.110926172,0,0,470927,218.83795022231948,0
99.068980138,0,0,481568,221.39281684922915,0
100.078237458,0,0,487688,223.9050091665117,0
101.091113732,0,0,493036,226.26779006398863,0
102.070095206,0,0,499826,228.6271460743557,0
103.064944278,0,0,499826,231.13291354443072,0
104.080226465,0,0,510227,233.55309319929896,0
105.090991499,0,0,518588,235.9929973402206,0
106.067349766,0,0,525366,238.60890488078059,0
107.080810637,0,0,535945,241.05246247298766,0
108.105032663,0,0,541633,243.61826657015624,0
109.071788083,0,0,544236,246.06994274094922,0
110.082925259,0,0,550022,248.62030319754157,0
111.085642039,0,0,557971,251.06979155948042,0
112.078123717,0,0,563768,253.5100042565717,0
113.084339192,0,0,571055,256.0825415511566,0
114.084389433,0,0,581857,258.5413248712074,0
115.090892253,0,0,591218,261.00286362045324,0
116.129511148,0,0,595136,263.57852521558493,0
117.140020701,0,0,601960,266.1436428423475,0
118.087238274,0,0,605206,268.5604052758243,0
119.101053215,0,0,621734,271.1311374465207,0
120.095403249,0,0,634575,273.57297508174196,0
121.136826361,0,0,646466,276.17542554398216,0
122.126765023,0,0,650532,278.69657502503395,0
123.110094267,0,0,659207,281.2106183261915,0
124.111041944,0,0,670523,283.8605795216341,0
125.097232316,0,0,680102,286.33940005304726,0
126.090483493,0,0,687475,288.9950769767898,0
127.101625443,0,0,690544,291.53812503643275,0
128.13616436,0,0,702852,294.1430668154039,0
129.095513128,0,0,718375,296.58468796569565,0
130.103383049,0,0,724625,299.0720986637972,0
131.102364882,0,0,730870,301.43838206642704,0
132.098025398,0,0,743216,303.96761471800556,0
133.094688486,0,0,755933,306.4130193932254,0
134.104513823,0,0,760924,308.9392771936225,0
135.123603934,0,0,768465,311.59215191683785,0
136.118872518,0,0,775943,314.06792300922206,0
137.150166962,0,0,783483,316.5606399487237,0
138.096384755,0,0,791356,319.1479295751009,0
139.121774058,0,0,798270,321.6017935819951,0
140.097229221,0,0,807466,324.15567542947633,0
141.102524169,0,0,810533,326.59658644217035,0
142.104747187,0,0,817293,329.16617069655393,0
143.12622827,0,0,822526,331.59996660943335,0
144.104735509,0,0,830669,334.18262562546323,0
145.129439837,0,0,838330,336.6203413376214,0
146.152602002,0,0,844528,339.20415239550533,0
147.119096087,0,0,851452,341.6462143195654,0
148.121199478,0,0,857541,344.0913467928071,0
149.105044236,0,0,867237,346.67459862795215,0
150.125226463,0,0,871691,349.1131141864819,0
151.117268948,0,0,877419,351.67422042473504,0
152.120777813,0,0,888312,354.2206981111819,0
153.160931764,0,0,897631,356.6397189217621,0
154.124514161,0,0,906539,359.1661522697759,0
155.120789318,0,0,911618,361.5879287772183,0
156.140761016,0,0,918025,363.9150638745417,0
157.149792602,0,0,929076,366.43213902640355,0
158.152239238,0,0,940309,368.8544497484343,0
159.119037921,0,0,943611,371.488575640524,0
160.121295686,0,0,953492,374.02247058796775,0
161.14493068,0,0,959335,376.6212773817435,0
162.133476408,0,0,959335,379.0778422821257,0
163.133963125,0,0,968641,381.6207876403485,0
164.148633404,0,0,973815,383.99627723968337,0
165.1812245,0,0,982733,386.4659010180047,0
166.183841783,0,0,986275,388.8816077749867,0
167.159299724,0,0,992366,391.311222939834,0
168.161432911,0,0,992366,393.84795610378956,0
169.205722281,0,0,995698,396.41144142631214,0
170.192491086,0,0,995698,398.855210733196,0
171.153258148,0,0,995698,401.3991754505614,0
172.18489589,0,0,995698,403.83935599391094,0
173.15394034,0,0,995698,406.39320521894956,0
174.238497373,0,0,995698,408.8335209934624,0
175.149307288,0,0,995698,411.4042495721921,0
176.152083443,0,0,995698,413.8202229357351,0
177.157507512,0,0,995698,416.3697215140027,0
178.164596911,0,0,995698,418.93512159548374,0
179.235718712,0,0,995698,421.285888394183,0
180.199532549,0,0,998165,423.65946357396706,0
181.18314057,0,0,998912,426.1477254059255,0
182.187197327,0,0,1000913,428.62380425679686,0
183.214493636,0,0,1000913,431.03235268669715,0
184.179962721,0,0,1000913,433.54354746073545,0
185.17452276,0,0,1000913,435.8682066758463,0
186.173546376,0,0,1000913,438.3911464681944,0
187.205086771,0,0,1000913,440.8376981298203,0
188.227437919,0,0,1000913,443.28588330077355,0
189.219661668,0,0,1005107,445.90276267004657,0
190.190659072,0,0,1005107,448.432145813587,0
191.193639204,0,0,1005107,451.02220164645234,0
192.202674797,0,0,1005829,453.49769256118867,0
193.177738891,0,0,1006802,456.0842850212016,0
194.197029712,0,0,1006802,458.5327224056063,0
195.190575705,0,0,1006802,460.9841972709784,0
196.179392509,0,0,1006802,463.56176357492706,0
197.186676615,0,0,1006802,466.125404924681,0
198.203634129,0,0,1006802,468.6718941901155,0
199.190051779,0,0,1006802,471.28691423794487,0
200.182187597,0,0,1006802,473.78837049681783,0
201.266218228,0,0,1006802,476.25785076935045,0
202.216166409,0,0,1006802,478.89346725811896,0
203.200318272,0,0,1006802,481.55420011861906,0
204.169234535,0,0,1008669,484.0400779130557,0
