Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
6.005480203,5813,0.00041527603464848445,6111,0.0,11924,1,1,2
7.004338321,5813,0.00046577063165950997,6111,0.0,11924,1,1,2
8.007593836,5813,0.0007661780413274787,6111,0.00026894292078914707,11924,1,1,2
9.006165882,5813,0.0008178407577181182,20848,0.6766327517468594,26661,1,1,2
10.005525657,5813,0.0008289916732488639,34165,2.621468630124332,39978,1,1,2
11.006510736,5813,0.0008351905563055046,38986,4.760121541418006,44799,1,1,2
12.008040653,5813,0.0008440623745024993,40871,6.696329814192381,46684,1,1,2
13.009540014,5813,0.0008517362907182214,43300,8.689122894080068,49113,1,1,2
14.011456013,5813,0.04897928619496835,65383,10.818044349745069,71196,1,1,2
15.012736288,5813,0.23991248368487922,76107,12.948822178857384,81920,1,1,2
16.012686214,5813,0.4068763861569815,80828,15.048101555835833,86641,1,1,2
17.014070657,20203,0.7122709581332087,83378,17.188048492762057,102920,1,1,2
18.015746221,34888,1.1553751324092585,91438,19.340074586755332,123430,1,1,2
19.017336123,34888,1.3055918426071416,95967,21.17063799683679,127950,1,1,2
20.018492823,34888,1.400806378322803,100273,23.461390439936004,132264,1,1,2
21.017847038,41275,1.6934080876021986,104684,25.853885227014977,141607,1,1,2
22.020382423,41275,1.9344981466143998,108661,27.993079673162136,145584,1,1,2
23.020253686,44009,2.324467614098247,116545,30.08463992298082,155627,1,1,2
24.02239093,45805,2.893456447693331,127651,32.17780490614154,168264,1,1,2
25.02422618,47323,3.507236201319131,142507,33.574317390034246,184451,1,1,2
26.024042604,48579,4.076304928831361,152347,36.569181865709815,195444,1,1,2
27.025439372,49884,4.684390114558584,161362,38.56810411975436,205684,1,1,2
28.024942703,51136,4.965157340242874,162990,40.83464953361398,208576,1,1,2
29.028790171,51136,5.173335087438266,165657,42.72580583220215,211243,2,1,3
30.030315354,51136,5.285222316305854,175465,44.84730666338973,221051,2,1,3
31.030120527,51136,5.50414529696768,189894,47.10494362485489,235480,2,1,3
32.030297804,51136,5.919768967098517,205549,49.40077324930233,251135,2,1,3
33.030455358,52401,6.2909462159008065,207801,51.37272953251373,254644,2,1,3
34.030138587,52401,6.358561533798869,210283,53.733881033209414,257126,2,1,3
35.033611593,52401,6.422211580177942,219692,55.8531291431971,266535,2,1,3
36.031224661,52401,6.640096924503932,240132,58.15153958577372,286975,2,1,3
37.033465852,53727,7.1541222101691115,241705,60.38669728779741,289871,2,1,3
38.034489884,55250,7.519623562228428,241791,62.45654423218424,291494,2,1,3
39.033655619,55250,7.621376943534073,242002,64.2999603359848,291705,2,1,3
40.034889541,55250,7.763965350282853,242761,66.25758767850705,292008,2,1,3
41.032970996,56913,8.030178133631985,244168,68.40239227801251,295526,2,1,3
42.033984781,56913,8.376821944818035,245856,70.48114013490476,297214,2,1,3
43.035369696,58399,8.820390884614769,249562,72.60337218931544,302407,2,1,3
44.03752975,58399,9.275611961830826,254991,74.86075953569431,307836,2,1,3
45.035241083,59665,9.703200141398018,265618,76.79374197905756,319751,2,1,3
46.03595983,59665,10.121432402592067,265714,78.77471176888008,319847,2,1,3
47.036645527,61020,10.603532020533079,265893,81.03173828586671,321346,2,1,3
48.038040815,62469,10.925383303188156,266363,83.47243607391115,323028,2,1,3
49.042581836,62469,11.117745582818339,268154,85.86306026889709,325069,2,1,3
50.042537525,62469,11.37721103373323,269322,88.00031234816315,326272,2,1,3
51.043612929,62469,11.623118641157523,272498,90.2317238079803,329428,2,1,3
52.046223219,64006,12.134643351212981,278340,92.45764716108705,336805,2,1,3
53.04618496,65574,12.600913270921565,282484,94.62532666245028,342506,2,1,3
54.049503034,65574,12.746655049631695,287528,96.86787631880247,347552,2,1,3
55.051296593,65574,12.79384065168319,296304,99.30830750835764,356328,2,1,3
56.053514446,65574,13.145402774550758,301582,101.54951885005644,361615,2,1,3
57.05663591,66936,13.538353619544242,306310,103.69112208930383,367709,2,1,3
58.060145854,66936,13.813089840884311,315756,105.93233343101089,372300,2,1,3
59.060190256,68452,14.012280440796696,319934,108.37276080611475,382855,2,1,3
60.060042354,68452,14.189904893171878,325060,110.31514415461666,387957,2,1,3
61.064569273,69869,14.508072434723587,329552,112.55689342042655,393860,2,1,3
62.066017186,71289,15.021307916961407,339032,114.84181569270456,399639,2,1,3
63.067647642,72294,15.51336137706263,344784,117.0830291738494,411522,2,1,3
64.069273204,72294,15.622684707478193,355327,119.53615855623461,422065,2,1,3
65.070024733,72294,15.77303352942721,373019,121.7773700727003,433728,2,1,3
66.067991507,72294,16.200015307461303,375760,123.86916473124144,442498,2,1,3
67.071011503,73523,16.673007661693095,375760,124.82953056994099,443715,2,1,3
68.069387591,74591,16.973065380050915,375778,125.22382065228513,443733,2,1,3
69.070266395,74591,17.140354060959602,375807,127.2350098779676,444815,2,1,3
70.06873297,74591,17.265155189004705,375842,129.47622112015412,444850,2,1,3
71.069534444,76062,17.575794640925547,375912,131.617825463889,446404,2,1,3
72.071030495,77215,18.02951922341055,376331,134.0084506424432,447760,2,1,3
73.067429183,78351,18.55330353535945,376489,135.99576095675326,449273,2,1,3
74.068338805,79191,18.813622704617536,376626,138.08594314256428,450245,2,1,3
75.073616619,79191,18.869488974182737,376757,140.18042014318144,450376,2,1,3
76.072651076,79191,19.087667189799873,376867,142.17179806917818,450486,2,1,3
77.073654049,80172,19.45626646817299,377092,144.56242271557016,451552,2,1,3
78.068059735,81067,19.891603055864792,377198,146.65582683020506,452676,2,1,3
79.070036615,81067,20.13447539269455,377302,148.8973076317298,452780,2,1,3
80.06838345,81067,20.237259991833913,377503,150.99205712769643,452883,2,1,3
81.070145218,81067,20.46040879708618,377573,153.10576307195248,453051,2,1,3
82.076107983,81959,20.858067531253077,377582,155.26768896401953,453959,2,1,3
83.074893477,83041,21.284653735144136,377685,157.4107994653593,455145,2,1,3
84.071517679,83041,21.82560577471107,377932,159.7148611717355,455279,2,1,3
85.073271663,84393,22.50280787891296,378114,161.81493536063155,456752,2,1,3
86.074395401,85962,23.103316712185286,378395,164.26487360665578,458775,2,1,3
87.070223553,87548,23.603428063724856,378590,166.50608377703662,460565,2,1,3
88.07066178,87548,23.854357517700933,379141,168.7472936981501,460812,2,1,3
89.06880541,87548,23.948744987381918,379798,171.33713961135314,461773,2,1,3
90.071406763,87548,24.16590922631306,380235,173.44506577734415,462210,2,1,3
91.068174765,89800,24.476783635036046,380738,175.727688357711,464753,2,1,3
92.06965006,89800,24.917557569016253,380850,177.79143495926147,465073,2,1,3
93.071365841,91554,25.32470251334355,381135,180.0478900707115,467103,2,1,3
94.072692624,91554,25.371919277808598,381360,181.94921857380334,467328,2,1,3
95.071078259,91554,25.5040755091722,382546,184.17395126418185,467723,2,1,3
96.072976628,91554,25.901511031859947,383311,186.16613821565957,469159,2,1,3
97.071259895,93166,26.43315499135963,383827,188.43324580715938,471309,2,1,3
98.073636156,94753,26.771726133713276,384767,190.75716334816244,473554,2,1,3
99.074221626,94753,26.96266699692002,396343,192.73482162343606,474560,2,1,3
100.07457986,94753,27.145650929818103,403697,194.73042916579294,475785,2,1,3
101.073625635,94753,27.38154695436445,407632,197.1410970912659,475958,2,1,3
102.073609202,97218,27.778990122364288,409888,199.55755077234036,478640,2,1,3
103.073279652,97218,28.061748956143553,417609,201.74722633741348,478797,2,1,3
104.073871901,99336,28.75821205354474,424326,204.02464198965833,481281,2,1,3
105.08047993,101464,29.19790537689159,431187,206.4830120677176,483636,2,1,3
106.073951766,104863,29.667868938605793,441206,208.5750785096644,487199,2,1,3
107.074045765,107616,30.08881960985478,445103,211.02193545310078,487440,2,1,3
108.075829844,107616,30.230598247544098,449167,213.26314689777948,490265,2,1,3
109.079490727,107616,30.395876691521735,460922,215.5043583424583,490367,2,1,3
110.074637596,107616,30.602770404478857,466974,217.4981546930371,491431,2,1,3
111.077282583,111456,31.06971376601424,472953,219.73936543156455,495878,2,1,3
112.076251553,111456,31.664950602800424,483628,222.33027627255117,497715,2,1,3
113.07798164,115250,32.17780526038232,487664,224.72089756978536,502533,2,1,3
114.0774028,115250,32.73953035790561,493222,226.71308548357783,506406,2,1,3
115.078015899,118556,33.25556223729943,504677,228.80488508020173,518633,2,1,3
116.078748619,118556,33.7843644834368,524880,231.24585021131404,531670,2,1,3
117.080381415,121333,34.255077497089566,528412,233.4876015653758,544331,2,1,3
118.079982785,124052,34.559278261934125,530280,235.80357082793935,548407,2,1,3
119.078792954,124052,34.705865030107425,531887,237.93037382474597,550014,2,1,3
120.080512458,124052,34.85985460291694,549106,240.06373809689103,555104,2,1,3
121.08112027,126575,35.13547629255715,562672,242.3679411561339,582970,2,1,3
122.080308584,128382,35.58933630997148,569630,244.4581194562864,591570,2,1,3
123.082834605,128382,35.94437188394076,572726,246.58833265592682,594666,2,1,3
124.081177666,128382,35.96309326492673,579281,248.6560850237827,597383,2,1,3
125.082635597,129494,36.0374436919718,582191,250.71460084210645,605181,2,1,3
126.089504933,129494,36.21406841372346,585751,253.11199287173557,608717,2,1,3
127.088151601,130426,36.60738894637341,590510,255.04680029587087,613538,2,1,3
128.088966993,131343,37.11841703524781,598239,257.3402245148178,622171,2,1,3
129.095137107,131343,37.39796964780745,602269,259.58516497420254,627129,2,1,3
130.094494977,132142,37.54966022924195,607735,261.87618257497104,633306,2,1,3
131.094124033,132142,37.771563402410365,632143,264.2659916237597,644488,2,1,3
132.09327036,132751,37.98833292672124,639736,266.553517843634,665307,2,1,3
133.101559688,132751,38.338072321563594,643625,268.7802752271562,669797,2,1,3
134.097314685,133511,38.75814987278438,647419,271.0001830830495,672767,2,1,3
135.099545176,134458,38.94153506870494,649859,273.1061105134569,677797,2,1,3
136.109191742,134458,39.026057661754955,658090,275.29870732990287,686031,2,1,3
137.107220389,134458,39.3955514998317,672371,277.4362494120176,700309,2,1,3
138.103197015,135155,39.83512164349008,689759,279.8398770967806,712879,2,1,3
139.107404087,135948,40.180332485851636,692315,282.00355304897147,721814,3,1,4
140.109498022,135948,40.34032789101922,696481,284.2699736853358,725880,3,1,4
141.114911646,135948,40.46780611291649,699794,286.0937258645132,729215,3,1,4
