Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
7.004102451,6295,0.0,6111,0.0,12405,1,0,1
8.004292187,6295,0.0,6111,0.0,12405,1,0,1
9.005036584,6295,0.0,6111,0.0,12405,1,0,1
10.005567185,6295,0.0,20848,0.0,27142,1,0,1
11.005831754,6295,0.0,38986,0.0,45280,1,0,1
12.006052605,6295,0.0,40871,0.0,47165,1,0,1
13.009043961,6295,0.0,43300,0.0,49594,1,0,1
14.010144379,6295,0.0,51944,0.0,58238,1,0,1
15.010983835,6295,0.0,65383,0.0,71677,1,0,1
16.013594111,6295,0.0,80828,0.0,87122,1,0,1
17.013594572,6295,0.0,83378,0.0,89672,1,0,1
18.01377726,6295,0.0,86828,0.0,93122,1,0,1
19.015921834,6295,0.0,91438,0.0,97732,1,0,1
20.016560066,6295,0.0,95967,0.0,102261,1,0,1
21.017519995,6295,0.0,104684,0.0,110978,1,0,1
22.017299558,20658,0.0,108661,0.0,127843,1,0,1
23.018087932,41285,0.0,111690,0.0,146740,1,0,1
24.021419984,46460,0.0,116545,0.0,155888,1,0,1
25.023831038,46460,0.0,142507,0.0,181847,1,0,1
26.023398477,46460,0.0,152347,0.0,191690,1,0,1
27.024636278,46460,0.0,157778,0.0,197118,1,0,1
28.026611366,48254,0.0,161362,0.0,202425,1,0,1
29.025404525,51736,0.0,162990,0.0,207506,2,0,2
30.028677271,55376,0.0,175465,0.0,223587,2,0,2
31.031684864,59360,0.0,189894,0.0,242030,2,0,2
32.032358637,61199,0.0,200121,0.0,254098,2,0,2
33.03072583,63364,0.0,205549,0.0,261667,2,0,2
34.031976217,67850,0.0,210283,0.0,270898,2,0,2
35.033070791,71972,0.0,219692,0.0,284454,2,0,2
36.03618259,76068,0.0,233163,0.0,302010,2,0,2
37.034369831,80114,0.0,240132,0.0,313005,2,0,2
38.033352158,82016,0.0,241791,0.0,316584,2,0,2
39.037063881,84006,0.0,242002,0.0,318788,2,0,2
40.035549569,88476,0.0,242305,0.0,323564,2,0,2
41.035515738,92692,0.0,242761,0.0,328232,2,0,2
42.041653134,94705,0.0,244168,0.0,331636,2,0,2
43.039943659,99322,0.0,249562,0.0,337945,2,0,2
44.042278285,105829,0.0,254991,0.0,353588,2,0,2
45.041862805,112984,0.0,265565,0.0,371261,2,0,2
46.043964868,116583,0.0,265618,0.0,374937,2,0,2
47.044342888,123051,0.0,265893,0.0,381671,2,0,2
48.04588447,128785,0.0,266113,0.0,387613,2,0,2
49.050047512,134202,0.0,266363,0.0,393298,2,0,2
50.050791824,138164,0.0,269322,0.0,400240,2,0,2
51.051528747,141859,0.0,272498,0.0,407109,2,0,2
52.05142982,143662,0.0,274817,0.0,411233,2,0,2
53.05544225,147106,0.0,278340,0.0,418179,2,0,2
54.056965283,150829,0.0,287528,0.0,431090,2,0,2
55.059388789,152755,0.0,291949,0.0,437454,2,0,2
56.06114227,156798,0.0,296304,0.0,445835,2,0,2
57.065605535,159328,0.0,306310,0.0,458371,2,0,2
58.067469487,163571,0.0,310896,0.0,467216,2,0,2
59.07132307,165709,0.0,315756,0.0,474195,2,0,2
60.070351205,170381,0.0,325060,0.0,483048,2,0,2
61.072416756,172738,0.0,329552,0.0,495041,2,0,2
62.073683483,174803,0.0,333921,0.0,501474,2,0,2
63.078382404,174803,0.0,339032,0.0,506582,2,0,2
64.079896731,174803,0.0,355327,0.0,512337,2,0,2
65.078039998,174803,0.0,366990,0.0,534543,2,0,2
66.078895646,174803,0.0,373019,0.0,540572,2,0,2
67.078698976,174803,0.0,375760,0.0,543313,2,0,2
68.077677715,174803,0.0,375760,0.0,543313,2,0,2
69.079826172,174803,0.0,375778,0.0,543331,2,0,2
70.078774721,174803,0.0,375842,0.0,543360,2,0,2
71.078190785,174803,0.0,375842,0.0,543395,2,0,2
72.083359845,174803,0.0,376126,0.0,543679,2,0,2
73.083644855,174803,0.0,376331,0.0,543884,2,0,2
74.079430251,174803,0.0,376489,0.0,544042,2,0,2
75.078375808,174803,0.0,376757,0.0,544310,2,0,2
