Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration
1.002437004,1436,1.1920928955078125e-05,0,0,0
2.003182491,1436,1.5848192204236882e-05,0,0,0
3.002965563,1436,1.8709215153455632e-05,0,0,0
4.003314154,1436,1.9662889469861882e-05,0,0,0
5.003676762,1436,2.2523912419080632e-05,0,0,0
6.003093808,1436,2.3954423893690007e-05,0,0,0
7.033860334,1436,2.5861772526502507e-05,0,0,0
8.00309718,1436,0.013243025859128274,0,0,0
9.003057282,1436,0.015019370487838742,0,0,0
10.003219384,5874,0.038410734692015884,0,0,0
11.007270519,24223,0.061720531047565926,0,0,0
12.004670109,24223,0.0628718682790569,0,0,0
13.005109684,24223,0.0629941009910184,0,0,0
14.005094136,24223,0.0725024917393793,0,0,0
15.004298374,24223,0.08248066452066671,0,0,0
16.006031067,37993,0.29369372349589207,0,0,0
17.005545779,42419,0.6741221770637977,0,0,0
18.004455469,46366,1.0050701614417745,0,0,0
19.006835203,46366,1.3491145205822377,0,0,0
20.005314566,47980,1.7227304276115276,0,0,0
21.004479224,49272,2.1216182612964176,0,0,0
22.005499805,50127,2.5111494941979724,0,0,0
23.006235203,50816,2.905015950860095,0,0,0
24.006729225,51497,3.281133194459997,0,0,0
25.006622029,51497,3.6755889953808896,0,0,0
26.005732494,52249,4.0859794836162,0,0,0
27.00606614,53167,4.481060163451517,0,0,0
28.006312269,53167,4.883155806109231,0,0,0
29.005859667,54170,5.26853888888112,0,0,0
30.009354601,55114,5.632305517997101,0,0,0
31.007611207,56244,5.952366880634842,0,0,0
32.006049488,56244,6.351939324907165,0,0,0
33.007842072,57418,6.751499377990349,0,0,0
34.00575612,58733,7.133280594953817,0,0,0
35.005471862,59930,7.5509287961644285,0,0,0
36.008281183,59930,7.943857907150664,0,0,0
37.007363898,61398,8.334532764833646,0,0,0
38.006804607,62791,8.736893426376508,0,0,0
39.005658858,64158,9.120478449925963,0,0,0
40.008383803,64158,9.5278419965515,0,0,0
41.007856306,65515,9.930615088478689,0,0,0
42.007920858,66913,10.310091229410904,0,0,0
43.007891431,68375,10.710306387903866,0,0,0
44.007465136,68375,11.106238644523804,0,0,0
45.007821495,69714,11.506756732377609,0,0,0
46.008562291,71111,11.916188747303726,0,0,0
47.00617537,72623,12.303626626684139,0,0,0
48.009197483,72623,12.56944511963139,0,0,0
49.007317659,72623,12.569554412769575,0,0,0
50.008547735,72623,12.569573717274153,0,0,0
51.011617162,72623,12.569599926582725,0,0,0
52.007259573,72623,12.569622223527663,0,0,0
53.00892378,72623,12.569649006969735,0,0,0
54.007355715,72623,12.56966877866449,0,0,0
55.007140089,72623,12.572813116735325,0,0,0
56.006690172,72623,12.572955735682173,0,0,0
57.00865485,72623,12.57312997841483,0,0,0
58.007473119,72623,12.573386870741762,0,0,0
59.008847179,72623,12.573990487210622,0,0,0
60.007706462,72623,12.57475823311984,0,0,0
61.016695862,72623,12.575254678002453,0,0,0
62.007074412,72623,12.575339096971256,0,0,0
63.006995591,72623,12.575446312146601,0,0,0
64.007799043,72623,12.576008374795382,0,0,0
65.0084978,72623,12.57619306065312,0,0,0
66.007778361,72623,12.576224420507623,0,0,0
67.007013214,72623,12.582513015912147,0,0,0
68.007106741,74042,12.605664869324205,0,0,0
69.009659953,76410,12.624821734437408,0,0,0
70.007655356,76410,12.655342194386124,0,0,0
71.006643914,78362,13.013532191032585,0,0,0
72.008955955,79937,13.363083039379484,0,0,0
73.006935237,79937,13.690351578104156,0,0,0
74.008751079,80572,14.083614540724419,0,0,0
75.009348772,81666,14.46382903800966,0,0,0
76.007957745,82230,14.848230660808241,0,0,0
77.010087837,82874,15.239367911828083,0,0,0
78.008448474,82874,15.644483187389199,0,0,0
79.00798245,83565,16.0463765757614,0,0,0
80.010397665,84211,16.446863251035648,0,0,0
81.009243254,85041,16.86808602732178,0,0,0
82.00811361,85041,17.26350109566756,0,0,0
83.008033856,87254,17.658504295227587,0,0,0
84.008045666,91015,18.053413487432834,0,0,0
85.010520695,93332,18.450410375026312,0,0,0
86.010750227,93332,18.861907673297942,0,0,0
87.011487181,95806,19.152049697017326,0,0,0
88.011007626,98189,19.547240923624088,0,0,0
89.010447308,98189,19.96620513430675,0,0,0
90.012455995,101013,20.361721936837917,0,0,0
91.013709026,103574,20.766923578315104,0,0,0
92.013878671,106478,21.160050641461634,0,0,0
93.012336536,109240,21.559249232183255,0,0,0
94.017053799,109240,21.981627839685796,0,0,0
95.016901216,112154,22.374976070686195,0,0,0
96.021336303,114783,22.683428526132317,0,0,0
97.01580985,114783,22.969198757794192,0,0,0
98.016338845,119651,23.3634338967275,0,0,0
99.017139441,121801,23.716494162314987,0,0,0
100.016440394,123806,24.11563840333565,0,0,0
101.015696358,123806,24.512230925676203,0,0,0
102.016922212,125527,24.900920181735202,0,0,0
103.029109511,127293,25.3009936089837,0,0,0
104.014776864,128794,25.69768012332268,0,0,0
105.016539675,128794,26.087630747160787,0,0,0
106.022424301,130208,26.490908995509184,0,0,0
107.020238667,131550,26.87266942256423,0,0,0
108.020023078,131550,26.99460617661015,0,0,0
109.017231028,132743,27.005083349451642,0,0,0
110.022182798,135295,27.312677498568267,0,0,0
111.019905495,137388,27.68412065639492,0,0,0
112.021020199,138287,28.004582891910278,0,0,0
113.027103668,139016,28.391284511814916,0,0,0
114.019034141,139638,28.56007876304801,0,0,0
115.017844647,139638,28.73746188307218,0,0,0
116.019842251,140145,29.07796298414073,0,0,0
117.015250793,140989,29.435887209364854,0,0,0
118.016772577,140989,29.75766970292137,0,0,0
119.018510183,141347,30.14197728644758,0,0,0
120.0173089,141777,30.525047375865096,0,0,0
121.019722567,142085,30.91410062002318,0,0,0
122.017579092,142467,31.337973585328182,0,0,0
123.020849569,142467,31.591108756799603,0,0,0
124.02947506,142467,31.60578719978933,0,0,0
125.019400265,143366,31.845625933136247,0,0,0
126.020178862,144686,32.24635040968338,0,0,0
127.021447356,145286,32.558998744278696,0,0,0
128.021121934,145701,32.94063075628048,0,0,0
129.021915524,146096,33.343721218682795,0,0,0
130.022938518,146311,33.72064815969781,0,0,0
131.01938781,146311,34.12651092336446,0,0,0
132.020700237,146451,34.52174885814242,0,0,0
133.024090253,146522,34.910464008866306,0,0,0
134.024252676,146543,35.313272478307084,0,0,0
135.02321636,146543,35.73712701392292,0,0,0
136.020919928,146559,36.14520390676821,0,0,0
137.026264355,146546,36.55157515358572,0,0,0
138.01896013,146548,36.95228014855562,0,0,0
139.022706086,146549,37.36363945948744,0,0,0
140.019878817,146549,37.768985854600515,0,0,0
141.019888094,146550,38.183446882359874,0,0,0
142.017571905,146551,38.58911638489356,0,0,0
143.018156639,146553,38.99907725255708,0,0,0
144.023316771,146553,39.399330928479344,0,0,0
145.018187009,147736,39.794957053190714,0,0,0
146.022501817,147773,40.184075331499734,0,0,0
147.017725194,147775,40.58512217554787,0,0,0
148.017114152,147775,40.96979388852867,0,0,0
149.025428987,147781,41.36448806888681,0,0,0
150.017756707,148684,41.790233511796266,0,0,0
151.050116773,148704,42.18531453160133,0,0,0
152.021729776,148704,42.57462106052395,0,0,0
153.018676141,148709,42.99280164055471,0,0,0
154.019306392,148716,43.38280392346287,0,0,0
155.017821428,148722,43.775190944857954,0,0,0
156.017364059,148741,44.18946927856549,0,0,0
157.020272004,148741,44.578197097090005,0,0,0
158.025920511,149417,44.998643875030915,0,0,0
159.02111404,149421,45.390317581679724,0,0,0
160.019080873,149426,45.78336131653806,0,0,0
161.01953628,149426,46.18414417061831,0,0,0
162.017455221,149428,46.58394731712341,0,0,0
163.022546324,149436,46.973487406591374,0,0,0
164.021436671,149443,47.37820521969567,0,0,0
165.019845306,149443,47.79763541731619,0,0,0
166.031765239,149448,48.18536630990042,0,0,0
167.018550421,149449,48.579789123901534,0,0,0
168.024842819,149466,48.96846250432991,0,0,0
169.023808916,149466,49.375217850541006,0,0,0
170.023169516,149485,49.77965728070488,0,0,0
171.024984767,149496,50.17087828497562,0,0,0
172.025852082,149500,50.563424476369086,0,0,0
173.02785272,149500,50.96223058526446,0,0,0
174.020021647,149511,51.37426784431042,0,0,0
175.01892721,148008,51.76206310231182,0,0,0
176.021945602,148021,52.17210110980851,0,0,0
177.0237992,148021,52.56407731903585,0,0,0
178.022458099,148030,52.96719608788102,0,0,0
179.017529363,148050,53.36929513384911,0,0,0
180.02304491,148092,53.771493061073244,0,0,0
181.028152247,148092,54.17358451228864,0,0,0
182.020051367,148158,54.5763410256578,0,0,0
183.019423156,145864,54.96957185549286,0,0,0
184.019403488,146118,55.34635292011944,0,0,0
185.022708718,146118,55.764642082251385,0,0,0
186.018210247,146417,56.150849361249456,0,0,0
187.019979781,146736,56.55100335728301,0,0,0
188.017562276,147134,56.93963688289814,0,0,0
189.023244327,147678,57.33946675412199,0,0,0
190.018701799,147678,57.7365081539952,0,0,0
191.020226811,148363,58.13141808366699,0,0,0
192.022232403,149110,58.53487882840776,0,0,0
193.017202906,150572,58.94089085485038,0,0,0
194.016833848,150572,59.333950165814514,0,0,0
195.018323712,152743,59.75300820951062,0,0,0
196.019175354,155098,60.151182394605584,0,0,0
197.020443921,157516,60.53948919073456,0,0,0
198.023325586,157516,60.85381723865297,0,0,0
199.018005964,159936,61.208585681988616,0,0,0
