Time Elapsed (s),Explored Cells,Trajectory Length (m)
5.006795296,5354,0.0
6.00681466,5354,0.0
7.007366256,5354,0.0
8.008661839,5354,0.0
9.00731577,5354,0.0
10.007397273,17727,0.0
11.008709548,17727,0.0
12.009783566,17727,0.0
13.010398698,17727,0.0
14.008597448,17727,0.0
15.01318659,38224,0.0
16.014075301,38224,0.0
17.010022616,38224,0.0
18.012057307,38224,0.0
19.009414698,38224,0.0
20.011554223,49119,0.0
21.00916604,49119,0.0
22.008278794,49119,0.0
23.013824056,49119,0.0
24.009856232,49119,0.0
25.008547173,60406,0.0
26.009187811,60406,0.0
27.009770065,60406,0.0
28.010658244,60406,0.0
29.00902681,60406,0.0
30.011662589,64947,0.0
31.010872484,64947,0.0
32.010979366,64947,0.0
33.013887516,64947,0.0
34.008953675,64947,0.0
35.014413604,69654,0.0
36.010879848,69654,0.0
37.008816338,69654,0.0
38.009627436,69654,0.0
39.015120869,69654,0.0
40.016689348,73909,0.0
41.009999661,73909,0.0
42.010516917,73909,0.0
43.013346174,73909,0.0
44.011738902,73909,0.0
45.011466767,77081,0.0
46.013419098,77081,0.0
47.012686717,77081,0.0
48.013807665,77081,0.0
49.01076127,77081,0.0
50.011514659,82059,0.0
51.012251305,82059,0.0
52.014852383,82059,0.0
53.012008882,82059,0.0
54.011942625,82059,0.0
55.012736011,85846,0.0
56.012796452,85846,0.0
57.010818551,85846,0.0
58.010157995,85846,0.0
59.016226647,85846,0.0
60.021354571,88919,0.0
61.020173585,88919,0.0
62.016502401,88919,0.0
63.011735544,88919,0.0
64.019921026,88919,0.0
65.011153489,92420,0.0
66.013158509,92420,0.0
67.012730639,92420,0.0
68.013638972,92420,0.0
69.011160858,92420,0.0
70.021032624,95948,0.0
71.018309948,95948,0.0
72.025555185,95948,0.0
73.013057548,95948,0.0
74.012673169,95948,0.0
75.011117177,98012,0.0
76.023387818,98012,0.0
77.014883919,98012,0.0
78.014098536,98012,0.0
79.013607893,98012,0.0
80.021986178,101669,0.0
81.022165837,101669,0.0
82.016328521,101669,0.0
83.012918429,101669,0.0
84.019185932,101669,0.0
85.021507853,104160,0.0
86.022491004,104160,0.0
87.013126539,104160,0.0
88.022137732,104160,0.0
89.014571278,104160,0.0
90.020457977,107964,0.0
91.014145835,107964,0.0
92.012562464,107964,0.0
93.016553337,107964,0.0
94.014657257,107964,0.0
95.020354014,111277,0.0
96.023457673,111277,0.0
97.016848678,111277,0.0
98.016607547,111277,0.0
99.014237346,111277,0.0
100.01386929,115411,0.0
101.016739897,115411,0.0
102.014904304,115411,0.0
103.014295041,115411,0.0
104.015682694,115411,0.0
105.01724615,119738,0.0
106.022282906,119738,0.0
107.015119176,119738,0.0
108.017000147,119738,0.0
109.016649321,119738,0.0
110.019761598,123979,0.0
111.017250508,123979,0.0
112.017829747,123979,0.0
113.019371124,123979,0.0
114.019316783,123979,0.0
115.023485676,128205,0.0
116.021958006,128205,0.0
117.023301882,128205,0.0
118.022149017,128205,0.0
119.022702048,128205,0.0
120.028824695,136241,0.0
121.028740332,136241,0.0
122.024736962,136241,0.0
123.023043864,136241,0.0
124.018743228,136241,0.0
125.024356892,143278,0.0
126.023935998,143278,0.0
127.01928483,143278,0.0
128.020336615,143278,0.0
129.021370086,143278,0.0
130.025094363,150036,0.0
131.023407171,150036,0.0
132.019255589,150036,0.0
133.022794727,150036,0.0
134.020908465,150036,0.0
135.033347506,157705,0.0
136.019337149,157705,0.0
137.027058197,157705,0.0
138.030473754,157705,0.0
139.033292403,157705,0.0
140.023889934,161969,0.0
141.028716251,161969,0.0
142.024390401,161969,0.0
143.021635667,161969,0.0
144.018569115,161969,0.0
145.023003853,166049,0.0
146.021447659,166049,0.0
147.020223776,166049,0.0
148.023327514,166049,0.0
149.034957616,166049,0.0
150.034249842,170997,0.0
151.021506473,170997,0.0
152.020416032,170997,0.0
153.024643143,170997,0.0
154.022507107,170997,0.0
155.019315225,175268,0.0
156.024596911,175268,0.0
157.026477828,175268,0.0
158.024429228,175268,0.0
159.020766153,175268,0.0
160.023755858,176470,0.0
161.029949136,176470,0.0
162.027032631,176470,0.0
163.018951909,176470,0.0
164.023706329,176470,0.0
165.021815445,177649,0.0
166.019816231,177649,0.0
167.019667897,177649,0.0
168.027055205,177649,0.0
169.021525403,177649,0.0
170.025259325,178785,0.0
171.024018551,178785,0.0
172.023110654,178785,0.0
173.023261074,178785,0.0
174.023126235,178785,0.0
175.036609098,179447,0.0
176.025550949,179447,0.0
177.024974054,179447,0.0
178.024710237,179447,0.0
179.020054629,179447,0.0
180.027534515,180249,0.0
181.024752513,180249,0.0
182.039694069,180249,0.0
183.025447396,180249,0.0
184.021342599,180249,0.0
185.040839719,182750,0.0
186.039830589,182750,0.0
187.038845608,182750,0.0
188.040312139,182750,0.0
189.02348686,182750,0.0
190.024181035,188554,0.0
191.025837165,188554,0.0
192.02259598,188554,0.0
193.027274812,188554,0.0
194.024546493,188554,0.0
195.030377761,192111,0.0
196.029648625,192111,0.0
197.031049707,192111,0.0
198.041920343,192111,0.0
199.039876275,192111,0.0
200.040341483,197659,0.0
201.031020309,197659,0.0
202.025354372,197659,0.0
203.040541981,197659,0.0
204.041134909,197659,0.0
205.025797635,204002,0.0
206.026046569,204002,0.0
207.02437591,204002,0.0
208.029804306,204002,0.0
209.028687309,204002,0.0
210.024244485,208919,0.0
211.025260449,208919,0.0
212.025066606,208919,0.0
213.026156796,208919,0.0
214.027366414,208919,0.0
215.028846867,212171,0.0
216.032324808,212171,0.0
217.025601406,212171,0.0
218.025434273,212171,0.0
219.024993285,212171,0.0
220.025299068,213504,0.0
221.030786195,213504,0.0
222.029381926,213504,0.0
223.038429017,213504,0.0
224.025545137,213504,0.0
225.023857296,214962,0.0
226.028965774,214962,0.0
227.023870048,214962,0.0
228.023000271,214962,0.0
229.027087128,214962,0.0
230.027703175,216228,0.0
231.031809659,216228,0.0
232.024767411,216228,0.0
233.027138293,216228,0.0
234.029841097,216228,0.0
235.032650911,217889,0.0
236.032003777,217889,0.0
237.03665177,217889,0.0
238.033132346,217889,0.0
239.035024065,217889,0.0
240.035012549,222072,0.0
241.031298449,222072,0.0
242.033985501,222072,0.0
243.04671965,222072,0.0
244.048025095,222072,0.0
245.048384088,228930,0.0
246.05061589,228930,0.0
247.031222239,228930,0.0
248.030353166,228930,0.0
249.031685915,228930,0.0
250.03263343,235331,0.0
251.029246723,235331,0.0
252.029306584,235331,0.0
253.03180137,235331,0.0
254.033425642,235331,0.0
255.031490332,244828,0.0
256.029684378,244828,0.0
257.031872289,244828,0.0
258.028435313,244828,0.0
259.033637622,244828,0.0
260.035929396,249076,0.0
261.031745368,249076,0.0
262.034211076,249076,0.0
263.033329423,249076,0.0
264.038120981,249076,0.0
265.029707578,252204,0.0
266.03829613,252204,0.0
267.033111429,252204,0.0
268.030687245,252204,0.0
269.036338691,252204,0.0
270.034514651,256711,0.0
271.034661608,256711,0.0
272.054613927,256711,0.0
273.035017362,256711,0.0
274.041878206,256711,0.0
275.033762206,259736,0.0
276.035502976,259736,0.0
277.034115776,259736,0.0
278.033637958,259736,0.0
279.034803016,259736,0.0
280.0320942,262991,0.0
281.037002624,262991,0.0
282.044426387,262991,0.0
283.037093518,262991,0.0
284.032001895,262991,0.0
285.034342964,264931,0.0
286.03295835,264931,0.0
287.031087245,264931,0.0
288.03199662,264931,0.0
289.031146325,264931,0.0
290.03453535,266989,0.0
291.033961128,266989,0.0
292.032913585,266989,0.0
293.050368372,266989,0.0
294.051955722,266989,0.0
295.039534096,268891,0.0
296.036655895,268891,0.0
297.034933489,268891,0.0
298.037010196,268891,0.0
299.037733359,268891,0.0
300.033320551,271374,0.0
301.037092921,271374,0.0
302.038086223,271374,0.0
303.040252573,271374,0.0
304.034145651,271374,0.0
305.03675719,273391,0.0
306.039439385,273391,0.0
307.03405201,273391,0.0
308.032786722,273391,0.0
309.036358665,273391,0.0
310.034912154,275316,0.0
311.033452166,275316,0.0
312.032997614,275316,0.0
313.033774158,275316,0.0
314.032223134,275316,0.0
315.033948039,276755,0.0
316.035599233,276755,0.0
317.055824386,276755,0.0
318.032560393,276755,0.0
319.033361099,276755,0.0
320.032500371,278911,0.0
321.031759528,278911,0.0
322.033364383,278911,0.0
323.038323519,278911,0.0
324.034986553,278911,0.0
325.036480652,282632,0.0
