Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
1.002449853,37285,0.0,0,0,0,0,0,0
2.001838152,39367,1.4015301183475575,0,0,0,0,0,0
3.002281845,41595,2.1544198283307874,0,0,0,0,0,0
4.002535815,43736,2.852795363751849,0,0,0,0,0,0
5.003202388,46178,3.5809949602952407,0,0,0,0,0,0
6.002025484,46178,3.8480101098421895,0,0,0,0,0,0
7.002983071,48836,4.6370232259672335,0,0,0,0,0,0
8.002594748,48836,5.385814694350645,0,0,0,0,0,0
9.001881921,54300,6.153438970705397,0,0,0,0,0,0
10.002609182,54300,6.916950842875836,0,0,0,0,0,0
11.003009096,64666,7.679642555335401,0,0,0,0,0,0
12.004442119,64666,8.354706836595847,0,0,0,0,0,0
13.003696897,67221,9.155218564833008,0,0,0,0,0,0
14.003536093,68684,9.92783810536034,0,0,0,0,0,0
15.003157561,69810,10.691407396304115,0,0,0,0,0,0
16.003612036,69810,11.315111483333483,0,0,0,0,0,0
17.003696315,70789,11.910338809194045,0,0,0,0,0,0
18.004381905,71681,12.702436714244826,0,0,0,0,0,0
19.00315029,72358,13.437299257697466,0,0,0,0,0,0
20.00407116,73138,14.2139792278821,0,0,0,0,0,0
21.005095751,74571,14.993969534619515,0,0,0,0,0,0
22.003453479,74571,15.7386531539577,0,0,0,0,0,0
23.003534221,76764,16.557221662611084,0,0,0,0,0,0
24.004693481,79341,17.287933162291306,0,0,0,0,0,0
25.004951783,82046,18.077798403148005,0,0,0,0,0,0
26.004715898,84756,18.825787041885402,0,0,0,0,0,0
27.004724155,87223,19.605778810353936,0,0,0,0,0,0
28.006107582,89381,20.412882930002226,0,0,0,0,0,0
29.00511284,91231,21.143613041671845,0,0,0,0,0,0
30.005199883,95587,21.94903660539162,0,0,0,0,0,0
31.005058738,95587,22.706055211468893,0,0,0,0,0,0
32.00553409,99364,23.43652593354988,0,0,0,0,0,0
33.00621107,99364,24.17380486646388,0,0,0,0,0,0
34.005999998,103371,24.937417309230977,0,0,0,0,0,0
35.006262139,103371,25.703511315869914,0,0,0,0,0,0
36.005523294,105583,26.484281893855773,0,0,0,0,0,0
37.006453007,107655,27.230554934627257,0,0,0,0,0,0
38.005208857,109931,28.028549687784743,0,0,0,0,0,0
39.0081982,112401,28.671921737562766,0,0,0,0,0,0
40.006552311,114912,29.44699569851826,0,0,0,0,0,0
41.00688372,117004,30.212204882528,0,0,0,0,0,0
42.006804402,118877,31.014367563149303,0,0,0,0,0,0
43.007807698,121042,31.767283544304806,0,0,0,0,0,0
44.0070306,123585,32.52018654054931,0,0,0,0,0,0
45.007376867,125802,33.273090436486946,0,0,0,0,0,0
46.007506234,125802,33.973264555983725,0,0,0,0,0,0
47.007733222,128158,34.77379019252781,0,0,0,0,0,0
48.008193542,130776,35.529975565434825,0,0,0,0,0,0
49.007726578,133527,36.31241164455883,0,0,0,0,0,0
50.007855301,136260,37.09487001360248,0,0,0,0,0,0
51.009482146,136260,37.815766657303925,0,0,0,0,0,0
52.009387466,138944,38.47425325629215,0,0,0,0,0,0
53.009615542,141755,39.24194040651525,0,0,0,0,0,0
54.008754479,144455,40.02522436418614,0,0,0,0,0,0
55.008282467,144455,40.774841503605636,0,0,0,0,0,0
56.008194578,147215,41.560591687667326,0,0,0,0,0,0
