Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
1.001914372,40299,1.0493611255154254,0,0,0,0,0,0
2.002034788,43936,2.311858594318538,0,0,0,0,0,0
3.00198979,45800,3.451031866298765,0,0,0,0,0,0
4.00213037,49492,4.7975534752218065,0,0,0,0,0,0
5.003072809,53162,6.074167254859855,0,0,0,0,0,0
6.003160233,61690,7.315295827921652,0,0,0,0,0,0
7.003077975,66992,8.58381821628457,0,0,0,0,0,0
8.003095441,69375,9.874170135916028,0,0,0,0,0,0
9.002995531,70600,11.141291577116775,0,0,0,0,0,0
10.003187504,70940,11.857278578692764,0,0,0,0,0,0
11.003454362,71848,13.135255840000951,0,0,0,0,0,0
12.003527778,73097,14.374711664050915,0,0,0,0,0,0
13.003534273,74393,15.659008910794048,0,0,0,0,0,0
14.003942958,77558,16.941001200876144,0,0,0,0,0,0
15.004200634,81356,18.255797193449325,0,0,0,0,0,0
16.004412511,85288,19.53368115996018,0,0,0,0,0,0
17.004782311,89220,20.07377886554231,0,0,0,0,0,0
18.004869193,91072,21.31882149934659,0,0,0,0,0,0
19.004901265,94532,22.57307182870533,0,0,0,0,0,0
20.005451862,98180,23.914632532561235,0,0,0,0,0,0
21.006036078,102114,25.145746523448953,0,0,0,0,0,0
22.006057342,105864,26.4577206182794,0,0,0,0,0,0
23.005927895,109734,27.64738578471841,0,0,0,0,0,0
24.006852186,111553,28.9254349662018,0,0,0,0,0,0
25.006419974,115163,30.183013803855342,0,0,0,0,0,0
26.006851549,118951,31.429449869246994,0,0,0,0,0,0
27.007277337,122817,32.69506072783518,0,0,0,0,0,0
28.007502179,126510,33.98130784641189,0,0,0,0,0,0
29.007455196,130332,35.26486536286963,0,0,0,0,0,0
30.007469028,133997,36.38912384520325,0,0,0,0,0,0
31.00850047,137514,37.67677284269857,0,0,0,0,0,0
32.007968647,139343,38.978150026668004,0,0,0,0,0,0
33.007894362,143164,40.23840568503748,0,0,0,0,0,0
34.009064022,147079,41.50392620885276,0,0,0,0,0,0
35.008916483,151013,42.83932562819574,0,0,0,0,0,0
36.009484401,154922,43.88049578298471,0,0,0,0,0,0
37.008295462,156975,45.17090693137143,0,0,0,0,0,0
38.010064117,161502,46.42847294274013,0,0,0,0,0,0
39.009494864,166227,47.73531884404672,0,0,0,0,0,0
40.009546933,168481,48.786588218651204,0,0,0,0,0,0
41.010461677,171292,50.06580751278348,0,0,0,0,0,0
42.009532527,178520,51.34778595171325,0,0,0,0,0,0
43.010955265,185268,52.68591529618038,0,0,0,0,0,0
44.011355521,188830,53.7458679334663,0,0,0,0,0,0
45.010517708,191170,55.02595993403679,0,0,0,0,0,0
46.010658649,194317,56.30797126894278,0,0,0,0,0,0
47.010530168,196209,57.57797438490413,0,0,0,0,0,0
48.010415572,199896,58.88325665881331,0,0,0,0,0,0
49.009587183,203722,60.1189294634967,0,0,0,0,0,0
50.010677436,208167,61.03410479572974,0,0,0,0,0,0
51.010457108,208167,62.22534477047609,0,0,0,0,0,0
52.010608885,213750,63.56322130024194,0,0,0,0,0,0
53.010839625,222041,64.84128265081719,0,0,0,0,0,0
54.011117978,226874,66.12222148928528,0,0,0,0,0,0
55.011604018,229913,67.36118309074942,0,0,0,0,0,0
56.01126128,232907,68.44020049674995,0,0,0,0,0,0
57.011237981,235488,69.6503552211888,0,0,0,0,0,0
