Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
36.007818263,19240,0.0,5806,0.03888346703443675,25046,0,0,0
37.008987074,19240,0.0,5806,0.03888346703443675,25046,0,0,0
38.008273786,19240,0.5209512439189565,5806,0.043017344673228146,25046,0,0,0
39.0094077,47903,1.2046854100913775,20359,0.8242419487618883,66399,0,0,0
40.011244509,71243,1.6004863202736779,20359,2.566924494869027,86051,1,0,1
41.011598717,71243,1.9740193932374648,35126,4.2426443404872956,100763,1,0,1
42.012163304,78209,2.603312621584493,35126,5.75396759176052,105525,1,0,1
43.013814887,82543,3.2450738724398422,35126,6.00390951086119,107427,1,0,1
44.01061615,85911,3.940224178757148,35126,6.00390951086119,108352,1,0,1
45.014514199,89461,4.610747564654466,35126,6.253312918066443,108974,1,0,1
46.011717839,93738,5.241595132394983,35126,6.253312918066443,109778,1,0,1
47.015429683,98668,5.981912170101908,42490,6.747216785938326,116299,1,0,1
48.014140751,103608,6.588118359569019,42490,6.747216785938326,116496,1,0,1
49.015225731,107787,7.220268026927968,42490,6.747216785938326,116706,1,0,1
50.016377504,107787,7.3718579578332,46436,9.70922239523579,120373,1,0,1
51.015247849,110744,7.9078513876728165,46436,11.963254542670835,120818,1,1,1
52.018107409,114854,8.61655544345823,70887,16.047482217774895,145381,1,1,1
53.016770398,116162,9.363663268681275,78612,20.82634473056736,153200,1,1,1
54.020775614,116935,10.004079824474728,99297,26.104654998982564,173921,1,1,1
55.023845545,117485,10.706076586094238,113554,27.985340458897433,188206,1,1,1
56.023011117,117908,11.34786278553595,120818,29.95176863833843,195497,1,1,1
57.024364952,118272,12.059438246915791,120818,31.164043268035766,195522,1,1,1
58.024247753,118272,12.698487893367743,120818,31.413036987750022,195522,1,1,1
59.023242428,118692,13.39364303606744,133753,33.66150462469872,208503,1,1,1
60.025237172,119271,13.979323609907627,133753,34.317681068105834,208690,1,1,1
61.025690402,119802,14.73332156757168,145429,35.55177398064667,220434,1,1,1
62.026252749,120371,15.626883328452879,145429,36.280152794170874,220508,1,1,1
63.025872182,121975,16.46024212105989,151467,38.72057962259207,220764,1,1,1
64.028935673,123314,17.171820735184284,157461,40.72966895829562,226999,1,1,1
65.028853788,123314,17.814980974146067,157461,42.96047190486681,233000,1,1,1
66.03145681,125358,18.456768003583342,165482,45.19499210025847,241279,1,1,1
67.032493765,127939,19.1683375387713,173956,46.93472847011052,250091,2,1,2
68.033386592,131171,19.73749946178378,173956,49.257246031128304,250392,2,1,2
69.036823492,135033,20.459978494451505,180629,50.74314272133939,257299,2,1,2
70.036720671,139001,21.101701454118135,187167,52.648596879668005,264194,2,1,2
71.036283145,142906,21.74130758328359,187167,54.29495486156661,264500,2,1,2
72.039899389,142906,21.750146883248572,194732,55.62292846876673,272012,2,1,2
73.03941981,146047,22.12537719941226,194732,56.61877367238753,272264,2,1,2
74.03961191,149179,22.84430011346622,194732,57.116762183394684,272522,2,1,2
75.04265206,150554,23.572029339646658,201980,57.86374689816805,279856,2,1,2
76.043357489,151700,24.21787843951162,201980,58.3639968317841,279997,2,1,2
77.042854204,151700,24.851454063357295,201980,60.68848501158182,279997,2,1,2
78.045082035,152524,25.495980833011743,215539,63.677756615943586,293799,2,1,2
79.044216332,153140,26.145982313348572,223220,66.91304852467843,293898,2,1,2
80.045762254,153603,26.83292989579124,223220,69.23305798619589,301712,2,1,2
81.046334083,153897,27.47881325331353,237764,70.974402514219,316295,2,1,2
82.048473236,154106,28.193123515026443,251947,73.21643120087927,330529,2,1,2
83.045224219,154222,28.814359390185516,251947,74.93267668450427,330561,2,1,2
84.047662187,154290,29.53135739422925,258884,76.54274571838627,337509,2,1,2
85.050273747,154384,30.17587286730368,264870,78.01753392600047,343505,2,1,2
86.047959627,154399,30.816268163500226,264870,79.99476289890717,343520,3,1,3
87.048649376,154399,31.529184497441534,278597,81.32306376012225,357247,3,1,3
88.047677308,154467,31.894190165125988,278597,81.84272199318121,357253,3,1,3
89.048860858,154605,32.56880513669661,278980,84.24945126804195,357663,3,1,3
90.05123591,154791,33.28994323975192,278980,84.50634701492696,357668,3,1,3
91.050099539,155013,33.913936248962635,278980,85.00433533231318,357685,3,1,3
92.049453866,155690,34.55570765231437,278980,85.25761777014179,357786,3,1,3
93.048796254,157003,35.32330520607766,279346,86.77259692883965,358271,3,1,3
94.050727306,160423,35.95785467147983,279346,88.52946827098037,359904,3,1,3
95.050438145,169561,36.59326929024968,279466,90.85342205817665,361323,3,1,3
96.049409182,183957,37.035209403103266,280633,96.49730195355264,363517,3,1,3
