Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
32.012552343,16448,0.0,5722,0.03392843440494126,22170,0,0,0
33.011510653,16448,0.21373011735717481,5722,0.03392843440494126,22170,0,0,0
34.01216862,45102,0.8069622707730612,5722,0.03392843440494126,50328,0,0,0
35.011322478,45102,1.327941285958425,5722,0.03392843440494126,50328,0,0,0
36.014243609,74486,1.432004924404339,5722,0.04842963176047951,78252,0,0,0
37.014456304,88269,2.0148572069435566,5722,2.661882861507534,91004,0,0,0
38.015159676,88269,2.5854833269734714,22233,5.151227640665887,107514,0,0,0
39.015716235,95746,3.179307861491104,36255,7.168071903939423,128501,0,0,0
40.022706095,99756,3.7813864592666846,41960,9.262354788820273,137923,0,0,0
41.020488357,101819,4.369787387651726,41960,11.025537284514868,139875,0,0,0
42.023085212,102866,4.838948222894767,47956,12.787174403123704,146869,0,0,0
43.023606567,102866,4.933707760552825,54552,14.004648869196938,153480,0,0,0
44.023285068,103670,5.572102547551404,54552,15.100610329014941,154157,0,0,0
45.024068733,103670,6.087978865547011,54552,15.848533295224565,154157,0,0,0
46.022980074,104310,6.733785276538427,56777,16.833991871174486,156893,0,0,0
47.023810696,104553,7.329034331713613,56777,16.98836184286927,157124,0,0,0
48.025814088,104684,7.924278638147103,56777,17.3652520615762,157255,0,0,0
49.022730548,104777,8.560568325045828,56777,17.70728924033641,157348,0,0,0
50.026877855,104926,9.127096905349768,60132,17.758110207141502,160118,0,0,0
51.024805091,104926,9.71823616323489,60132,17.95896258075006,160118,0,0,0
52.028564026,105084,10.312108731861862,79579,24.47197631289641,166790,0,0,0
53.025975071,105291,10.864913741129898,87368,26.451814854067415,167057,0,0,0
54.028149392,106074,11.506710773002025,87368,28.366313731823443,167118,0,0,0
55.031172533,109426,12.096483864493619,90066,28.938567780526895,166914,1,0,1
56.034408838,109426,12.73396749394662,93081,30.599022438427443,167042,1,0,1
57.030905371,119350,13.247092381611475,93081,32.36070264987562,167164,1,0,1
58.031806284,134165,13.591252097557499,105093,34.356529100031025,167933,1,0,1
59.034323913,143375,14.174428349578314,120205,36.0994914253032,169037,1,0,1
60.033148025,147561,14.731308848027291,120205,37.34433267909552,169525,1,0,1
61.035510335,147561,15.32106141428999,127473,39.536264510922535,169802,1,0,1
62.035015245,149504,15.908107212066696,127473,39.536264510922535,169964,1,0,1
63.0379178,150636,16.423975951623063,131573,42.22039345478886,169748,1,0,1
64.038378683,151820,17.056170443170142,144501,44.20011987256208,170156,1,0,1
65.037928939,151820,17.572059096939803,144501,46.45374558526661,170156,1,0,1
66.041501104,153557,18.212472370297885,159806,48.04045430135033,171422,1,0,1
67.044893307,155877,18.79677601292651,167346,50.55667077458351,174368,1,0,1
68.042558421,158504,18.99327554818074,175468,52.571462745178245,181897,1,0,1
69.0452812,158504,19.030775894980867,175468,54.32690678598749,182125,1,0,1
70.045222773,161926,19.62035438862667,188377,56.1705581697387,196647,1,0,1
71.045616241,161926,20.181227410429464,188377,57.84751604284577,196647,1,0,1
72.044394242,165147,20.95830493381763,198580,60.154128516688914,208893,1,0,1
73.047806742,167883,21.546703549231506,202653,62.332675848283024,214882,1,0,1
74.04747045,170338,22.140614453850194,210077,64.29567710269474,223684,1,1,2
75.049560514,173332,22.7043872250114,210077,65.29579188326943,225870,1,1,2
76.049228735,177370,23.294173451434514,210077,66.54478181841203,228610,1,1,2
77.050312767,177370,23.804613591491467,225557,67.54156122379946,244090,1,1,2
78.049822839,181536,24.397143158548946,225557,69.28465808780254,246865,1,1,2
79.053358002,184877,24.958163545892656,238380,71.27691081680202,262437,1,1,2
80.052744194,187633,25.805218120214736,242450,73.0308844358002,268833,1,1,2
81.055149391,190358,26.44426021137703,242450,73.49555161326651,271095,1,1,2
82.054273347,190358,26.834265022131977,242450,74.74025275235343,271095,1,1,2
83.05653421,192922,27.344683464380342,247257,78.05321341034296,277988,1,1,2
84.057779377,195335,27.760677822285214,277421,80.80066979120473,308152,1,1,2
85.05767533,195335,28.14656007310094,277421,82.21342905149004,310415,1,1,2
86.060201787,197695,28.52559852234656,283437,83.40807429534259,317887,1,1,2
87.061453926,197695,28.958012584051946,291211,84.62708410975368,317887,1,1,2
88.063269701,200294,29.400005243107852,291211,84.82713381356905,328293,1,1,2
89.063181757,203219,30.11015377540533,293515,86.64910008097786,333418,1,1,2
90.061697782,206421,30.532975611552786,293515,87.06484737315667,336714,1,1,2
91.05960645,206421,30.976319956158243,293515,87.74783426183936,336714,1,1,2
92.06314389,209637,31.52612431682253,296255,88.18395863661851,342268,1,1,2
93.062106892,213162,32.066563032300344,296255,88.82865054537773,345642,1,1,2
94.062826503,213162,32.55117827744543,296255,89.64319917773838,345642,1,1,2
95.062191485,216581,33.064274135754744,296255,89.90311660782436,349209,1,1,2
96.062962859,219218,33.660870984631316,296255,90.4011001171605,351816,1,1,2
97.062126681,224607,34.243808198697515,309031,94.14633059384181,364592,1,1,2
98.064097684,224607,34.80205267238351,324652,99.68262513990136,377958,1,1,2
99.066503179,236149,35.4329052092676,324652,101.29373563553096,396990,1,1,2
100.0675436,253103,36.20054418792035,330499,102.78701810956156,419791,1,1,2
101.065047739,262394,36.77452470597261,338537,105.02797777791096,429261,1,1,2
102.06718031,267946,37.10918132197169,338537,106.52249136293435,442826,1,1,2
103.076060611,271374,37.67826093257956,346636,109.65160321065682,454150,1,1,2
104.069544496,273351,38.187310173279386,353638,112.36558620021025,463129,1,1,2
105.06955214,273351,38.75105847562491,357145,112.74763202230864,466636,1,1,2
