Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
51.009915746,19240,0.0,5878,0.14222379123163248,25118,0,0,0
52.008470147,19240,0.1734144813512069,5878,0.14222379123163248,25118,0,0,0
53.010004706,47848,0.8829894723289053,5878,0.6280561424788386,52158,0,0,0
54.011475008,71265,1.6545653046558066,5878,2.0767233739933686,73159,1,0,1
55.012088618,71265,1.6907747601121208,21973,3.576061724596249,88192,1,0,1
56.012184329,78522,2.100056953420566,21973,4.075774808531046,93124,1,0,1
57.011237895,82741,2.824266020900944,21973,4.826379590354339,95265,1,0,1
58.012011875,85560,3.456385274994027,21973,6.007364031389876,96526,1,0,1
59.011999423,85560,4.099517606390678,21973,6.273467342204052,96526,1,0,1
60.013217328,88215,4.6824592947003545,21973,6.273467342204052,97613,1,0,1
61.014012379,91444,5.325609607373697,33904,9.199206382428475,108791,1,0,1
62.014533157,99509,6.440857566194958,38920,13.77080901479787,114303,1,1,1
63.016487477,105421,7.1264360423063335,65910,17.271536884204057,142240,1,1,1
64.018029733,111810,7.844848905472155,65910,19.399306901862538,144186,1,1,1
65.018527351,111810,8.128925920168452,70674,21.53660298573137,148949,1,1,1
66.019596554,111810,8.801248036874952,70674,23.70551737338201,148949,1,1,1
67.020622545,116478,9.429207721689204,77866,25.019233223242114,158110,1,1,1
68.021745679,118802,10.006615421565128,77866,27.480759211668975,159031,1,1,1
69.022739789,119922,10.772920748239894,90690,29.397594795240227,172252,1,1,1
70.022024774,120691,11.414711305516988,90690,30.79554973677378,172463,1,1,1
71.024135101,121330,12.04007851092699,98185,32.20048978706771,180064,1,1,1
72.024966242,122171,12.680496602571175,98185,33.93476319055714,180195,1,1,1
73.024944081,123492,13.32502496284129,98185,34.98262664817194,180394,1,1,1
74.02609325,125290,13.6534462574123,101475,37.117584960133854,183925,1,1,1
75.02482439,125290,14.16867194969506,101475,38.04910320503688,183925,1,1,1
76.025421564,127758,14.756588960751,113753,40.846797628926026,196565,1,1,1
77.02673206,130379,15.383240769230241,120809,43.96926214168677,203924,1,1,1
78.0255883,132255,16.089231497684178,124598,45.8077681748837,208086,1,1,1
79.026627067,134079,16.735107639158592,124598,47.85913236920274,208390,1,1,1
80.028225412,135521,17.372785124393896,130255,49.84229367525022,208718,2,1,2
81.028149306,135521,18.070679471353877,130255,51.25880085354204,214448,2,1,2
82.032568871,137113,18.66867148469552,137960,52.60424742053567,222616,2,1,2
83.031886007,139150,19.388449431837127,137960,54.3478977267046,223079,2,1,2
84.033007915,142063,20.084964978780828,144323,56.25266770969613,229809,2,1,2
85.032776357,146052,20.754109870743573,144323,57.24864770362501,230110,2,1,2
86.033756963,149777,21.324636145968476,150550,58.49200923653697,236621,2,1,2
87.036638197,151962,21.797026096940492,150550,59.96973766116149,236701,2,1,2
88.035977294,151962,22.312170265678024,157763,61.442164244152636,243821,2,1,2
89.03777005,153036,22.955310424896428,157763,63.035839490869414,243860,2,1,2
90.038772169,153575,23.588886940452213,164943,64.77880204446231,251027,2,1,2
91.040329756,153826,24.24982568102061,164943,65.96879731883418,251027,2,1,2
92.038856872,154034,24.943626678182422,171546,67.96133411128396,257748,2,1,2
93.041541394,154324,25.57583379105507,178292,69.70402862647396,264570,2,1,2
94.042210009,154750,26.164261852586957,178292,71.38384135106809,264578,2,1,2
95.044039455,155485,26.803322417258755,183788,73.36887275505555,269892,2,1,2
96.045574024,155485,27.442376400035343,183788,74.69827361133294,269892,2,1,2
97.045338729,156881,28.081381973094633,189580,76.18657487102249,275769,2,1,2
98.046582164,160924,28.793217409556203,189580,77.92001292884122,275885,2,1,2
99.048148132,170863,29.421790507475848,200825,79.58260916360554,288576,2,1,2
100.047100537,185148,30.137454869148506,200825,80.89163817921848,293326,2,1,2
101.048687849,194173,30.828499339293053,214581,81.92378776644911,312031,2,1,2
102.049714257,198640,31.423762877400804,214581,84.4723259465682,314677,2,1,2
103.049434896,200919,32.188705467712865,222466,86.44907334930275,323809,2,1,2
104.049409962,202723,32.885225655200855,222466,88.21332564632867,324611,2,1,2
105.052011304,204545,33.555748593214396,229475,90.49225500428345,332271,3,1,3
106.051467482,206848,34.23138355325682,229475,91.7034925786888,332903,3,1,3
107.049531247,209555,34.63475416713034,240505,93.76322279586851,344764,3,1,3
108.053926027,209555,35.29385182226787,253106,95.7589283230942,357365,3,1,3
109.051886624,212699,35.92735556946944,253106,97.25584017819031,358465,3,1,3
110.051837762,216080,36.566383407485105,259080,98.9190187682491,365583,3,1,3
111.05328408,219217,37.28479739331935,259080,100.16399344618877,366834,3,1,3
112.051465696,222302,37.98678102720342,260179,102.01484420146609,369093,3,1,3
113.058760164,226126,38.70931247696773,260179,103.73741519269807,370249,3,1,3
114.051368003,229152,39.35519485297512,260408,105.01644089591424,371234,3,1,3
115.052281719,231217,39.9942355910846,260408,105.91526954196726,371692,3,1,3
116.051410978,232487,40.64423921952602,260741,106.91801918628606,371933,3,1,3
117.051518227,233381,41.339393032635215,260741,107.11787974879606,372409,3,1,3
118.052420253,233381,42.011271036525315,260741,107.32255362907404,372409,3,1,3
119.051737253,234180,42.73652852143727,263004,109.96230087475881,374747,3,1,3
120.050580016,235695,43.58220551807523,263004,110.666753215072,374847,3,1,3
121.052127739,235695,44.04813912834046,264422,113.72195633271929,376265,3,1,3
122.052627894,237667,44.99907706967383,264825,117.92998773888961,376417,3,1,3
123.053102056,238327,45.795208868785274,265022,121.0029631959199,376853,3,1,3
124.051932861,238718,46.48897866730322,265022,123.08464107864987,377068,3,1,3
125.053349302,239031,47.2621191808569,265335,124.67408712388304,377089,3,1,3
126.051304569,239222,47.9860057121933,265335,126.25750272792568,377422,3,1,3
127.053412392,239423,48.62917173558529,266205,128.43226070358182,378321,3,1,3
128.053855994,239802,49.3434785300721,267495,130.50412604402737,378363,3,1,3
129.055463121,239802,49.97841688245818,267495,132.16408946367676,379653,3,1,3
130.052853485,241202,50.677599470674394,268807,133.40906592065093,381219,3,1,3
131.05484124,246177,51.3131509526737,268807,133.90705331163028,383074,3,2,4
132.054662012,256921,51.66488567191622,268807,134.15605080181817,385548,3,2,4
133.05510435,271055,52.06786328807341,268807,135.9170623299338,387835,3,2,4
134.055062951,271055,52.70280633096551,270438,138.00649729129233,389293,3,2,4
135.059863265,278998,53.34595602659252,270438,139.36876742765662,390222,3,2,4
136.054830004,284046,54.06847304531712,271602,141.44814496675238,391014,3,2,4
137.054552107,287441,54.61740595330528,272910,144.13249604664162,391339,3,2,4
138.056231056,289760,55.25913707269916,274075,146.92013286988922,391417,3,2,4
139.055394072,291993,55.92967304329123,279350,148.7463045723244,391476,3,2,4
140.057600211,294038,56.57556946568473,279350,150.25765953448263,391540,3,2,4
141.057486042,296167,57.276208016614085,284446,152.0484271698538,391824,3,2,4
142.058712284,298272,57.945371821144384,284446,153.72337333689325,391868,3,2,4
143.060013606,300611,58.643258757011175,287566,156.87193344873242,392206,3,2,4
144.061062251,300611,59.29325761219332,287566,158.28897646883343,392206,3,2,4
145.05730333,302527,59.9377806133472,290831,160.1806145508798,392268,3,2,4
146.057524742,304411,60.60693512812185,290831,160.53609266773276,392325,3,2,4
147.05988616,306353,61.25145150858584,290831,161.244797891156,392446,3,2,4
148.060354087,308567,61.90146184684508,290831,162.31142098479808,392594,3,2,4
149.058767948,310522,62.551465711710996,290831,162.6658677078076,392610,3,2,4
150.060253831,312623,63.09138962137008,296478,163.6966821757213,392893,3,2,4
151.058977054,314495,63.71947081853569,296478,165.456200272037,392953,3,2,4
152.061130793,314495,64.1491430777958,299773,168.34173644859325,393099,3,2,4
153.061728393,316398,64.61029687327375,303448,175.98004271435178,393295,3,2,4
154.058993173,318130,65.19462073784413,303448,177.36762365477554,393333,3,2,4
155.062781883,320021,66.01290825871088,303877,179.82423711616988,393400,3,2,4
156.063089347,321990,66.73405095223266,304731,181.8162861456746,393478,3,2,4
157.059857625,324006,67.37309981328212,304731,184.13544601624645,393583,3,2,4
158.062663271,325929,68.08878873073438,307274,186.52539171708605,393680,3,2,4
159.061091688,328021,68.77161831653135,307274,188.4239653750697,393703,3,2,4
160.059799216,328021,69.43119327090618,308335,189.82037012083737,393843,3,2,4
161.063225395,330287,70.07708137804377,308335,191.10365828239227,393905,3,2,4
162.06590307,332361,70.70655022672204,308335,191.80258513758957,393884,3,2,4
163.062320413,334259,71.41812073643571,309675,194.25523997018712,393927,3,2,4
164.066602515,336414,72.1146345137103,309675,196.1797773996911,393946,3,2,4
165.063924802,338650,72.74684703243386,312588,199.0539487674449,393608,3,2,4
166.06755836,340813,73.46936924871828,312588,199.76397673942958,393627,3,2,4
167.06632301,343158,74.11114668450665,319198,204.26880224584045,394342,4,2,5
168.068387373,345650,74.82955345002776,325997,205.9469870836818,394267,4,2,5
169.069079964,348002,75.54112181784144,339030,208.78339009585866,394398,4,2,5
170.071191687,350223,76.07815907390263,339030,211.27465826733507,394492,4,2,5
171.067911577,350223,76.52107063076602,348301,212.93143800498137,394534,4,2,5
172.073715904,352076,77.23808739541975,348301,215.05991280600637,394635,4,2,5
173.071540503,353221,77.95786398380967,352421,217.7823266200922,394717,4,2,5
174.068194313,354035,78.58460557272363,352421,219.28290880227473,394752,4,2,5
175.068362904,354541,79.22775624402075,358861,220.6394485215686,396665,4,2,5
176.07209244,354943,79.95299097727963,358861,222.1352018635486,396669,4,2,5
177.068915044,355394,80.63444650264546,368552,223.55188368333884,404568,4,2,5
