Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
38.011928249,16448,0.0,5871,0.08489138387615953,22319,0,0,0
39.011177427,16448,0.3310867134400058,5871,0.08489138387615953,22319,0,0,0
40.012670061,45153,0.9067573591050797,5871,0.08489138387615953,50646,0,0,0
41.015219852,74861,1.553264116579085,5871,0.08489138387615953,78866,0,0,0
42.014113807,87889,2.13747010544128,5871,0.08489138387615953,90877,0,0,0
43.015277703,87889,2.4156770449784957,5871,0.08489138387615953,90877,0,0,0
44.014670428,94335,2.9665896105186107,5871,0.08489138387615953,96802,0,0,0
45.014696989,97864,3.55908936721582,5871,0.08489138387615953,100136,0,0,0
46.014317765,99551,4.111907092264725,5871,0.08489138387615953,101767,0,0,0
47.013809347,99551,4.694857364461192,5871,0.08489138387615953,101767,0,0,0
48.015737812,100411,5.589775575399176,5871,0.3567433864047961,102598,0,0,0
49.016546818,100907,6.224672398832911,21409,2.1904476060933664,118242,0,0,0
50.015790603,101205,6.80899579797961,36011,3.921048318183724,133048,0,0,0
51.016409168,101622,7.391933571358403,36011,4.433854243242818,133231,0,0,0
52.016932356,102121,7.954335244569701,36011,6.865947322096202,133429,0,0,0
53.020278164,102484,8.627593237737933,42995,8.650170882669583,140554,0,0,0
54.019996122,103083,9.269390970672973,45995,11.503266114028069,143701,0,0,0
55.020051766,104359,9.9672632453495,45995,12.554136951506726,143886,1,0,1
56.021257613,104359,10.67335829046871,45995,13.801385228656962,143886,1,0,1
57.023581199,105971,11.102078636511726,52854,17.025882639935812,150955,1,0,1
58.026241841,108308,11.327664403058257,60027,20.43239056502357,158355,1,0,1
59.028146575,111718,11.912652225638897,68813,22.676131756964097,167403,1,0,1
60.029482827,119315,12.473685561184412,77356,24.683050282458996,176238,1,0,1
61.029591624,119315,13.049701387983887,77356,27.054155408934854,176238,1,0,1
62.031572897,129380,13.620299603112114,82948,29.06965326708804,182199,1,0,1
63.035100567,138518,14.196275149061062,89659,31.064812548314205,189240,1,0,1
64.033398433,144332,14.77493251499297,95317,33.137292427288784,195227,1,0,1
65.034100968,144332,15.40971415640652,95317,34.887762979945514,195227,1,0,1
66.034576027,147513,16.00358516433648,95317,35.63940991558083,195647,1,0,1
67.03486959,148934,16.10073032238337,100708,37.21825438122001,201181,1,0,1
68.037033724,148934,16.71590196853883,100708,38.963499951196226,201181,1,0,1
69.039223759,149726,17.28096259532154,110931,41.716507869369735,211681,1,0,1
70.039202442,151074,17.815924902780765,110931,42.78753091823926,211839,1,0,1
71.039742604,152202,18.372840108198194,118733,44.89673045579003,219708,1,0,1
72.044811514,152202,18.88463509725902,128487,48.08999664456131,219708,1,0,1
