Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
45.007807174,19240,0.0,5813,0.14689324009727606,25053,0,0,0
46.007947382,19240,0.005471194415771734,5813,0.14689324009727606,25053,0,0,0
47.0071946,19240,0.5697982998114255,5813,0.14689324009727606,25053,1,0,1
48.010309358,47922,1.2142421474105431,5813,0.20620629709730995,52072,1,0,1
49.01171584,71501,1.6337316214128776,5813,0.2810774897642413,73271,2,0,2
50.009598286,71501,1.6337316214128776,5813,0.35604028534791754,73271,2,0,2
51.014367864,71501,1.9752170965703038,11671,0.9753884291451776,73332,2,0,2
52.01320776,71501,2.526475057321694,11671,2.381601948355464,73332,2,0,2
53.013788082,79259,3.1983182872398346,26938,3.54361203587221,80325,2,0,2
54.013593984,83453,3.9112173163044313,26938,4.788622293451105,84234,2,0,2
55.014214242,86297,4.5584747591375026,26938,5.28662620704169,87013,2,0,2
56.014924314,89417,5.194739076779316,40511,6.698685667611331,90266,2,0,2
57.014089071,93756,5.784510134751038,40511,7.196809300525957,94623,2,0,2
58.013438308,98429,6.422176598014116,40511,8.619958848631619,99377,2,0,2
59.014741366,103138,7.065305866178034,40511,9.388811962572678,104060,2,0,2
60.017728389,106285,7.775453142669612,45286,10.076867628111664,107034,2,0,2
61.015583911,106285,8.421345407565632,45286,11.362043574131153,107034,2,0,2
62.016024952,108290,8.633265368582126,52600,13.035508708956867,109105,2,0,2
63.01728003,108290,8.883344220185464,52600,14.231738063590939,109105,2,0,2
64.018034535,109693,9.510480336890335,60414,15.839866333192713,110751,2,0,2
65.018240064,110887,10.152248625169,60414,17.004809762952668,111863,2,0,2
66.018196079,111579,10.944487457105875,67126,18.08700410754064,113086,2,0,2
67.019169379,112787,11.627326207944092,67126,19.331977247676512,114173,2,0,2
68.018530841,114158,12.266376043522223,67126,20.496102300687383,115427,2,0,2
69.020155291,115491,12.938268498433455,73515,21.493157118120855,117556,2,0,2
70.020902729,117458,13.586902820255004,73515,22.49584015458842,119199,2,0,2
71.021175836,119257,14.277953034312079,80994,23.740948591659837,121959,2,0,2
72.022909724,121318,14.808895537985197,80994,24.737196055254977,123511,2,0,2
73.022411491,121318,15.454786344704095,80994,25.899976985348204,123511,2,0,2
74.02375636,123285,16.092467533220326,95541,26.64696178787366,131959,2,0,2
75.020669915,125316,16.78899386893578,95541,27.14495228060038,132527,2,0,2
76.023608535,127360,17.38289357303019,109927,29.719779747737757,145754,2,0,2
77.022175787,129520,18.105412839602653,109927,31.047751067608754,145842,2,0,2
78.023303234,131454,18.659622157977132,109927,32.292725387877525,146068,2,0,2
79.025472037,133368,19.321938738224954,117314,33.4607394829804,153246,2,0,2
80.022711736,135533,19.86855853876068,117314,34.838323677570536,153206,2,0,2
81.026338638,135533,19.86855853876068,120226,35.85089199750366,155966,2,0,2
82.026565735,135533,20.258859023467384,120226,36.76561310377367,155966,3,0,3
83.025868871,137345,20.95936923040282,125976,38.01727194225647,161756,3,0,3
84.027543037,138444,21.653103017032684,125976,39.18598757459577,161781,3,0,3
85.026177141,138935,22.32087600359958,125976,39.685590660110584,161791,3,0,3
86.028427132,139038,23.009191325387686,125976,40.847566769633005,161798,3,0,3
87.027112066,139056,23.642762809856574,134498,41.345556392918546,170473,3,0,3
88.028512462,139061,24.290026204399815,134498,43.25451603450624,170473,3,0,3
89.030151421,139061,24.95234202576673,140035,44.831482915774295,175930,3,0,3
90.032154551,139062,25.63381526823378,140035,45.98412551720923,175930,3,0,3
91.03391813,139062,26.35217007469049,145317,47.196558851517196,181139,3,0,3
92.032801166,139062,26.98761055989747,145317,48.58460232538395,181139,3,0,3
93.038408419,139062,27.75027948508398,159412,49.813904660446966,195386,3,0,3
94.032916539,139062,28.471384650539534,159412,50.71731485174595,195386,3,0,3
95.034066541,139062,29.10632267467114,159412,51.781582187076395,195386,3,0,3
96.03552496,139062,29.73578793420853,170573,53.00865510316078,206547,3,0,3
97.035185691,139062,30.38030738359028,170573,54.15538055641617,206547,3,0,3
98.035895626,139062,31.043983767408907,176595,55.28559585305152,212569,4,0,4
99.035804711,139062,31.688503216788227,176595,56.258207229136964,212569,4,0,4
100.036337304,139069,32.45755643529889,176595,57.571427305663676,212576,4,0,4
101.035691387,139069,33.07471477864056,190612,58.48373660054629,226593,4,0,4
102.037401743,139082,33.60429214832198,190612,59.625933814507526,226606,4,0,4
