Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
47.011717139,16448,0.03712538715669022,5760,0.055115049117919895,22208,0,0,0
48.011848723,16448,0.6231165851850062,5760,0.055115049117919895,22208,0,0,0
49.01393639,44846,1.193703955249924,5760,0.055115049117919895,50154,0,0,0
50.014146711,74634,1.2861982162234529,5760,0.7613896126548082,78481,0,0,0
51.015272332,74634,1.3274091640323455,20989,1.7526019725092346,93655,0,0,0
52.015092166,74634,1.901811330028551,20989,2.9976124871071614,93655,0,0,0
53.01679488,88801,2.603675936414206,35006,4.102079553968918,120699,0,0,0
54.017137997,96592,3.1824598843417213,35006,4.931548061936873,127862,0,0,0
55.018730935,100678,3.7749698660128113,43125,6.5956520352517245,139684,0,0,0
56.018623602,102883,4.341486563146362,43125,7.593645456525291,141627,0,0,0
57.020034605,104370,4.983270648464974,43125,8.262997253954868,142760,0,0,0
58.022557696,104370,5.527903122978872,46999,9.618903850004003,146623,0,0,0
59.023157295,105678,6.093049256011319,46999,10.802334513517218,147443,0,0,0
60.024515676,107002,6.675976519918906,46999,11.810920809467186,148168,0,0,0
61.024604553,108440,6.841355096316684,52600,13.07985460350985,154559,0,0,0
62.025131516,108440,7.130877185626179,52600,14.330507796491078,154559,0,0,0
63.03026069,109940,7.635009301033497,62214,15.409483030192884,165129,0,0,0
64.026682333,111435,8.228863447628875,62214,16.672145390140926,165808,0,0,0
65.026801108,111435,8.826761768307104,62214,17.668129935363773,165808,0,0,0
66.028308627,112600,9.471252348950726,71367,18.93566638647056,175440,1,0,1
67.027852158,113516,9.991229732134068,71367,20.093592603265424,175791,1,0,1
68.031463611,114064,10.560481271079052,76765,21.360556315848218,181453,1,0,1
69.03124807,114064,11.158498318331565,76765,22.436443395745314,181453,1,0,1
70.030580891,114447,11.756510415739411,76765,23.254348563221445,181557,1,0,1
71.031664413,114750,12.321668682992652,81771,24.665321600093275,186605,1,0,1
72.031296746,114962,12.889535484807368,81771,25.910294254437854,186627,1,0,1
73.033811372,115198,13.551832582681822,89016,27.404267482572006,193874,1,0,1
74.03488459,115198,14.145728166352775,89016,28.64924013691771,193874,1,0,1
75.036122685,115544,14.715004727337455,96994,29.89421279126394,201838,1,0,1
76.038061737,116315,15.382792361774406,96994,31.14012773402282,201944,1,0,1
77.040277236,118856,15.949276067979003,104830,32.385098349316536,209751,1,0,1
78.039199542,126845,16.522431684459058,104830,33.38108240569102,210027,1,0,1
79.040219519,126845,17.074985066728352,104830,34.87504714404066,210027,1,0,1
80.041925082,138866,17.66861596045799,112379,35.87651255967011,218017,1,0,1
81.043607956,148297,18.250815401573085,112379,37.121483871252984,218772,1,0,1
82.044298491,152433,18.804786678909544,119836,38.618934566072426,226407,1,0,1
83.043493282,154644,19.3904567123394,119836,39.8640447670366,226664,1,0,1
84.046212499,154644,19.98570791008715,127030,40.86002365073934,233892,1,0,1
85.044976014,155998,20.63570986493432,127030,41.93900046217169,234047,1,0,1
86.04678982,157110,21.152976887671333,127030,42.934983143131895,234251,1,0,1
87.048553161,158394,21.772870678818094,134274,44.42894956233603,241681,1,0,1
88.047269466,160414,22.392731712173664,134274,46.00592151922571,242133,1,0,1
89.050599387,160414,22.944138129662743,141255,47.08490214335479,249269,1,0,1
90.049907092,162997,23.532502343221008,141255,48.32987477936882,249853,1,0,1
91.050269945,166502,24.111222621585444,148251,49.574851243519085,257567,1,0,1
92.052147565,170927,24.811644889135515,148251,50.819823879533146,259033,1,0,1
93.051607113,176907,25.651659746472887,148251,52.064796530986264,261311,1,0,1
94.052467415,182335,26.17039069367819,156093,53.30990653323086,270737,1,0,1
95.057068996,186060,26.80497336599531,156093,54.80387310256076,271743,1,0,1
96.053160301,186060,26.978368184892457,170392,56.05259356039716,286106,1,0,1
97.052937896,186060,26.989296188204406,170392,57.301736099749874,286106,1,0,1
98.054373985,186060,27.22311914828532,184464,58.54884855938058,300178,1,1,2
99.054252052,188926,27.841023329651417,184464,59.38191616040671,300995,1,1,2
100.056735614,191178,28.47864639614494,190859,61.19686637155342,307836,1,1,2
101.053455382,191178,29.11904174160813,190859,62.03964068723148,307836,1,1,2
102.058073727,192882,29.708806836088886,190859,63.34793060652427,308080,1,1,2
103.054834807,194561,30.34510287254786,195358,64.19514989017523,312678,1,1,2
104.054596454,196292,30.9882523029089,195358,66.1183064890706,312913,1,1,2
105.056174792,198379,31.579429879267828,202840,67.36902710971607,320916,1,1,2
106.058737706,200626,32.13774984430684,202840,68.62070955144372,321157,1,1,2
107.060682282,200626,32.60167361872494,211351,69.61950292713976,329584,1,1,2
108.059370514,203016,33.109362074715534,211351,71.03328996466219,329977,1,1,2
109.058288453,205687,33.55139740187004,218225,72.36581750343974,337321,1,1,2
110.061932562,205687,34.22056528472208,218225,73.61079187673609,337321,1,1,2
111.059111726,208259,34.84999874689285,218225,74.85710230528657,337599,1,1,2
112.06236502,211159,35.367278613039396,225502,76.10207641466174,345408,1,1,2
113.067044462,214149,35.961189142359174,225502,77.34705052403558,345996,1,1,2
114.063651572,217795,36.524960684955644,240465,77.9280397490108,347096,1,1,2
115.067433115,217795,37.11747856449078,240465,79.59182740436947,362190,1,1,2
116.065048137,222479,37.67714981466996,240465,80.83680208587485,364556,1,1,2
117.0694883,230056,38.26141790111559,257033,82.08177486126279,386428,1,1,2
118.068173318,240923,38.7218140020851,257033,82.91175925302834,395386,1,1,2
119.070630579,240923,38.76688542150958,266344,84.44058933917961,404885,1,1,2
120.068530953,252354,39.22437191590876,266344,85.72435080864709,414595,1,1,2
121.068675409,252354,39.86180142543701,268813,87.2691345445107,417064,1,1,2
122.075299788,261156,40.45566269547508,268813,88.19683597135109,424146,1,1,2
123.070796379,266732,40.96332913130963,269586,88.4607030055031,429408,1,1,2
124.073355406,270210,41.550376416886806,269586,88.57643873792578,432069,1,1,2
125.070183931,270210,41.935891174304395,269586,89.23969155470569,432069,1,1,2
126.086532666,272763,42.43498194192966,272954,90.4702119325005,437663,1,1,2
127.078032381,275016,43.081806122602835,272954,91.7135715475066,439746,1,1,2
128.078120909,277221,43.71933748544328,280250,93.20511306926389,448877,1,1,2
129.084079218,279251,44.35700105324784,280250,94.19974132947178,450775,1,1,2
130.078922939,280832,45.0015215984114,289051,95.4419871232666,461090,1,1,2
131.079564823,282074,45.6720172317396,289051,96.68615225553908,462328,1,1,2
132.079349466,282074,46.23169634992935,296185,97.93112609420474,462328,1,1,2
133.080127202,283473,46.87073108379061,296185,99.42509433270456,470918,1,1,2
134.07927292,284735,47.431786822042206,296185,100.6700700644232,472180,1,1,2
135.085305324,285859,48.10229436230297,303578,101.91504343653077,480476,1,1,2
136.082621552,287244,48.584975672219514,303578,103.32357868343844,481861,1,1,2
137.08765931,287244,48.73564659680464,316538,104.56597609622004,494809,1,1,2
138.085107755,288702,49.37813392129426,316538,105.80839183715945,496206,1,1,2
