Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
12.009317263,19240,0.0,20778,1.2582321473576685,40018,0,0,0
13.009975863,19240,0.0,20778,2.188973286883179,40018,0,0,0
14.010526333,19240,0.0,35188,3.921093496511012,54428,0,0,0
15.011323733,19240,0.4641523588738117,42114,5.7768900668335625,61354,1,0,1
16.012372943,47613,1.1861969965066168,42114,7.542220176488859,87739,1,0,1
17.015791396,71277,1.653947349346742,45629,9.213659333497654,110764,1,0,1
18.015264417,71277,1.8397423846555894,45629,10.975590815118823,110764,1,0,1
19.015707791,71277,2.5506506168882366,52511,12.749674497306824,117646,1,0,1
20.016226436,78035,3.2332535203919157,64027,14.50839531458327,133172,1,0,1
21.016298673,82263,3.822895351601102,64027,16.34249670203328,134712,1,0,1
22.016742003,85038,4.463288619978782,74595,18.11212826543525,145755,1,0,1
23.017223099,87743,5.04896225437389,74595,19.8678943352348,145915,1,0,1
24.019073319,90290,5.688010582724705,79813,21.674392669302414,151172,1,0,1
25.020636505,92296,6.391369319604357,86275,23.173271813639104,157672,1,0,1
26.020662328,95142,7.034520207033674,86275,25.006102218809957,157734,1,0,1
27.022372673,95142,7.680407624796645,99402,26.998058687994142,170861,1,1,1
28.021208201,99535,8.178585159043543,99402,28.658025381914708,171078,1,1,1
29.021736121,106531,8.178585159043543,110505,30.64998785279873,182354,1,1,1
30.024395141,106531,8.178585159043543,115417,32.3683639799454,187266,1,1,1
31.024988872,106531,8.178585159043543,115417,34.058104913093615,187266,1,1,1
32.024359045,106531,8.21951145291309,126593,35.78843124268309,198442,1,1,1
33.025540161,106531,8.68198485185022,139802,37.86149747593202,211651,1,1,1
34.025241801,110116,9.601061544333634,139802,39.580097099546336,211912,1,1,1
35.025265937,110116,10.241443181881412,146352,41.18937812139491,218462,1,1,1
36.03252372,110116,10.955752264052956,153262,43.13304870563938,225381,1,1,1
37.028864235,110116,11.522274925265918,153262,44.88557911129527,225381,2,1,2
38.031261245,110116,12.242068221540281,159427,46.53810216539124,231567,2,1,2
39.030827357,110116,12.881125807797753,159427,48.2759808080648,231567,2,1,2
40.033659236,110116,13.521551928648547,163364,49.99855979541865,235478,2,1,2
41.034650275,110116,14.160609514908677,169596,51.77196362375558,235478,2,1,2
42.034864913,110116,14.750403701311988,169596,53.706132505960845,241697,2,1,2
43.035913565,110136,15.467445752446737,178208,55.35477516053929,250335,2,1,2
44.036686478,113362,16.15534696231739,178208,57.26359845590207,253567,2,1,2
45.039054082,117481,16.792623504382384,184779,58.923563835826705,264488,2,1,2
46.039202517,125614,17.45081088686753,184779,60.487308729696025,272734,2,1,2
47.044188443,137308,18.137738756879266,190879,62.14201061936003,290459,2,1,2
48.044267675,144979,18.78773986507838,197047,63.884974662194594,304246,2,1,2
49.045903091,149737,19.563631506542244,197047,65.37057605452371,309003,2,1,2
50.04681014,153107,20.23277533432151,203615,67.11434559887468,318946,2,1,2
51.047602795,155656,20.46776734568109,203615,69.0226327510619,321330,2,1,2
52.051444675,155656,21.141553153861476,214755,70.76559510671663,332453,2,1,2
53.048244628,157555,21.854473626559,228931,72.50856143392393,348540,2,1,2
54.050324381,159498,22.496251112638724,228931,74.18581903520317,350641,2,1,2
55.049993828,161163,23.12024930763429,239808,76.06479783686056,363095,2,1,2
56.050724154,163084,23.83866502198234,239808,77.96489696993619,365016,2,1,2
57.05255399,165231,24.540673203218077,244948,79.57212486958541,372426,2,1,2
58.053222302,167228,25.179722717949236,250172,81.36877974715115,379647,3,1,3
59.053164293,169570,25.8105658119866,250172,83.00896297390187,381950,3,1,3
60.052568941,172079,26.53583018247744,263176,84.73594672108278,397540,3,1,3
61.052384569,174546,27.217302222067666,263176,86.47891105638357,400007,3,1,3
62.052041631,176559,27.88510015472136,274842,88.11552925094138,413686,3,1,3
63.05091173,177878,28.567946534025374,275372,89.81120042828623,415513,3,1,3
64.051297505,177878,29.20700645752935,275372,91.22809969574756,415513,3,1,3
65.05117474,178669,29.222505626534822,276709,92.94701665859701,417795,3,1,3
66.051519051,178669,29.222505626534822,276709,94.43291513170215,417795,3,1,3
67.054576888,178669,29.444877678036576,276911,96.10323906386827,417997,3,1,3
68.051240374,179338,30.085937784687673,277692,97.84821107895155,418666,3,1,3
69.056876694,179650,30.806996733642396,277692,99.61672749625204,419759,3,1,3
70.053181111,179727,31.43906273737604,278675,101.36828785425037,420819,3,1,3
71.053027879,179727,32.16016157677381,278675,102.94343854758192,420819,3,1,3
72.051751086,179762,32.79919773238612,278720,104.38381430018603,420899,3,1,3
73.051628741,179770,33.371200011446604,278720,105.86352217100723,420907,3,1,3
74.053793676,179789,33.969203403088954,279075,107.83252899884036,421281,3,1,3
75.051024421,179789,34.56445213552998,280930,109.28345271280259,423136,3,1,3
76.052289697,179789,35.13233437688632,280930,111.17791303743289,423136,3,1,3
77.052329075,179814,35.84527337163888,281688,112.91266709930342,423919,3,1,3
78.053031049,179814,36.53768215577668,281921,114.64421320356483,423919,3,1,3
79.054499565,179814,37.21367371300799,281921,116.38467998736265,424152,3,1,3
80.05154489,179825,37.85408897191361,281982,117.87066122656556,424224,3,1,3
81.050943201,179825,38.493090221762145,281982,119.6964302284144,424224,3,1,3
82.051579756,179825,39.25647953224831,281986,121.18706589810164,424228,3,1,3
83.05125035,179825,39.88731789113914,281986,122.93023111035146,424228,3,1,3
84.051727284,179825,40.60299719172472,281986,124.590390170362,424228,3,1,3
85.054105424,179825,41.164049404762295,281986,125.81882756659634,424228,3,1,3
86.053798346,179825,41.69772809634337,281986,126.14668630465401,424228,3,1,3
87.052483287,179825,42.45529493959403,281986,126.86509285375963,424228,3,1,3
88.052992845,179826,43.14684078382747,281986,128.48482685146334,424229,3,1,3
89.052570693,179826,43.81021449005737,282004,129.97152331275146,424247,3,1,3
90.053581113,179826,44.50123833648006,282004,131.8802951948171,424247,3,1,3
91.053692438,179826,45.134811000087424,282301,133.51994508372115,424382,3,1,3
92.053968099,179826,45.788909279983756,282377,135.2742605360248,424458,3,1,3
93.0546242,179831,46.609954974680925,282377,137.01742688539048,424463,3,1,3
94.052975392,179832,47.576051303346894,282419,138.51156407010927,424506,3,1,3
95.051477883,179834,48.34920191480241,282419,140.1717219684527,424508,3,1,3
96.053724996,179834,49.06078596988967,282446,141.87753128503581,424535,3,1,3
97.052404638,179834,49.6998425097112,282446,143.68299725021924,424535,3,1,3
98.053612206,180198,50.40958710222627,283184,145.43457911570945,425308,3,1,3
99.052174478,185324,51.09397194759812,283930,147.1001578225208,426206,3,1,3
100.051517365,188545,51.784918655708445,283930,148.76417416864624,426483,3,1,3
101.052019146,190168,52.45124759061818,285157,150.59446370637056,427905,3,1,3
102.054389218,190877,53.03006806151656,285157,152.25811404266767,427984,3,1,3
103.056329969,191442,53.59932332164272,286760,154.16729204329664,429653,3,1,3
