Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
28.008532837,19240,0.0,5724,0.04019441487927497,24963,0,0,0
29.009678156,19240,0.0027372738945423553,5724,0.04019441487927497,24963,0,0,0
30.010863513,48131,0.6147681132949059,5724,0.04019441487927497,52262,0,0,0
31.010437092,48131,1.2508638266317194,5724,0.04019441487927497,52262,1,0,1
32.010576545,71857,1.9505443570005132,5724,0.04019441487927497,73862,1,0,1
33.010873448,80959,2.676666087340861,5724,0.15593139995642702,82230,1,0,1
34.013002549,87632,3.3717875460541107,20369,1.5918945516432794,100076,1,0,1
35.012259347,93478,3.6163100249490494,20369,3.32951568997644,105620,1,0,1
36.014342974,98438,4.260680798370891,34763,4.82231747166292,124665,1,0,1
37.014873235,102648,4.907209422407619,42932,6.56533161755905,137032,1,0,1
38.014583557,102648,5.526187838444153,42932,8.169007236583342,137032,1,0,1
39.016906163,105466,6.2477793793897956,45879,9.952751344095278,142753,1,0,1
40.016778876,107866,6.940044022641317,45879,11.458647846877316,145153,1,0,1
41.017338429,109891,7.651619405214261,53485,13.209964457612054,154719,1,0,1
42.018322253,111758,8.48361368077797,66746,14.803176229597936,169900,1,0,1
43.019659327,113590,9.177403403322796,66746,16.55374253300413,171745,1,0,1
44.019359992,115427,9.879402323684337,76357,18.31491852078444,183193,1,0,1
45.02097572,117425,10.5102437671045,76357,19.82556531841813,185213,1,0,1
46.023475524,119462,11.156138963221682,79387,21.594468394558806,190282,1,0,1
47.020205336,121401,11.454085158491742,79387,23.108077285458325,192235,1,0,1
48.021956707,121401,11.842888501020457,81252,24.87511275537773,194099,1,0,1
49.023491206,123519,12.154418982138674,87941,26.38972222264098,202906,1,0,1
50.022504796,123519,12.4637848485906,87941,28.149836973572732,202906,1,0,1
51.022692598,125057,13.098249782477223,97905,29.895881017635443,214408,1,0,1
52.023639167,125716,13.812244243161382,97905,31.64152646831118,215067,1,0,1
53.023219615,125994,14.442933060115157,103838,33.38475516750356,221278,1,0,1
54.025064671,126113,15.081082390080674,108551,34.833746565618036,221397,1,0,1
55.026412742,126122,15.785422516137574,108551,36.369493122907265,226119,1,0,1
56.027251772,126122,16.502447222039965,122000,38.10057887110706,239568,1,0,1
57.02858847,126122,17.189395732276065,122000,39.82241312583532,239568,1,0,1
58.029684108,126123,17.831191642750895,133211,41.31544296880296,250780,1,0,1
59.027772185,126123,18.50583078956249,133211,42.867178822049425,250780,1,0,1
60.030986064,126123,19.15172447299281,136894,44.5658806680628,254463,1,0,1
61.028744465,126134,19.789404745163004,136894,46.020999198444834,254474,1,0,1
62.029213211,126144,20.481819299868057,138908,47.73049645782085,256378,1,0,1
63.029389839,126169,21.142763925699892,143548,48.2988930320916,261162,2,0,2
64.029336401,126946,21.784543165827714,143548,48.30265612025261,261174,2,0,2
65.030827782,130150,22.420644609987846,143548,48.86504459431456,261585,2,0,2
66.031227413,140477,23.11884786232837,143548,50.07817757270651,261808,2,1,2
67.032688817,153641,23.779745243568666,147835,51.81682834975075,266176,2,1,2
68.032359766,160467,24.15551281293785,147835,53.22321372022627,266390,2,1,2
69.03440243,160467,24.47170191770821,150283,54.70975746108896,268943,2,1,2
70.035875434,160467,24.85444232073949,150283,56.182142964932446,268943,2,1,2
71.03989929,160467,24.85444232073949,155061,56.8202001431159,273645,2,1,2
72.035722109,160467,24.85444232073949,155061,56.96072800834491,273645,2,1,2
73.036383261,160467,24.85444232073949,160442,58.1097651202346,279049,2,1,2
74.038490671,160467,25.126580886075875,164613,58.76506389865844,279049,2,1,2
75.038107183,163870,25.931736176639177,164613,60.38202891200286,283240,2,1,2
76.03955905,165560,26.6500394185136,169736,62.20799195411979,288517,2,1,2
77.038915427,166681,27.370648055710877,169736,63.95095490408916,288584,2,1,2
78.043855032,167580,28.060229592990304,174380,65.69392008017164,293267,2,1,2
79.040942214,169269,29.037238635393496,174380,67.43688303014223,293419,2,1,2
80.045156172,169868,29.859646417601475,180063,68.68185715535688,299137,2,1,2
81.044554831,170471,30.56164173065846,180063,70.3367095018794,299198,2,1,2
82.04529401,171616,31.196585037937854,185311,72.07900212812731,304574,2,1,2
83.04562877,171616,31.83425956022186,189116,73.66058110876195,304574,2,1,2
84.048520295,174040,32.4746647859388,189116,75.15117667761268,308749,2,1,2
85.048867405,179782,33.191510560156196,199435,76.56079735713713,320263,2,1,2
86.050141616,187489,33.838524998936606,199435,78.29594297895018,321268,2,1,2
87.051200098,193915,34.52683147455504,212798,79.53054556411489,334862,2,1,2
88.048758575,196722,35.195926068612906,212798,81.27095298554977,334914,2,1,2
89.049903103,197868,35.8801279193653,221213,82.75206982630925,343357,2,1,2
90.049019062,198337,36.602648004373194,221213,84.31601865300475,343376,2,1,2
91.049813474,198553,37.31279818615877,226286,86.03938407669423,348406,2,1,2
92.051035037,198860,37.86836086754941,230939,87.52220991239598,348418,2,1,2
93.049795992,199371,38.58813739464267,230939,88.9933454820146,353132,2,1,2
94.048492124,200248,39.076469579325575,237561,90.41175202957926,359952,3,1,3
95.050220982,200248,39.076469579325575,237561,90.53237423051414,359952,3,1,3
96.048672908,200248,39.30236845856158,237561,90.55924699902833,359952,3,1,3
97.048419059,201771,39.90629717535698,237561,90.5806142061689,360419,3,1,3
98.050013983,201771,40.04331125997245,237561,90.62052183455016,360419,3,1,3
99.050405698,204730,40.76840630601178,237561,90.6287184906057,361717,3,1,3
100.051507195,212054,41.528882371265674,237561,90.81471422858996,365568,3,1,3
101.052564259,225808,42.17708664270237,244972,92.24362684732871,378404,3,1,3
102.053084903,236632,42.88958920957247,244972,93.65446831627773,381642,3,1,3
103.05280102,241917,43.521526055327435,250980,95.39725556219649,388969,3,1,3
104.05211667,244322,44.23441757219946,250980,97.05297719320066,389553,3,1,3
105.053757467,245804,44.92136608535653,253252,97.7656216035781,392197,3,1,3
106.055457348,247025,45.612420161027465,254569,97.7786950130485,393816,3,1,3
107.054656196,248806,46.35547775093539,254569,98.88178668120521,394177,3,1,3
108.054566219,251134,47.03829839171391,254819,100.35567148467396,394781,3,1,3
109.053591762,254074,47.7308058937211,254819,101.84097004174222,395154,3,1,3
110.05522637,257753,48.401140670250534,255932,103.58008868655479,396758,3,1,3
111.053213285,261582,49.10689141950094,255932,105.07483820190353,397096,3,1,3
112.054030627,264271,49.877227146720216,256850,106.55745323953667,398156,3,1,3
113.054152573,266683,50.50668600627984,256850,108.04532881639257,398764,3,1,3
114.053825814,269898,51.22372174622875,258493,109.78923526936585,401266,3,1,3
