Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
31.010524752,16448,0.0,5884,0.07020942847633017,22332,0,0,0
32.011375901,16448,0.6169570111397644,5884,0.07020942847633017,22332,0,0,0
33.013121355,44960,0.7594091893471607,5884,0.07020942847633017,50428,0,0,0
34.012794329,44960,1.0091476559488006,5884,0.07020942847633017,50428,0,0,0
35.01492215,75537,1.4952151382422132,5884,0.08471118414203976,79388,0,0,0
36.015883341,89908,2.0535385555799,5884,0.14171292565769178,92624,0,0,0
37.014156246,89908,2.6939564273396615,5884,0.18614084134546668,92624,0,0,0
38.015041799,97482,3.3479633793840553,21047,1.4297170934294483,114533,0,0,0
39.015230505,101387,4.027958875906747,21047,3.17273168118302,118032,0,0,0
40.017025357,103732,4.6577042066025856,36269,5.164746280930598,135204,0,0,0
41.018178471,105663,5.302806288126694,43699,6.826230260308618,144021,0,0,0
42.018304988,106894,5.900537476725325,43699,8.569510260612816,144785,0,0,0
43.020159364,107679,6.616180708028466,46364,10.10739862554159,147927,0,0,0
44.019198391,108355,7.393440611649573,46364,11.891624896369917,148255,0,0,0
45.023096138,108784,8.243208912620334,49944,13.64421329121531,152043,0,0,0
46.025563801,108908,9.013654527366949,49944,15.389053727708195,152136,0,0,0
47.023521065,109002,9.630822160738218,54305,17.147951454137477,156595,0,0,0
48.025972254,109034,10.25208356682209,61957,18.667662506283662,164279,0,0,0
49.022815272,109058,10.937693315152824,61957,20.437591477053793,164303,0,0,0
50.024275887,109065,11.296724254073428,71150,22.209335165056416,173463,0,0,0
51.028348063,109065,11.625739292210604,71150,23.980335502802756,173463,0,0,0
52.026760041,109474,12.215496825714022,78238,25.728864201136187,180593,0,0,0
53.031056133,112884,12.769673625161248,84364,27.48450059139414,186824,0,0,0
54.033312385,112884,13.207462202497714,84364,29.235141275567152,186824,0,0,0
55.033848504,124076,13.873794410889763,87443,30.989047859285392,190168,0,0,0
56.033463157,138549,14.466269815432783,89695,32.73039134743472,192818,0,0,0
57.034616438,146145,15.099427431701253,89695,34.47555345444658,193096,0,0,0
58.034762452,146145,15.687702469823133,90719,36.23422416332633,194117,0,0,0
59.034650275,149665,16.25009266668825,90719,37.41734819899149,194293,0,0,0
60.03773903,151196,16.837140017690356,93503,37.81915788192261,197314,0,0,0
61.035762549,151964,17.409124336464846,99929,39.11029645776685,203832,0,0,0
62.037906721,152371,17.99890388408159,99929,40.52848203298508,203878,0,0,0
63.038472663,152652,18.63659705449563,106526,42.275323485022575,210591,0,0,0
64.041482321,152652,19.225012489740806,106526,43.86218915341445,210591,0,0,0
65.042346181,152906,19.86679059987879,112151,45.36514412212419,216218,0,0,0
66.042518471,153374,20.516795056915193,119037,47.031544969216576,223237,0,0,0
67.043569278,153979,21.16677246255192,119037,48.79928958582057,223340,0,0,0
68.04371932,154896,21.756569692708005,126935,50.23688166421989,231337,0,0,0
69.047402887,156895,22.344997082033547,126935,52.01481988103451,232215,0,0,0
70.046339285,156895,22.99086969336274,130617,53.386058538687784,235897,0,1,1
71.046274289,161988,23.689873042022327,130617,53.47499128743803,238293,0,1,1
72.049060439,172539,24.365771632115646,141752,54.10991833221118,253830,0,1,1
73.049719829,184474,24.922703494844104,155501,55.84868802797721,273410,0,1,1
74.050119881,192027,25.564449646889106,155501,57.8500972262364,278442,0,1,1
75.050252863,196751,26.24867453737102,163189,59.3470229580723,289717,0,1,1
76.049410874,199951,26.919221461315274,166262,61.09266144553653,295595,0,1,1
77.054011829,202870,27.555527581429356,166262,62.81781817763418,297885,0,1,1
78.053440303,202870,28.227452297109068,168821,64.49996498862328,300523,0,1,1
79.055038087,205731,28.792623490097924,168821,66.20509372719533,303060,0,1,1
80.058337092,208576,29.422066600733853,176178,67.94443007984623,312455,0,1,1
81.057392017,211746,30.06655995980595,184300,69.67818223500436,322751,0,1,1
82.058901334,216164,30.660426088724844,184300,71.25447760670829,325682,0,1,1
83.060364566,224405,31.306286781051536,190923,72.91752329795366,336856,0,1,1
84.062875915,237742,31.933530290674156,190923,74.90948135366928,345365,0,1,1
85.063020491,237742,32.51919783443331,198705,76.569448278109,353296,0,1,1
86.064772294,253675,33.158195283168965,212451,78.31241205054629,375428,0,1,1
87.064906012,262584,33.80537677707227,212451,80.30490848135906,378864,0,1,1
88.063913644,268293,34.531971345119224,226091,82.05135045733486,394428,0,1,1
89.070036105,271862,35.17649653263334,232791,83.79605592166529,395441,0,1,1
90.064481527,274466,35.81552772893508,232791,85.78801404283371,402778,0,1,1
91.064498758,276728,36.45720528864333,234988,87.50916289675806,405473,0,1,1
92.065891421,278722,37.051085864269574,234988,89.17178617291309,405858,0,1,1
93.065948624,278722,37.69697688836615,238173,90.90037716833503,409043,0,1,1
94.065655364,280773,38.326414475444125,244687,92.63754663556803,416008,0,1,1
95.066995986,282886,38.798964754320565,244687,94.53675176761791,416427,0,1,1
96.067680036,282886,38.90456260794375,250101,94.9190906463945,421841,1,1,2
97.074260486,285026,39.53642676161365,250101,94.93803631480647,422498,1,1,2
98.068892717,285026,40.1056296689377,250101,95.02307014920513,422498,1,1,2
99.064238032,287026,40.679629608953036,250101,95.08524069490879,423064,1,1,2
100.067283608,288032,40.75761073326125,250101,95.12138619186763,423308,1,1,2
101.066895202,288892,41.432468817247724,250101,95.13684367117354,423732,1,1,2
102.065447625,288892,41.99675513605169,250101,95.15618682334721,423732,1,1,2
103.06541687,289217,42.664183193704005,250101,95.21590900384828,423801,1,1,2
104.068276336,289313,43.35655302006599,250101,95.27379061205478,423832,1,1,2
105.065992975,289359,43.472758872907626,250101,95.31540942982987,423850,1,1,2
106.070084333,289359,43.49051380621737,250101,95.37826184590928,423850,1,1,2
107.072716019,289359,44.16373721322057,250101,95.42784637154102,423850,1,1,2
108.064860322,289588,44.972310057232875,250101,95.45698745712527,423984,1,1,2
109.068470346,289588,45.250347648912275,250101,95.46733822442059,423984,1,1,2
110.067133125,289588,45.634873139913324,250101,95.90789374442693,423984,1,1,2
111.066953594,290209,46.27701053362106,259015,97.59080618791833,433495,1,1,2
112.066254071,290261,46.94339771249202,261947,99.34260560178936,436422,1,1,2
113.065974594,290288,47.58517207764783,261947,101.09975559167245,436433,1,1,2
114.068774277,290288,48.14484896459906,265947,102.60189046405941,440334,1,1,2
115.069458209,290293,48.8167270228683,265947,104.5963582138737,440338,1,1,2
116.075468925,290297,49.3859907247533,271612,106.17833422018039,446333,1,1,2
117.075808528,290298,50.033237643375536,279617,108.1723963730743,446333,1,1,2
118.075211204,290319,50.61755839743634,279617,109.91555445364024,454139,1,1,2
119.078215642,292659,51.19768897489145,287334,111.65872028524727,464448,1,1,2
120.082554916,292659,51.82822739521683,295612,113.40188611684341,464448,1,1,2
121.087615149,294356,52.39063092459198,295612,115.08514730087049,474313,1,1,2
122.082266603,299361,52.98176036041563,300519,117.011547347689,484212,1,1,2
123.081876675,304770,53.568797461114535,300519,118.49528213437311,489458,1,1,2
124.083827968,309205,54.20905671922173,316068,120.48679756968366,509412,1,1,2
125.083921288,309205,54.77372585889574,328340,122.2299593924998,509412,1,1,2
126.085146358,312233,55.362067427819944,328340,123.74860048009074,524832,1,1,2
127.090088643,314600,55.995377253059694,332070,125.28496208048021,530933,1,1,2
128.089274627,316823,56.625602429766325,332070,127.13914736866133,533199,1,1,2
129.092442505,319039,57.20975634701515,337188,128.891249121534,540537,1,1,2
130.099842551,320990,57.852861301135974,345518,130.6436028876051,542382,1,1,2
131.093198762,320990,58.49057268227388,345518,132.38676517449974,550688,1,1,2
132.096594466,323028,59.06415717167588,352172,134.22191268986313,559493,1,1,2
133.095749878,325166,59.557822391019464,352172,135.96507896975217,561500,1,1,2
134.098772258,326964,60.143325654131026,359146,137.7094426414256,570223,1,1,2
135.102033864,329314,60.788823217002154,366056,139.20800520360046,572454,1,1,2
136.103150254,331085,61.4209516613156,366056,141.20379657207354,581118,1,1,2
137.108167728,331085,62.01069729347938,373180,142.78214279768432,588293,1,1,2
138.106484741,332991,62.64290200807159,373180,144.4423027520422,590163,1,1,2
139.10972435,334742,63.28878838750937,380469,146.43448936738386,599417,1,1,2
140.111227127,336697,63.875789604890855,387378,148.177653062414,601236,1,1,2
141.110701074,338679,64.50236058378557,387378,149.92081680848727,610065,1,1,2
142.12053139,340629,65.06338046184864,394971,151.66398055456094,619859,1,1,2
143.117771324,342654,65.70786825213216,408386,153.4071443006342,621732,1,1,2
144.115402401,342654,66.35786797003165,408386,155.15071475499545,635147,1,1,2
145.116291249,344698,66.94080266523156,423228,156.89870413791138,637081,1,1,2
146.117462,346655,67.57030033503972,423228,158.64200328054568,653911,1,1,2
147.118599422,348638,68.24223431115313,431770,160.38900831101154,664416,1,1,2
148.11534624,350740,68.88405812395072,435572,162.40434295105024,666533,1,1,2
149.117167816,352815,69.43827740437087,435572,164.1866813643093,670281,1,1,2
150.120220163,354911,70.07730628456487,439500,165.94870499045217,676371,1,1,2
151.120798999,354911,70.73927182892892,442756,166.74358423648965,678319,2,1,3
152.122881157,356986,71.38096419140979,442756,166.78828574975915,683826,2,1,3
153.127820704,359493,72.15537065737223,448666,168.0403460681012,686156,2,1,3
154.124854602,361573,72.74515393543754,448666,169.78673012557402,694234,2,1,3
155.126883151,363819,73.37433839549578,453375,171.53946747083307,701008,2,1,3
156.130567403,365765,74.00926527252145,453375,173.3716503155091,703060,2,1,3
157.136072514,367866,74.64824085448019,456810,175.3624939350187,706548,2,1,3
158.14621825,370055,75.28181416195547,461731,176.86840374050766,713482,2,1,3
159.139943848,372350,75.9263504524128,461731,178.86246598272152,715571,2,1,3
160.141012627,372350,76.5516996325616,467944,180.60898295275553,724255,2,1,3
161.141163277,374571,77.14285285543798,475206,182.3521414985009,726475,2,1,3
162.143119447,376582,77.78601021672871,475206,184.09716366411726,735640,2,1,3
163.149863415,377984,78.41548861928537,482525,185.84032890608864,744522,2,1,3
164.157768257,379015,79.00940265167294,482525,187.58308397201975,745553,2,1,3
165.163746037,379696,79.7333215669604,490753,189.2681256973324,753688,2,1,3
166.170652575,380193,80.36407903502193,497948,190.95127824127644,754368,2,1,3
167.165356031,380551,80.92643019172615,497948,192.94585361036286,762177,2,1,3
168.16619621,380551,81.56663943443817,513126,194.6890183485724,777713,2,1,3
169.169783622,380956,82.20555590045791,526840,196.68120547208974,778118,2,1,3
170.174970832,381397,82.83593244135751,526840,198.467595158403,792404,2,1,3
171.184261689,382041,83.42954270339935,533584,200.18526344097364,799040,2,1,3
172.175955927,382623,83.98646162656941,539570,200.68825182587076,799443,3,1,4
173.182730458,383183,84.69769417293163,539570,200.68852483836002,806139,3,1,4
174.183790245,383183,85.25712975668813,539570,200.7472096067879,806699,3,1,4
175.180786563,383644,85.76889628332844,539570,200.78401435872527,807160,3,1,4
176.178860089,384282,86.28294796714137,539570,200.84331909799033,807798,3,1,4
177.183087659,385619,86.92587374253938,539570,200.8791962060646,809135,3,1,4
178.182495558,387116,87.5662527730984,539570,200.97932055048025,809135,3,1,4
179.178347697,388341,88.19841192857571,544482,202.26578004345282,815544,3,1,4
180.184517347,388341,88.7881583493354,544482,203.68399023732584,816769,3,1,4
181.179788277,390370,89.4231005410961,549076,205.42796017560195,821363,3,1,4
182.179254219,395380,90.01831826844283,553553,207.17125767971405,828505,3,1,4
183.184973255,405400,90.66831303393411,553553,208.94324204317286,843002,3,1,4
184.181865419,416876,91.31413023497693,554435,210.45283783180233,843002,3,1,4
185.182045083,423604,91.92716121286723,554435,212.21850361526145,855360,3,1,4
186.182846543,427736,92.59766831554771,555210,213.72848176418665,862863,3,1,4
187.181628756,427736,93.23809371165204,555955,215.48152139456246,866995,3,1,4
188.179281456,430419,93.87303129101396,555955,217.23430363731035,870423,3,1,4
189.18213589,432522,94.40926402621122,557317,218.98319342854836,872383,3,1,4
190.179313685,434242,94.93775749025802,557317,220.72997575303384,875624,3,1,4
191.184447803,434242,94.93775749025802,558606,222.47953967595555,876913,3,1,4
192.181722603,435850,95.42559399389334,562683,224.22270479299962,876913,3,1,4
193.180845404,437411,96.09391420431223,562683,225.965869910044,882598,3,1,4
194.179548281,438938,96.5055248536028,565393,227.7103766833187,884159,3,1,4
195.185299478,438938,96.68018634149489,565393,229.45728461360753,888396,3,1,4
196.180795428,440266,97.3339707364653,566094,231.2004469331206,889097,3,1,4
197.181091555,441119,97.88343160585316,566250,232.9436131169878,890425,3,1,4
198.17776514,441119,98.5228976934276,566250,234.68677930085906,891434,3,1,4
199.179040741,441943,99.17264144232114,566332,236.42644084327554,892258,3,1,4
200.184605967,442732,99.8226199009413,566332,238.18097453673218,893129,3,1,4
201.182370954,443800,100.52868882472163,566353,239.62900008226654,894218,3,1,4
202.183468693,445276,101.14719308874889,566676,241.0941749169352,895694,4,1,5
203.182737384,447152,101.88748082569538,566676,241.2563554725403,896017,4,1,5
204.18577952,449310,102.519674611013,566676,241.34317459763733,897893,4,1,5
205.183538051,451520,103.2160864459312,566870,242.70356292879148,900245,4,1,5
206.17981705,454643,103.81135218512769,566870,244.44403733446745,902504,4,1,5
207.182068367,457600,104.52281889325133,567157,245.9366967416122,905882,4,1,5
208.182450849,457600,105.08659970037755,568135,247.67986156444556,908806,4,1,5
209.188598936,459929,105.66953839856156,568135,249.42302638726292,912183,4,1,5
210.180721296,461575,106.31253451000022,569258,250.99815093795763,913819,4,1,5
211.183474255,462856,107.02821661814205,569258,252.74131485288189,916060,4,1,5
212.182234857,463510,107.66939711648234,570376,254.48447876780614,917178,4,1,5
213.186220056,464092,108.26735938311133,571453,255.97861872138208,917832,4,1,5
214.1829041,464980,108.95562988885943,571453,257.72178263630633,919724,4,1,5
215.184499671,464980,109.59876836144026,572760,259.4649465512306,920355,4,1,5
216.188869007,465856,110.26789697045662,572760,260.9590865048065,922522,4,1,5
217.18842694,466894,110.94936843381451,576872,262.7022504197308,923595,4,1,5
218.18075817,467962,111.66359351370008,576872,264.445414334655,928884,4,1,5
219.183436175,469311,112.24924065030018,579661,266.1885782495793,933149,4,1,5
220.184635009,470941,112.88762851471135,580901,267.93174216450353,934521,4,1,5
221.189945993,473457,113.52940900480002,580901,269.6751773022243,935761,4,1,5
222.184887188,477047,114.16511765318421,581491,271.4190121015884,938876,4,1,5
223.193354181,482580,114.79988725115547,582028,272.91315231620746,942470,4,1,5
224.190427239,490212,115.37728756913631,582028,274.42536621164464,948659,4,1,5
225.193209438,490212,115.79155616682073,586171,276.1323545193489,956351,4,1,5
