Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
11.00858946,19240,0.0,5819,0.0,25059,0,0,0
12.009432486,19240,0.0,5819,0.0,25059,0,0,0
13.008781794,19240,0.0,5819,0.0,25059,0,0,0
14.009556163,19240,0.31517081660610347,5819,0.0,25059,0,0,0
15.010736399,47793,1.0107874499378573,5819,0.0,51972,0,0,0
16.01096403,71091,1.6971015059052788,5819,0.0,72868,0,0,0
17.011243886,78331,1.8232996411352118,5819,0.0,79239,0,0,0
18.011767985,78331,2.468522735912288,5819,0.0,79239,0,0,0
19.011913095,86171,3.310023610385241,5819,0.0,86471,0,0,0
20.012457439,86171,3.9531756460656235,5819,0.0,86471,0,0,0
21.011655242,89628,4.600417357446031,5819,0.0,89825,0,0,0
22.016252477,93520,5.318818445721666,48712,10.669993610798054,121655,1,0,1
23.016165831,98386,5.9961772009606396,48712,11.704199879565977,121743,1,0,1
24.01745883,103327,6.659845003270152,57934,13.45872211090814,131153,1,0,1
25.017117241,107263,7.307078620400597,70645,16.145408839603075,143639,1,0,1
26.016322515,107263,7.412061863385276,70645,18.397400325668368,143639,1,0,1
27.017972364,110599,7.529772419778523,79745,20.02205013584591,152983,1,1,1
28.019558547,110599,8.227346991264913,85395,21.77893645800988,158557,1,1,1
29.019528325,113732,8.871739573355521,85395,23.546960630683113,158622,1,1,1
30.020817974,114763,9.58041354247146,99211,25.041466720125687,172223,1,1,1
31.02147111,115255,10.263258107589252,99211,26.814296931104966,172287,1,1,1
32.023198617,115666,10.929675474106894,113707,28.297049487268666,186639,1,1,1
33.022828666,115949,11.579673785241813,113707,30.004092439531952,186639,1,1,1
34.026105155,116206,12.266621914509955,119334,31.463960677325726,192228,1,1,1
35.023924523,116237,12.96451037059206,129381,33.19375248078373,202336,1,1,1
36.024043283,116237,13.629559819368945,129381,34.83198707558807,202337,1,1,1
37.025129937,116237,14.227552677513854,142602,36.22901871953908,215813,1,1,1
38.025801381,116237,14.925444213387705,142602,37.47156841718561,215813,1,1,1
39.026070109,116237,15.628810451087231,150624,38.52672388051544,223879,1,1,1
40.024311785,116239,16.345838491408117,150624,39.270465042559486,223881,1,1,1
41.027824808,116253,16.97256511944946,150624,39.89932325798283,223895,1,1,1
42.026395859,116322,17.552770348129528,155865,41.113639908151185,223964,1,1,1
43.027449516,119166,18.251957997348953,155865,42.2913200242993,231883,2,1,2
44.02920503,123614,18.894824583138345,155865,42.47937850939078,231883,2,1,2
45.029013957,132733,19.61589291331665,162959,42.66564341599595,243162,2,1,2
46.03030196,143870,20.393133786090107,169812,44.340096961892534,252031,2,1,2
47.032250835,150928,21.043125736045848,169812,45.5786589532851,270301,2,1,2
48.033893349,155532,21.63427421352722,173334,47.487720495639415,277457,2,1,2
49.035487576,158549,22.356788747868492,176478,50.46086887384776,285476,2,1,2
50.036538359,160845,23.21336351619433,180860,52.68486745794821,291654,2,1,2
51.039370106,162861,23.985096618532836,180860,55.17425716904782,299840,2,1,2
52.039001824,164796,24.613192493020435,180860,55.17425716904782,301744,2,1,2
53.039421261,166745,25.327500821203518,180860,55.17425716904782,302264,2,1,2
54.038746374,168841,26.045915242377195,180860,55.17425716904782,304224,2,1,2
55.039088371,170903,26.69317294828692,180860,55.17425716904782,305746,2,1,2
56.038093729,172898,27.376006309733196,180860,55.17425716904782,307903,2,1,2
57.040061398,175030,28.076636306555677,180860,55.17425716904782,309880,2,1,2
58.040605922,177237,28.793686055796694,180860,55.17425716904782,312009,2,1,2
59.03868068,177237,29.413571879829775,180860,55.17425716904782,314216,2,1,2
60.039888929,179230,29.98145351190021,180860,55.17425716904782,316226,2,1,2
61.039105342,180737,30.619090391601052,180860,55.17425716904782,317750,2,1,2
62.041209073,181815,31.382661925509005,180860,55.17425716904782,318711,2,1,2
63.03988071,182462,32.05318154554193,180860,55.17425716904782,319948,2,1,2
64.040614686,182856,32.75107758423448,180860,55.17425716904782,320342,2,1,2
65.039422691,183163,33.37235099461797,180860,55.17425716904782,320649,2,1,2
66.039388014,183406,34.015505637207305,180860,55.17425716904782,320059,2,1,2
67.040871946,183732,34.81603727031122,180860,55.17425716904782,320302,2,1,2
68.040134035,184213,35.45782849472941,180860,55.17425716904782,320628,2,1,2
69.044972502,184754,36.18035146263917,197169,61.376022823156205,331311,2,1,2
70.047125212,185417,36.94940671007842,211908,71.10147240986178,338552,2,1,2
71.050426718,186327,37.58025241909821,269792,84.32256533876063,411799,3,1,3
72.053366951,187397,38.26309788636976,276554,86.06274946788746,411969,3,1,3
73.051162736,187397,38.92952305973653,276554,87.18495660333826,420536,3,1,3
74.05162951,188835,39.4974197765736,276856,87.9400442913505,422276,3,1,3
75.052914814,191082,40.199425434235714,277078,89.46695034427145,424525,3,1,3
76.055198295,196347,40.84121904041522,277078,91.1559983389217,430108,3,1,3
77.053254864,206127,41.47615588931717,277870,92.59092379076819,438980,3,1,3
78.052430158,206127,41.55515285566117,277870,94.26749890580652,439772,3,1,3
79.051123737,206127,41.63175063002358,278902,96.02322673962135,439772,3,2,3
80.053751761,217402,42.258291050393154,278902,97.52430927170344,451285,3,2,3
81.055160959,226509,43.01220742521811,280856,99.27363896164934,460320,3,2,3
82.052541378,232407,43.774294576199054,283218,101.02002609133503,468405,3,2,3
83.055814901,235957,44.54196890798239,283218,102.76453397283315,474165,3,2,3
84.053714873,238775,45.1864640996646,285511,104.17647132570943,476817,3,2,3
