Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
30.008845963,19240,0.0,5713,0.016127312734125304,24953,0,0,0
31.008649706,19240,0.0,5713,0.029835182069975878,24953,0,0,0
32.008777083,19240,0.3002773387651743,5713,0.054282871453277017,24953,0,0,0
33.010266159,47953,0.9379308994891186,5713,0.09297817429468509,52067,0,0,0
34.010605682,70688,1.6925051767702606,5713,0.10050594675870408,72534,0,0,0
35.010762079,70688,1.7330047404102096,5713,0.10050594675870408,72534,0,0,0
36.010898105,70688,2.0696380212301686,5713,0.10561280210971115,72534,0,0,0
37.012798113,77467,2.792004572998905,20712,0.8819818399947288,90456,0,0,0
38.012576032,81717,3.4897020909649936,20712,2.624664162164466,92601,0,0,0
39.012356677,84374,4.139522869052726,35796,3.847856022829434,107641,1,0,1
40.012423435,85682,4.784043784940201,35796,5.57658913222211,107907,1,0,1
41.01277562,85682,5.4312966387282415,42916,7.324031498942485,114916,1,0,1
42.014153513,86289,6.048450768410383,45967,9.055508252331828,117949,1,0,1
43.013647349,86471,6.57100556414321,45967,10.67916090879527,117955,1,0,1
44.016809993,86507,7.282791844399584,50247,12.458437802976261,122322,1,0,1
45.015979218,88934,7.9026700709728015,57954,14.164997772239133,122559,1,0,1
46.018702962,91887,8.568821738332222,57954,16.1757126988237,130403,1,1,1
47.016964072,99404,9.197578442173457,67764,17.937461578468575,140328,1,1,1
48.018521648,109267,9.25057586310615,67764,19.664530890553383,140324,1,1,1
49.018207103,109267,9.25057586310615,71643,19.990079114251287,144446,1,1,1
50.019848001,109267,9.275160446317775,73407,21.726251178974742,146206,1,1,1
51.018512041,109267,9.414264015751337,73407,23.246724968407513,146206,1,1,1
52.018946794,109267,10.115113759074255,77402,23.50558518245265,150405,1,1,1
53.020271086,115978,10.709946447425807,85065,24.75923303423159,157906,1,1,1
54.020920693,118897,11.217572769664462,85065,26.276922629488368,157972,1,1,1
55.021631117,118898,11.808727194088636,97783,28.276310987229863,170202,1,1,1
56.021037357,118900,12.445037502501648,97783,30.028638626886224,170204,1,1,1
57.02110537,118904,13.390614503650784,106264,31.531949862412954,179231,1,1,1
58.020442888,118904,14.315672882855807,106264,32.52792893207053,179231,1,1,1
59.022242838,118904,15.13398517726049,109344,33.93890004622708,182915,1,1,1
60.021083573,118904,15.822297816099775,109344,35.08714060678657,182915,1,1,1
61.023516855,118904,16.689873087775997,112347,36.874781640353966,186241,1,1,1
62.023904978,119667,17.49996304001006,116023,38.36364990016132,189509,1,1,1
63.026879346,124465,18.18910980059436,123418,40.33970340022468,195635,1,1,1
64.02659287,124465,18.92985876881596,123418,41.8362136498221,203579,1,1,1
65.028005581,133035,19.62497560606047,132925,43.32704497939669,210250,1,1,1
66.028282333,145764,20.1864678373401,132925,45.74999555944397,232453,1,1,1
67.032845597,153139,20.63577382790143,138628,47.033879884540504,246798,1,1,1
68.030202214,157831,21.350084824010064,143347,49.229490881898705,250226,1,1,1
69.031988267,161166,21.974068329460202,143347,51.09168788217745,258370,1,1,1
70.033429116,163630,22.63911103920806,151298,52.021433839706255,269896,2,1,2
71.033452015,165827,23.364366643801336,159344,54.06114898587207,271951,2,1,2
72.033815264,167940,23.974677124039086,159344,55.803978917603736,281054,2,1,2
73.035517695,170059,24.70951205593761,165909,57.54680791140414,289773,2,1,2
74.036369658,172348,25.201757338956806,172788,59.53809373519806,293007,2,1,2
75.03945963,172348,25.627871385854693,172788,61.28105894929557,299611,2,1,2
76.039751476,174739,26.29424372186706,179525,63.0240222562861,309416,2,1,2
77.041636512,176791,26.933284874897975,186963,64.85038185693337,310106,2,1,2
78.042827396,178856,27.6558002216378,186963,66.81754217678709,319679,2,1,2
79.04422139,180975,28.29484213422461,195485,68.80950041722268,328739,2,1,2
80.050311388,183065,29.01325788950936,202480,70.3040069038285,330849,2,1,2
81.046092189,185026,29.648190922524506,200762,72.29542596338224,339514,2,1,2
82.047217516,185026,30.243434396308352,210437,74.28752142769106,339514,2,1,2
83.04908269,186247,30.93446873683428,221571,76.03048670774122,350339,2,1,2
84.048226079,186963,31.64876700958837,223331,78.02324829694278,363959,2,1,2
85.049162115,187447,32.282317275383456,236588,79.7662108935971,362752,2,1,2
86.048886427,187759,32.91725274567767,236588,81.51011632284725,378081,2,1,2
87.051477907,188208,33.62471703404632,247871,83.25308008034192,389744,2,1,2
88.04981218,188495,34.31711013588476,251945,84.64957050193604,388255,2,1,2
