Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
32.009005358,19240,0.0,5929,0.7682873415041269,25169,0,0,0
33.009455586,19240,0.0,5929,1.8239773125300511,25169,0,0,0
34.009197957,19240,0.010922982347233769,22340,4.2109919174860435,41580,1,0,1
35.0097515,19240,0.58308379899303,36562,5.71079422016576,55802,1,0,1
36.011518267,47980,1.2274338308863328,36562,7.45380873335433,82890,1,0,1
37.012341296,71245,1.623285301521912,42759,9.229476703383478,108832,1,0,1
38.012320872,71245,2.037805273161371,42759,10.247320962433543,108832,1,0,1
39.014638507,78388,2.680932612708908,47195,13.760522806523277,117508,1,0,1
40.016283686,82568,3.3979652370485725,59859,15.923363676799308,131903,1,0,1
41.015864442,87616,4.116374017140642,71825,17.694265994711245,144787,1,0,1
42.015650562,87616,4.75267571459545,71825,18.44997019029099,144787,1,0,1
43.015538631,92627,5.393082240400991,71825,19.547745051962796,145281,1,0,1
44.02004032,97678,6.106013111972902,76041,20.727456507727528,149914,1,0,1
45.015692791,102711,6.787445147266531,76041,21.328047701219017,150282,1,0,1
46.0179943,106704,7.4305680004742145,79605,22.729812399227985,154043,1,0,1
47.018095889,109401,7.723215999501765,88238,23.121512464826395,162849,1,0,1
48.018433569,109401,7.723215999501765,88238,25.02608063743186,162849,1,0,1
49.01854908,109401,7.757327473525747,101428,26.874787533378072,176039,1,0,1
50.017967774,110933,8.38523696497968,112251,28.799422133569454,187018,1,1,1
51.02004191,111839,9.07184082746861,112251,31.03700962833442,187100,1,1,1
52.021885654,111839,9.714906116251115,115523,32.235081514320484,190372,1,1,1
53.023379438,113176,10.41415900146533,115523,33.70915111720896,190396,1,1,1
54.024751143,114052,11.086055753771756,122180,35.91974144065113,197065,1,1,1
55.028901331,114577,11.674474758417446,133918,37.83782096043943,208805,1,1,1
56.025479845,115097,12.418896260238213,133918,39.33179061162978,208715,1,1,1
57.023076636,115412,13.152361770667312,140200,40.076885236308755,215003,1,1,1
58.02474065,115434,13.79825221400705,140200,41.28477932520555,215003,1,1,1
59.022846518,115449,14.44688025620803,143765,43.312752145645376,218580,1,1,1
60.022629048,115450,15.0818262483961,143765,44.76695097947114,218581,1,1,1
61.026243376,115463,15.809819293729912,149421,46.236174789757854,224272,1,1,1
62.026832002,115463,16.459813199339656,149421,48.20164573742834,224272,1,1,1
63.027944346,115487,17.17818360014085,156376,50.270409643367955,231191,1,1,1
64.028311633,115487,17.82818253071739,163715,51.92523480502478,238569,1,1,1
65.030062077,115679,18.475439064170487,163715,53.7413539697365,238761,1,1,1
66.031462156,118883,19.182790614349102,170479,55.642584432643474,248790,1,1,1
67.035784053,124073,19.869036959065063,177740,57.385548639131166,261228,1,1,1
68.034523846,134074,20.583331552389986,177740,59.124379478787404,271216,1,1,1
69.038845311,144595,21.311307132817063,184977,60.06862870096833,288997,2,1,2
70.037057254,151222,21.785965461199087,184977,62.043069616813426,295620,2,1,2
71.03954752,151222,21.93437601942645,190530,63.53434558315205,301199,2,1,2
72.041526958,151222,22.64063405876411,190530,64.27983998074232,301199,2,1,2
73.042039459,155889,23.35904434916586,195169,66.00898340781178,310367,2,1,2
74.042972512,158971,24.0840640006475,200480,68.00094339107336,313515,2,1,2
75.044866019,161588,24.72577000263913,200480,69.73161707591038,321360,2,1,2
76.049892832,163775,25.363446683728547,206158,71.22518129622644,329319,2,1,2
77.04626418,165916,25.99011832299565,206158,73.13413947483652,331421,2,1,2
78.046096038,168165,26.82894255705434,213265,75.29209663853528,340878,2,1,2
79.047823805,170060,27.58977662056086,227360,76.95205963754636,342828,2,1,2
80.047352539,172030,28.234296882627444,227360,78.61202644206148,358916,2,1,2
81.050713619,174066,28.541814813359313,241828,80.35499190465472,375334,2,1,2
82.050060501,174066,28.541814813359313,241828,82.00132544687276,375334,2,1,2
83.051468373,174066,28.685003691048493,248995,83.70330570263278,382496,2,1,2
84.049352457,175892,29.169189867714415,254400,85.17613364206255,387901,2,1,2
85.050589128,177272,29.82460595758376,254400,86.99219819415956,391107,2,1,2
86.050261947,177748,30.631879821066068,265158,87.84104910909063,402341,3,1,3
87.049986758,177898,31.398202688293246,265158,87.8907375013439,402491,3,1,3
88.050061221,177919,32.109779864587615,265158,88.06519058986129,402512,3,1,3
89.050392072,177932,33.078623689081866,265158,88.1157685525532,402525,3,1,3
90.051126972,177934,33.84904652281762,265158,88.21907140274296,402527,3,1,3
91.049435863,177934,34.485363360802914,265158,88.2824590886315,402527,3,1,3
92.053151749,177934,35.19694339884145,265664,89.22072887592213,403033,3,1,3
93.052350143,177934,35.8428399162421,265664,91.4034603521855,403033,3,1,3
94.050691462,177934,36.68305184750877,266378,92.81429511952395,403747,3,1,3
95.050702594,177934,37.44855292411502,268261,94.97225059889638,405630,3,1,3
96.052510244,177934,38.141387758089635,268261,96.88121287635919,405630,3,1,3
97.049896601,177934,38.80496955292054,269309,98.37518295351869,406678,3,1,3
98.050072551,177934,39.44537003983067,269309,100.03514822426949,406678,3,1,3
99.050766935,177934,40.07894522491417,270689,102.02710851006438,408058,3,1,3
100.049726232,177934,40.723474171474166,272114,103.52107450806345,409483,3,1,3
101.049821783,177934,41.436420755439414,272114,105.01504458523749,409483,3,1,3
102.050301576,177934,42.082316490777814,272114,105.7620296238172,409483,3,1,3
103.050305606,177934,42.66526392982221,273916,107.50499290287792,411285,3,1,3
104.050031421,177934,43.30431704533726,273916,108.66602503828936,411285,3,1,3
105.052465533,177935,44.07198568588912,275157,109.66200456333148,412527,3,1,3
106.051447619,177935,44.70692152064744,275157,111.07297569532822,412527,3,1,3
107.050449514,180428,45.41640605569668,276411,112.48394714022929,413797,3,1,3
108.049829539,180940,46.0627843066144,276411,114.39290787825857,413811,3,1,3
109.052144861,181764,46.78381705008117,280237,116.3018689292045,417657,3,1,3
110.051826324,182502,47.4652448574127,282821,118.2938273534216,420283,3,1,3
111.054641955,183310,48.1015585775469,284148,121.03277129361496,421671,3,1,3
112.053645481,183310,48.7447135350527,284148,122.94560971240554,421671,3,1,3
113.054470406,184363,49.46997744762356,284209,124.64737573649863,421794,3,1,3
114.052364949,185802,50.10356266348994,284489,126.61419858801136,421872,3,1,3
115.054276076,187736,50.737147897212715,284489,128.3947960777782,422291,3,1,3
116.05257531,190171,51.44462275919658,285677,129.90296669683786,423648,3,1,3
117.052637341,193196,52.08366746232098,285677,130.4840385382223,423842,3,1,3
118.051842668,196750,52.79934111703077,286983,130.8931535446005,425437,3,1,3
119.0527749,200434,53.517743888212216,286983,131.8001579445226,425841,3,1,3
120.053912107,204239,54.16089329710779,286983,132.547230901064,426467,3,1,3
121.055718347,204239,54.79447507385762,287807,135.45027169868297,427291,3,1,3
122.053713033,207436,55.43626306224804,288117,136.99319577601673,427995,3,1,3
123.06015346,209275,56.19846881579122,288117,138.51446799812135,428209,3,1,3
124.054067518,210562,56.91277522345898,289614,140.12908798870134,429359,3,1,3
125.055633359,211971,57.54361321388475,291070,141.62472402336786,430484,3,1,3
126.05386225,212637,58.09297107459917,291070,143.38206567606238,430511,3,1,3
127.052500237,214141,58.31961083092896,291878,144.88638732311918,431182,3,1,3
128.056927258,215115,58.94199017118555,291878,146.38521865453936,431447,3,1,3
129.053431349,215727,59.6534639257708,292103,147.9232286799056,431605,3,1,3
130.054178033,216458,60.33896566610729,292103,149.379840933699,431733,3,1,3
131.05581267,217156,60.98759549125583,293762,151.12303072627788,432180,3,1,3
132.053997596,217808,61.78538304868602,293909,152.78210309195927,432204,3,1,3
133.055813778,218237,62.43538085555995,293909,153.99896992532663,432240,3,1,3
134.055201058,218237,63.12917006120004,293909,155.48040953802672,432240,3,1,3
135.056542872,218476,63.79558221991182,294184,155.9742590938781,432273,3,1,3
136.05544797,218669,64.48526157095674,294184,158.07866095069565,432296,3,1,3
137.054048592,218755,65.23927472948981,295140,159.94984051626915,432332,3,1,3
