Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
39.013191067,16448,0.0,6923,9.124154410265238,23371,0,0,0
40.012759241,16448,0.0,6923,10.672562711056742,23371,0,0,0
41.015461252,16448,0.5532022330026409,15980,12.58746945930142,32428,0,0,0
42.017769965,44893,1.2810697512825107,15980,14.357063066103374,60873,0,0,0
43.017859682,74787,1.6909732615988624,23816,15.777515993261334,98603,0,0,0
44.020176604,87731,2.49546101534003,23816,17.525314214683384,111547,0,0,0
45.021460103,95768,3.1808230546513223,33516,19.268323588397067,129284,0,0,0
46.021674371,99778,3.8034434318770445,42387,20.76233386227722,142165,0,0,0
47.023119968,102004,4.647745751031329,42387,23.00335687265816,144391,0,0,0
48.023634054,103201,5.239952526436813,49782,24.589713471356824,152983,0,0,0
49.025774059,104021,5.926846729837461,57465,26.25159797601715,153803,0,0,0
50.027458063,104776,6.712305272417959,57465,26.99860383310999,162241,0,0,0
51.024808588,105367,7.432142369604257,57465,28.741594611605326,162832,0,0,0
52.026164251,105822,8.151872488357197,64563,30.4845548726945,170385,1,0,1
53.02798502,106522,8.888065904666236,71623,32.469608209591506,178145,1,0,1
54.027118891,107393,9.583242698142547,71623,33.71458401115754,179016,1,0,1
55.029462474,108417,10.20856306208789,79020,35.54054600664582,187437,1,0,1
56.032263195,109962,10.869524913250846,79020,37.53249968985951,188982,1,0,1
57.033390221,112604,11.464538040677185,86340,40.027786886630196,198943,1,0,1
58.033833096,119589,11.816805918151921,93667,41.770752666111896,211421,1,0,1
59.035066046,119589,12.435798602319078,101083,43.595366372975576,211421,1,0,1
60.03868706,130665,13.118506066982379,101083,45.33833063002412,225103,1,0,1
61.040075231,140059,13.75479031742724,108079,46.832301091702256,237696,1,0,1
62.03842636,146105,13.984018060924253,108079,48.658263280540474,241614,1,0,1
63.037693499,148835,14.629808989239296,114455,50.64927848080192,249462,1,0,1
64.039183631,150202,15.268840052735262,121767,52.39224251013295,250180,1,0,1
65.040029613,151045,15.911983012185551,121767,53.388220860620805,257875,1,0,1
66.040545141,151045,16.504504326008284,135662,55.380177561596014,271770,1,0,1
67.042118763,151828,17.13807743001513,135662,57.37213809452527,271886,1,0,1
68.04371843,153076,17.78396940786648,150435,59.115102123855564,286980,1,0,1
69.043615625,154656,18.36554479446627,156364,60.6920697544597,287265,1,0,1
70.044559645,156770,18.992275262385036,156364,62.43502997277132,293642,1,0,1
71.043856398,159483,19.580694762143768,158202,64.49031046931375,295896,1,0,1
72.048585609,159483,19.696143753975637,162273,66.27449806761888,295896,1,0,1
73.049216119,163116,20.285692904396523,162273,68.01762360271795,300815,1,0,1
74.053987957,167172,20.802923230938383,168078,69.85639475634052,306617,1,0,1
75.051659084,167172,21.313302568000623,168078,71.35009493422571,307569,1,1,2
76.050018868,170894,21.829169758251737,175559,73.09875948017549,315829,1,1,2
77.052216963,174281,22.425778342043504,175559,74.84517051183525,316500,1,1,2
78.051896496,174281,23.01417744767852,180771,76.93532798869539,321648,1,1,2
79.058369243,178076,23.58070412256418,187448,78.67641070058775,328842,1,1,2
80.056213869,182071,24.138983838426043,187448,80.16889899887252,329112,1,1,2
81.058679315,184961,24.624752421792763,200212,81.66795234044315,341992,1,1,2
82.058310689,187868,25.18306265996471,200212,83.24491950618975,342213,1,1,2
83.060282234,187868,25.779679217410955,215752,85.48587359436465,357867,1,1,2
84.060338163,190443,26.413237259606245,226671,86.7308472988608,368965,1,1,2
85.060748075,192774,26.982451914113703,226671,88.71771838173365,369140,1,1,2
86.066081008,194998,27.621205201347166,229813,90.62566916502443,372539,1,1,2
87.071075528,197559,27.799586141164315,236382,92.18253693168003,378958,1,1,2
88.06718652,197559,28.38166828710249,236382,93.92049874732744,379252,1,1,2
89.071115256,199620,28.934498593470558,245371,95.64795830880361,388479,1,1,2
90.069757554,201415,29.581758339614268,245371,97.37995577854353,388612,1,1,2
91.070052891,203289,30.239986695906683,251811,99.36974095123018,395281,1,1,2
92.069586186,205660,30.87493134294893,257601,101.1874262548726,401185,1,1,2
93.071782457,208309,31.518096439688364,257601,102.93038956917103,402008,1,1,2
94.078168614,211448,32.20499659916355,264123,104.91842587728515,409618,1,1,2
95.078369021,217337,32.86999725290095,280053,106.40875521229644,413492,1,1,2
96.079288429,217337,33.50611275487246,280053,108.48357624756437,429524,1,1,2
97.082866211,227760,33.80760355557007,296738,110.21819195644825,454737,1,1,2
98.082263999,227760,34.268446860495786,296738,111.71175722111424,454737,1,1,2
99.08273153,243757,35.11820792281462,304941,113.95271082336279,477224,1,1,2
100.097830095,257440,36.0719890705697,306290,115.77035877157005,478680,1,1,2
101.099920303,265106,36.801732566325306,306290,117.36530099731655,497414,1,1,2
102.102416897,269844,36.801732566325306,311950,119.11409601625077,506840,2,1,2
103.104808787,269844,37.111373688897544,311950,120.77406133450546,506840,2,1,2
104.106085751,272958,37.91222140940964,318799,122.19918756966686,516229,2,1,2
105.109106848,275040,38.52894023564853,324298,124.02515095356729,517913,2,1,2
106.114434213,275040,38.82087039951403,324298,125.76811450400302,523471,2,1,2
107.114563825,276407,39.45676454195739,330946,127.6135038719259,530177,2,1,2
108.116839782,277398,40.18195903483149,330946,129.5742840682214,531434,2,1,2
109.114388824,277398,40.53311101007802,334164,131.00930475250905,535651,2,1,2
110.119974521,278303,41.17722284002181,334164,132.61473258264684,536555,2,1,2
111.114351205,279419,41.90225796025834,336690,133.85423688667197,540193,2,1,2
112.116035217,280810,42.54393557109161,336690,135.35118003540853,541584,2,1,2
113.11760194,282177,43.16512229116276,338065,137.8459927522781,542959,2,1,2
114.115848852,283164,43.779547098182874,340443,139.67195583565965,546687,2,1,2
115.11653253,283164,44.06979863717771,343652,141.41492044429208,547674,2,1,2
116.117759767,284043,44.70357933443643,343652,143.07488653506846,551761,2,1,2
117.118678834,284847,45.2919498204642,349094,144.82076184676004,558007,2,1,2
118.115655543,285625,46.004810611131035,349094,146.4807289904429,558007,2,1,2
119.117329454,286765,46.64385836457703,356315,147.9746975515856,566006,2,1,2
120.121669122,288260,47.22815756985396,363463,149.96685679634817,567146,2,1,2
121.120883842,288260,47.78372497212493,363463,151.46099728348153,575767,2,1,2
122.118214186,290092,48.42688338126601,371678,153.45318519988413,585814,2,1,2
123.120977461,292197,49.009829156212945,371678,155.27935728922273,587919,2,1,2
124.11957995,294653,49.6023449612886,384606,157.2715452056253,600847,2,1,2
125.11825533,297036,50.16750049414281,399334,158.5166629044226,603188,2,1,2
126.120837044,297036,50.79696575239974,399334,160.43199144981867,620334,2,1,2
127.119403712,299287,51.4688559153198,408360,161.9261320488769,622698,2,1,2
128.119757884,302058,52.03399701130403,408360,163.4191976847401,634340,2,1,2
129.120768033,304067,52.668942043365476,412083,164.60631966854984,640240,2,1,2
130.121057472,306681,53.38730949320261,412083,166.31596806213304,642719,2,1,2
131.122881355,306681,53.46731255212857,418109,168.5836466906777,648745,3,1,3
132.121568351,308775,54.01931690863181,431972,169.83085658972414,648745,3,1,3
133.122135203,311446,54.65286674246543,431972,171.57402013517415,664818,3,1,3
134.127252133,311446,55.326109062510525,444660,173.2136349991191,667365,3,1,3
135.126191933,314083,55.893996395470815,444660,174.6763730762589,682713,3,1,3
136.125329565,316443,56.47830311204364,448548,176.0719952109679,688987,3,1,3
137.126516253,319037,57.124198333974256,448548,177.51225633884837,688987,3,1,3
138.126347226,321808,57.70987717967724,457331,179.99892638619355,700423,3,1,3
139.123413219,321808,58.26681667985209,458432,181.6948683111674,704283,3,1,3
140.130584327,324818,58.90860525114496,458432,183.2696395200603,707158,3,1,3
141.127066027,328276,59.492916987769604,459344,184.63452131243838,711441,3,1,3
142.127386972,331871,60.0799672754744,459344,185.8757142769322,711441,3,1,3
143.128371272,337996,60.71216210698875,460640,188.11838898281408,716347,3,1,3
144.129265439,348234,61.35668467264204,460640,189.5295221481935,722393,3,1,3
145.13710831,348234,61.99573443420605,460826,191.26390432727547,732836,3,1,3
146.126346716,359408,62.57866821180037,460895,193.44548402770246,744230,3,1,3
147.130310318,369399,62.82817090843499,460895,195.01840017378024,754086,3,1,3
148.133464191,369399,63.21755694935215,461113,197.0250690926946,754304,3,1,3
149.131499566,375509,63.891276992484,461225,198.7024154616024,760414,3,1,3
150.128187692,379251,64.53574934877196,461225,200.20521393410723,764268,3,1,3
151.134302862,381539,65.22124740308709,461310,202.20128831870937,766641,3,1,3
152.134282593,382870,65.94103862348732,461310,203.94445308426313,767972,3,1,3
153.128652669,383498,66.6663210523974,461405,205.61924093893873,768695,3,1,3
154.125584852,383910,66.89860023837385,461925,207.36575553422173,768695,3,1,3
155.131708395,383910,66.89860023837385,461925,208.52786530404654,769627,3,1,3
156.132130202,383910,67.49137205729616,463143,210.02133319304522,769627,3,1,3
157.128417082,384328,68.13584076223535,463143,211.76449606504193,771263,3,1,3
158.128597038,384851,68.73104333405738,463762,213.92270007044834,772405,3,1,3
159.130240347,385347,69.63829789931877,464005,215.66586294244496,772901,3,1,3
160.131272404,386085,70.40458509876626,464005,217.0769963362111,773882,3,1,3
161.133219121,387728,71.12299402868535,464489,219.08164710156476,776009,3,1,3
162.129876267,390459,71.81263096855868,464489,220.89450066765278,778740,3,1,3
163.131444291,393861,71.86562507262505,464815,222.6491792091986,782468,3,1,3
164.133033403,398037,72.52908652295531,465546,224.21291407284718,782468,3,1,3
165.128381535,402163,73.22260802696071,465546,225.9641887188681,787375,3,1,3
166.12982196,406114,73.96819702403116,466422,227.71311852678707,792377,3,1,3
167.132154479,409841,74.76323055684605,466422,229.22242159162843,796459,3,1,3
168.131245463,413635,75.45839819817395,466965,230.965585110128,800580,3,1,3
169.130440031,417095,76.10427362523323,466965,232.54273309110482,804393,3,1,3
170.131472251,417095,76.77755868912895,467438,233.79147744324635,808435,3,1,3
171.131569532,420175,77.4125114345812,467438,235.78473721741452,811461,3,1,3
172.135765618,422692,78.05568367966927,468526,237.29192346484254,814993,3,1,3
173.132190848,424361,78.69474038569622,469079,239.28384094742614,816815,3,1,3
174.13720437,426393,79.29275760752552,469079,241.12884122278672,817368,3,1,3
175.135254914,428485,79.94136737375581,470480,242.1477244042082,820629,3,1,3
176.136353702,430145,80.58586396523754,470480,243.63408899686817,822728,3,1,3
177.134348265,430145,81.18383308204044,471997,245.91944916985432,825958,3,1,3
178.141480336,432082,81.74349661484426,471997,247.32790477145156,827922,3,1,3
179.13155851,433516,82.3291670251076,475135,248.89500696666138,832580,3,1,3
