Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
52.008086881,19240,0.0,5806,0.057973682856067466,25046,0,0,0
53.00964383,19240,0.0,5806,0.057973682856067466,25046,0,0,0
54.008539751,19240,0.4271308435012481,5806,0.057973682856067466,25046,0,0,0
55.009617661,47773,1.0367318457294064,5806,0.09930843591108324,51945,1,0,1
56.010964422,71525,1.654774512312074,5806,0.6201249668804816,73284,1,0,1
57.01203358,71525,1.7476185416327623,20552,1.8232858723613354,86505,1,0,1
58.012721584,78587,2.38908279939925,24262,2.4057781752670673,92388,1,0,1
59.012423689,82697,3.0294039273989455,24262,2.535358439124601,94231,1,0,1
60.01350407,85513,3.669768784406494,24262,2.666513775309842,95415,1,0,1
61.011875886,87423,4.392285468860637,24262,2.8112267323152644,96295,1,0,1
62.01260245,90206,5.087440208258603,24262,2.9614398293125683,98267,1,0,1
63.013533269,90206,5.652595127835055,38802,4.128947589284338,110054,1,0,1
64.013025873,92271,6.264277857921147,38802,5.4104007917309564,111002,1,0,1
65.014306526,94786,7.040170983338183,45571,7.3767913007044,116958,1,1,1
66.014284274,98416,7.6792140540980425,45571,8.806457352235537,117588,1,1,1
67.015914816,104445,8.319530220142452,51120,11.28935679958811,122109,1,1,1
68.018786133,111989,8.331662197310338,51120,13.070129000436074,122874,1,1,1
69.016330944,111989,8.641401409771268,51120,14.847722777473098,122874,1,1,1
70.01661005,117239,9.441811078304866,62341,16.944010273799332,134474,1,1,1
71.016840602,119714,10.078088774835837,62341,18.433777100222258,134944,1,1,1
72.017348087,120908,10.84850434652064,73820,20.38379847618522,146734,1,1,1
73.017196789,121722,11.7461809410089,73820,22.50927737286413,146913,1,1,1
74.016080193,122605,12.505650337423564,78606,24.27995945500483,151721,1,1,1
75.018186508,123995,13.150171384955119,78606,25.456273478178407,151931,1,1,1
76.021840958,125897,13.682485767339807,89386,26.552110901969833,163008,1,1,1
77.018142474,128548,14.317425534075117,89386,28.391636851772443,163678,1,1,1
78.021123813,131654,14.96332655282716,89386,30.027896066907484,164267,1,1,1
79.023100282,135634,15.68035790099519,102160,32.710987230517695,177801,1,1,1
80.023317703,135634,16.218776563416565,102160,33.41176111456899,177801,1,1,1
81.026233308,140233,16.232457429375376,109319,34.581858788855314,185690,1,1,1
82.023917726,140233,16.633666248482363,116093,38.314489002352154,192464,1,1,1
83.027764856,144918,17.273759846803244,116093,40.409996274499974,193413,1,1,1
84.025393564,148240,18.037253781142134,129389,41.64507728980723,207220,1,1,1
85.025754922,150570,18.755661203935222,129389,43.08912104336296,207569,1,1,1
86.025190282,151974,19.521970571439613,142011,45.06317955971633,220442,1,1,1
87.026563701,152638,20.158289961795596,142011,46.80924960727528,220585,1,1,1
88.028173867,153266,20.920491042456668,147961,48.79417374490253,226684,1,1,1
89.030881566,153460,21.632061061860554,147961,50.166230462894646,226734,1,1,1
90.02666205,153543,22.60088913027364,147961,51.141349820809474,226751,1,1,1
91.028684098,153659,23.37266572505982,152144,51.84065376647345,231181,1,1,1
92.031192365,153829,24.084006037957344,152144,52.70573648606024,231185,1,1,1
93.033600973,153933,24.187002121907398,152144,53.133895971227965,231186,2,1,2
94.030783667,153933,24.801402848074463,156745,53.62567753601124,235820,2,1,2
95.033776682,154198,25.537607090671834,156745,54.82765104387346,235820,2,1,2
96.030910553,154682,26.230020452205185,161565,56.98571066656725,240534,2,1,2
97.032575356,154682,26.86495679457322,165869,59.233943806527314,244848,2,1,2
98.031716057,155338,27.4615682812555,165869,60.72189919365005,244854,2,1,2
99.035528187,156359,28.184033267297767,172006,61.96633482757855,251018,2,1,2
100.036292863,158223,28.814793965482433,172006,63.611841395250515,251107,2,1,2
101.036962398,163923,29.53752016381767,178851,64.93948772826619,259139,2,1,2
102.037203003,176142,30.282766037453435,185539,66.59525971121226,261165,2,1,2
103.040795884,189591,30.928638183873144,185539,68.6116476565896,270515,2,1,2
104.04539129,196242,31.816725578460353,193039,70.25071271196674,279268,2,1,2
105.044447001,199419,32.446197101818676,193039,70.9976971348187,279653,2,1,2
106.04140819,201590,32.88919526100723,193039,71.7446815576561,279796,2,1,2
107.043078397,203369,33.600753461296094,193039,72.49166598050803,279870,2,1,2
108.044073811,205377,34.308208677836156,200105,73.23865040334543,286980,2,1,2
109.046100952,207401,35.00062020747244,200105,74.40059412135803,287066,2,1,2
110.043608685,209946,35.58356233797191,200105,74.40059412135803,287178,2,1,2
111.046780139,213158,36.343032508951715,207465,75.90620799411258,294727,2,1,2
112.047763727,216870,36.984813688472585,207465,77.64918012112781,294922,2,1,2
113.050787083,220923,37.66354681876227,221325,82.54399398031677,308952,2,1,2
114.048737481,220923,38.32312362645377,235575,84.28466674728737,323202,2,1,2
115.049316845,224381,39.082589395910304,235575,85.76970591394418,323424,2,1,2
116.052475132,227067,39.22708897443822,249698,87.0867968994303,337699,2,1,2
117.048653993,227067,39.43441918636243,249698,88.67652640973877,337699,2,1,2
118.049675617,229658,40.144881629089035,255416,91.08187662700328,343595,2,1,2
119.054146839,231296,40.8208064563165,255416,93.10093493087405,343736,2,1,2
120.057956549,232652,41.357223740774444,261963,93.7142221468555,350377,3,1,3
121.048720244,233446,42.13035463102598,261963,93.90342401080244,350449,3,1,3
122.053187945,233976,42.81319636141834,261963,94.4200012387258,350524,3,1,3
123.051825544,234389,43.54112315776471,274221,96.54040836341149,362863,3,1,3
124.054657665,234580,44.26498735213111,274221,97.03812852662574,362891,3,1,3
125.054798049,234847,44.95053295922703,284855,99.61013052707537,373541,3,1,3
126.051249331,235129,45.59911175459425,284855,100.10812031359414,373558,3,1,3
127.051116464,235222,46.26411258070437,289459,102.86109781868468,378170,3,1,3
128.053632398,235222,46.91412010026802,290218,103.85379027035304,378170,3,1,3
129.052901821,235323,47.59010964437417,290218,104.55531771417579,378874,3,1,3
130.051006232,235354,48.38512136276493,290218,104.65584394223622,378877,3,1,3
131.056326933,235455,49.014558890242085,290218,104.6983331928423,378877,3,1,3
132.052359957,235531,49.789062723326936,290218,105.13236239663013,378881,3,1,3
133.055991447,236648,50.76603832875136,291926,106.85656676669554,380619,3,1,3
134.052406547,237637,51.44611652654636,291926,108.98762284151547,380658,3,1,3
135.050832711,237637,52.1602275955254,292107,110.40616996496172,380839,3,1,3
136.055428054,239409,52.65534660322962,292107,112.18097827923238,381138,3,1,3
137.052600912,244846,53.41710897215782,292231,113.95761799200535,383041,3,2,4
138.059082798,255159,53.97800479160647,292231,115.72020779066752,385282,3,2,4
139.055088927,270523,54.67157237764099,292231,117.00479996886136,387716,3,2,4
