Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
49.009241191,16448,0.0,5228,0.5767549987821707,21676,0,1,1
50.009280285,16448,0.0,5228,0.6924434656016499,21676,0,1,1
51.008797624,16448,0.561472795051067,5228,0.7638399998196891,21676,0,1,1
52.010833355,44855,1.2071571976985656,5228,0.9284057125525811,49265,0,1,1
53.011514684,73977,1.686607392129092,5228,0.9663879424613003,75889,0,1,1
54.012051743,87907,2.3302229502875753,5228,0.9755266719215898,88680,1,1,2
55.012430814,95469,2.9637430900373007,5228,1.0458374799115848,95754,1,1,2
56.011432853,99670,3.634173044986865,5228,1.193358506807685,99775,1,1,2
57.012032934,101935,4.277285460460092,5228,1.3363766437759166,101988,1,1,2
58.012774179,103178,4.88722870958232,5228,1.349673917342946,103214,1,1,2
59.012317012,103178,5.402249380362778,5228,1.3519587848755346,103214,1,1,2
60.013669673,104072,6.111073198065879,5228,1.3693704482043434,104095,1,1,2
61.012427468,104687,6.8691755605344245,5228,1.3693704482043434,104705,1,1,2
62.018548119,105152,7.4617032613668375,11063,3.1990326226867993,107294,1,1,2
63.019288034,105651,8.100753028412182,11063,5.048740575745168,107619,1,1,2
64.021633601,106255,8.74258348869366,25380,8.900697230086966,121812,1,1,2
65.0255252,107243,9.318755378726472,38894,11.306847364589773,135412,1,1,2
66.02585943,108361,9.960585839005752,42971,13.081713542529949,139637,1,1,2
67.026047586,108361,10.525779029297855,42971,14.316836000815403,139637,2,1,3
68.028918585,110099,11.110144888849602,49368,14.938461627934547,146345,2,1,3
69.029980953,113262,11.70816736426851,49368,16.99560314856109,147224,2,1,3
70.032675182,121862,12.349997824549988,58021,18.767709739768193,157819,2,1,3
71.032657585,121862,12.85226376776691,58021,20.184707016831435,157819,2,1,3
72.03526715,132729,13.544730520846025,58021,21.249842480826764,160740,2,1,3
73.031646746,140623,14.12773071881383,66290,21.96163324481533,162838,2,1,3
74.03632989,144699,14.761367209572931,66290,23.738725541425605,171945,2,1,3
75.035815279,146455,14.951575932449659,74694,26.862991074906986,180786,2,1,3
76.03493754,146455,14.951575932449659,74694,28.008425765892373,180786,2,1,3
77.037312444,146455,15.29332798215586,74694,29.109283179746814,180786,2,1,3
78.035823788,147240,15.888754187646434,81410,29.853413750266455,187813,2,1,3
79.03770068,147510,16.531889262844167,89217,32.69447255875115,195644,2,1,3
80.038400921,147687,17.126975419496343,89217,34.49921972316635,195693,2,1,3
81.039244659,147687,17.698927551590888,97335,35.86905213120554,203735,2,1,3
82.042827853,147739,18.291458757560726,97335,37.540011536782735,203742,2,1,3
83.044256454,148013,18.915459517174217,104629,38.96286915105728,211211,2,1,3
84.041857065,148055,19.535341854073366,104629,40.45120354401493,211215,2,1,3
85.042916283,148097,20.18262261964912,112363,41.780527636186704,218902,2,1,3
86.042947046,148176,20.825786581683815,112363,43.43484733577938,218911,2,1,3
87.042176491,148176,21.414204928067697,112363,43.69472142819838,218911,2,1,3
88.045217027,148319,22.047779736507977,119687,44.61726250933037,226322,2,1,3
89.043368874,148565,22.69093762049479,119687,45.8625319603911,226347,2,1,3
90.043813094,149044,23.280730767384068,119687,46.0461676099763,226410,2,1,3
91.047559923,149704,23.917043859159843,127212,47.72283750130619,226449,2,1,3
92.047978563,151085,24.55883958620427,127212,49.46390227658286,234052,2,1,3
93.049988344,156299,25.12396947441918,134396,51.319120778813954,242013,2,1,3
94.051475845,156299,25.716389688010935,141241,53.926094153142685,248836,2,2,4
95.053699363,167366,26.35268210667497,141241,55.950819567302425,250639,2,2,4
96.055604484,181646,26.936842227107125,148607,58.18997811068678,262066,2,2,4
97.05616515,190033,27.556403268695963,148607,59.943038627719936,264724,2,2,4
98.056206314,195465,28.026544347060135,162906,62.02036108892243,280284,2,2,4
99.05409359,195465,28.58494697295058,162906,64.14631582872944,280284,2,2,4
100.055278219,199389,29.177424897727118,173394,65.91832244579,291888,2,2,4
101.055250307,201945,29.738351173229585,173394,67.92462753282364,292512,2,2,4
102.057531938,205144,30.328132317328475,173394,68.2781879861346,293613,2,2,4
103.057014903,208018,30.972668147375582,178853,70.11081471491832,300197,2,2,4
104.05776257,210826,31.685601723150548,178853,70.75662568672206,301364,2,2,4
105.057580533,214008,32.41359370619776,185642,72.52920995098584,309674,2,2,4
106.060646617,217828,33.049893428761735,185642,73.68588967133796,312204,2,2,4
107.058835641,217828,33.28488767459163,185642,74.67982890609314,312204,2,2,4
108.060370756,222361,33.76496100682369,193300,76.58878931521075,323268,2,2,4
109.062950221,227464,34.40869531796019,200000,79.07873804384472,333884,2,2,4
110.060489401,227464,35.046284115417336,200000,80.48970893648828,333884,2,2,4
111.063907485,232144,35.756207748347315,203512,81.0149952854844,341030,2,2,4
112.066122209,235492,36.4787554971181,203512,81.8720388863385,343470,2,2,4
113.061448415,238792,37.17391094069706,206659,82.59895028232496,348987,2,2,4
114.064443763,242205,37.821170448138254,206659,82.66530360901679,351665,2,2,4
115.061476849,246147,38.40410436920125,206659,82.8962603124723,354702,2,2,4
116.063557328,251759,39.03902767515767,208622,83.78978789306271,361528,2,2,4
117.064389213,258504,39.757426315546084,208622,84.28911314648782,367453,2,2,4
118.062509599,263544,40.396476442040154,208622,85.04130555724605,371766,2,2,4
119.06865015,267243,41.11487409636202,214732,86.78970717386972,380969,2,2,4
120.069854738,267243,41.45044922683389,214732,88.11848638021746,380969,2,2,4
121.071207484,269929,42.03027893390774,228557,89.85727464701782,394991,2,2,4
122.068106321,269929,42.74180037177386,228557,91.84882940439803,397524,2,2,4
123.070633346,272217,43.37810942588345,244478,92.8790669971686,399785,2,2,4
124.072302314,274526,44.013053751557024,244478,95.02199707313315,417903,2,2,4
125.070161038,276735,44.65347300191304,249973,96.57196286796011,425607,2,2,4
126.071142747,278901,45.29253331224377,249973,98.33316501800996,427773,2,2,4
127.070855381,281048,45.91924837133563,253557,99.27284147761071,433504,2,2,4
128.072598626,283195,46.51039786944389,253557,99.4195509759296,435651,2,2,4
129.070456007,283195,47.08923943666784,253557,99.47336467801262,435651,2,2,4
130.070692993,285460,47.731023440008315,253557,99.77020289950788,437916,2,2,4
131.076458988,287629,48.36869712763925,257589,100.78432890416211,444117,2,2,4
132.073206937,289680,48.954371064064176,257589,101.29858547744666,446168,2,2,4
133.071190667,291783,49.255485626746946,257589,102.9704404979178,448319,2,2,4
134.072564484,294091,49.86646163418092,262626,104.14082971958989,455749,2,2,4
135.073536526,294091,50.45899025884585,262626,105.14027089469882,455749,2,2,4
136.074484179,296354,51.08710523217253,268765,106.88926550353817,464116,2,2,4
137.07449599,298497,51.76174410106087,268765,107.63946696390687,466312,2,2,4
138.075758201,300517,52.47059399097527,275341,109.55677102802265,474968,2,2,4
139.078030965,302729,53.116493688368806,275341,110.80602013791538,477056,2,2,4
140.07562076,304782,53.821234633637424,281500,112.24223181182386,485293,2,2,4
141.079821108,307301,54.40006558454373,281500,113.95685128865867,487987,2,2,4
142.080309752,309823,55.05005656839425,288916,115.6080615860166,497732,2,2,4
143.079798249,312327,55.60837673623411,288916,117.264246036167,500279,2,2,4
144.08021831,312327,56.176272488106854,300425,119.0401225607052,511788,2,2,4
145.079521198,314940,56.81395644250782,300425,120.92460251265541,514427,2,2,4
146.079641359,317959,57.41196016198393,300425,122.64460323578768,517376,2,2,4
147.081288803,320786,57.971661060522855,308595,122.98898323709503,528420,2,2,4
148.082449476,323606,58.46701506920224,308595,123.57637183758519,531250,2,2,4
149.082453513,323606,59.10060459365383,308595,124.67583663869158,531250,2,2,4
150.087309792,327069,59.69313001081639,308595,125.43718492188262,534665,2,2,4
151.084519931,331396,60.251452340916074,314885,127.63955781185277,545280,2,2,4
152.088958408,337039,60.831652338666835,326795,131.52133602754733,557190,2,2,4
153.085889539,337039,61.35166593389664,326795,132.20775720217864,562880,2,2,4
154.085639656,345266,62.06324916695358,334827,135.38771177929095,579094,2,2,4
155.087924447,354664,62.74199202576594,338720,137.26866789111972,592394,2,2,4
156.093042383,363326,63.330416811818644,338720,138.77561139243394,601077,2,2,4
157.092545466,370198,63.976323429051575,344074,139.06678122616333,613378,3,2,5
158.089632616,374948,64.68927592192236,344074,139.12079831015333,613378,3,2,5
159.092538447,377884,64.78780459017214,344074,139.72552427077215,618128,3,2,5
160.08973918,377884,64.79054209730533,349674,141.15918004777504,626673,3,2,5
161.090571467,377884,65.05180920692972,349674,143.23185154599057,626673,3,2,5
162.091703801,379724,65.70068743438694,353000,143.5825096131782,629999,3,2,5
163.094892922,380894,66.41491659445954,353000,143.93335968010746,631839,3,2,5
164.090258915,381556,67.27142627232918,353000,144.8630195549653,633009,3,2,5
165.091459848,382014,67.91182709126225,353000,146.48679570883,633671,3,2,5
166.092404639,382345,68.62614207540902,353000,147.2996530515008,634129,3,2,5
167.093656568,382699,69.2665314519907,353386,147.99825236248037,634846,3,2,5
