Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
53.009094836,19240,0.0,5668,0.03867582452314383,24905,0,0,0
54.007501315,19240,0.0,5668,0.03867582452314383,24905,0,0,0
55.009866937,19240,0.5507647473060702,5668,0.05076745150576075,24905,1,0,1
56.010636076,48061,1.2470480493997553,5668,0.1635874960458463,51998,1,0,1
57.010849817,71693,1.6600406435605846,20302,0.7092051440298544,86175,1,0,1
58.011401303,71693,1.6600406435605846,20302,1.692087122734855,86175,1,0,1
59.011372911,78377,2.2852867293070895,20302,2.8540958262486398,90710,1,0,1
60.011888921,82314,2.978957102156654,35867,3.6842373389311605,107536,1,0,1
61.012029639,84956,3.6848550553097734,35867,4.680237419703609,108276,1,0,1
62.01160188,86120,4.328009485704637,35867,5.842213705128906,108528,1,0,1
63.012953516,86825,5.0464211386625895,42815,6.850776916641769,115333,1,0,1
64.012430707,87169,5.693684668842663,42815,7.763620072437836,115336,1,0,1
65.011956585,87169,6.340956529970424,42815,8.786522682207796,115336,1,0,1
66.014545816,89966,7.050983751257581,46651,9.950777070074388,119610,1,0,1
67.015660405,90312,7.477857175609699,46651,10.978387751957188,119803,1,0,1
68.020042143,90519,8.197373836287998,53759,11.86778980105842,126454,1,0,1
69.016664051,94415,8.825819997195952,53759,12.90456212683989,126709,1,1,1
70.01709547,103760,9.210182082163012,53759,13.91213375826193,127116,1,1,1
71.016407374,103760,9.210182082163012,53759,14.566500487924914,127116,1,1,1
72.016764223,103760,9.4667731959065,63779,15.831791747301633,136949,1,1,1
73.020100202,103760,10.098309190303821,63779,17.00728045181505,136949,1,1,1
74.017456882,113049,10.716424194706251,71646,18.0171294518839,145174,1,1,1
75.017452281,116814,11.436903774612249,71646,18.92080114412454,145198,1,1,1
76.017239435,116814,12.077276453974838,71646,19.919653514257774,145198,1,1,1
77.017482628,116814,12.760109006738915,76906,21.10683609700506,150458,1,1,1
78.018751981,116814,13.431997439449221,76906,22.15230121939264,150458,1,1,1
79.018138709,116814,14.071045712201395,76906,22.804790819361063,150458,1,1,1
80.019951623,116814,14.76620373309643,81844,23.81490340769343,155395,1,1,1
81.020821301,116814,15.425782070785708,81844,24.988556434037477,155395,1,1,1
82.018430561,116814,16.181149365659866,81844,25.982514978788572,155395,1,1,1
83.019577236,116815,16.820201771097853,91724,26.975661735396002,165276,1,1,1
84.019161876,116815,17.461970832242066,91724,27.888642619186534,165276,1,1,1
85.018896778,118293,18.310298146140426,91724,28.884622282813034,166754,1,1,1
86.023117768,129867,19.116943844516804,100989,29.805629962436605,187418,1,1,1
87.023705636,142883,19.779229576887417,100989,30.80778155767148,200434,1,1,1
88.024364187,150273,20.55374449774856,100989,31.720763867012376,207973,1,1,1
89.023690335,150273,21.194167403800343,104449,32.70766351637825,211433,1,1,1
90.023823742,155095,21.59964816092502,104449,33.89569217144081,216157,1,1,1
91.025896093,158578,21.831476990340867,104449,34.57494340610569,219753,1,1,1
92.028520315,160980,22.51964513677328,109376,35.70047957844547,226924,1,1,1
93.031229487,162997,23.294079515286892,109376,36.70420563548734,229197,1,1,1
94.0315276,165165,24.00428894252728,124048,37.69842804805373,245775,1,1,1
95.029834449,167005,24.728180770234705,124048,38.88619539348642,247634,1,1,1
96.030919817,169239,25.354910707824203,124048,39.57859074164518,249891,1,1,1
97.030273657,169239,25.995331058296138,134033,40.472731221047596,259876,1,1,1
98.033027563,171319,26.715111191906832,134033,41.75548161939211,261978,1,1,1
99.034996893,173657,27.399319615035225,134033,42.60668095626316,264292,1,1,1
100.035857486,175817,28.080792184064972,137757,43.41956175321249,270232,1,1,1
101.035845869,178316,28.826583341462754,137757,44.55766034507852,272706,1,1,1
102.036289911,180686,29.50668915484382,137757,45.60911368426158,275078,1,1,1
103.037272005,182578,30.230582074666625,138100,46.680490676259105,277339,1,1,1
104.034459937,183922,30.589731349199344,138100,47.6221607028687,278683,1,1,1
105.036573082,183922,30.589731349199344,138100,48.520031532686886,278683,1,1,1
106.036588069,183922,30.589731349199344,139239,49.28034987354171,279688,1,1,1
107.035337428,183922,30.589731349199344,139239,49.900622085980224,279688,1,1,1
108.036679218,183922,31.250733134799944,139239,50.260399511563364,279688,1,1,1
109.0350786,184856,31.978418511012705,139239,50.90751446022503,280622,1,1,1
110.035694012,185286,32.61875625237325,139239,51.6952635637435,281052,1,1,1
111.035763439,185525,33.33841116539924,139641,52.50738901655214,281291,1,1,1
112.036444457,185525,34.03629607868468,139641,53.04688949545917,281684,1,1,1
113.037850614,185569,34.70955814624072,139641,53.62518019575126,281728,1,1,1
114.037202935,185599,35.35272288708463,141598,54.72747527490527,281758,1,1,1
115.036422848,185604,36.05061793602511,141598,55.574013134002726,283707,1,1,1
116.036714315,185604,36.8566154335849,141598,55.86073628311896,283707,1,1,1
117.036336939,185604,37.49704725700071,142014,55.93801526923459,284123,1,1,1
118.037314838,185604,38.110099005728095,142014,55.983943556530434,284123,1,1,1
119.037693584,185604,38.72589015539623,142014,55.996037249018535,284123,1,1,1
120.039620281,185604,39.36487692119107,142014,55.9995239659123,284123,1,1,1
121.039152631,185604,40.00521472586977,142014,55.9995239659123,284123,2,1,2
122.036147876,185604,40.644264507440816,142014,55.9995239659123,284123,2,1,2
123.03694855,185604,41.355839071330806,142014,56.393345996488904,284123,2,1,2
124.036787509,185604,41.99626023472836,142450,57.010317966093396,284665,2,1,2
125.037392546,185604,42.63803756303065,142450,58.059985324491834,284665,2,1,2
126.038648417,185604,43.27285237558668,142450,58.95970074807582,284665,2,1,2
127.037800269,185604,43.88525315129642,142836,59.784440204252576,284957,2,1,2
128.038961428,185421,44.56908778058015,142836,60.68415562783656,284959,2,1,2
129.038924598,185421,45.283370900665076,142836,61.50889508401332,284959,2,1,2
130.039737195,185421,45.911474200586795,143263,62.633540317167615,285340,2,1,2
131.039374503,185434,46.55053522034883,143263,63.459037889867425,285353,2,1,2
132.03900558,185434,47.26075442932908,143263,64.20735975740719,285353,2,1,2
133.040466663,185434,47.89160148255967,144061,65.14176413057614,286204,2,1,2
134.043095533,185434,48.5867707264386,144061,66.23190161226559,286204,2,1,2
135.041217749,185434,49.24909680771995,144061,67.16630598543453,286204,2,1,2
136.043404546,185434,49.94424888573816,144747,68.10071226598326,286805,2,1,2
137.044906739,185437,50.647615793929596,144747,68.95724913121764,286808,2,1,2
138.043105652,185755,51.28634002635263,145313,69.89165350441773,286819,2,1,2
139.052971531,188879,51.91223688347287,145313,70.74150107287439,287764,2,1,2
140.045520642,190055,52.633147711929,145313,71.64947518554087,287792,2,1,2
141.046699132,190796,53.395278030139515,145713,72.67089551505515,288276,2,1,2
142.043950213,191097,54.106833628237005,145713,73.4599530303511,288283,2,1,2
143.046429769,191413,54.749984919776395,145713,74.68291445613235,288293,2,1,2
144.047422282,192135,55.378069330828,148638,75.66820591911718,291265,2,1,2
145.047261486,193264,56.33865251340178,148638,76.62971584382814,291343,2,1,2
146.050059101,194920,57.23494600907655,148638,77.35562226412318,291518,2,1,2
147.048796445,197206,57.95882105573871,158152,78.47820002002591,301287,2,1,2
148.050584868,200048,58.60333055887022,158152,79.47418088865145,301709,2,1,2
149.051150009,203622,59.2888928276069,158152,80.6516249632657,302372,2,1,2
150.049481701,207508,60.00183089225907,167748,81.63351339492608,312691,2,1,2
151.049400161,211554,60.840619988556725,167748,82.52984414484972,313667,2,1,2
152.051628953,215296,61.51795882146614,167748,83.49747595186211,314334,2,1,2
153.053517907,217777,62.16110606307987,173237,84.24888287546347,320102,2,1,2
154.051445496,219374,62.875414928414465,173237,85.482184181478,320266,2,1,2
155.05197604,220851,63.586961380434374,174447,86.3895116331421,320430,2,1,2
156.050793597,221820,63.784436236374646,174447,87.61812967609647,321733,2,1,2
157.052537067,221820,63.966292980511504,174447,88.32375120682195,321733,2,1,2
158.050716928,222689,64.65733713323947,174448,88.97843387601964,321873,2,1,2
159.050797297,223385,65.38115989534698,174448,89.07719626888647,321976,2,1,2
160.05252121,224023,66.02292620367797,174448,89.08149756785632,322090,2,1,2
161.052665126,224434,66.66471299304784,174448,89.16763431652275,322148,2,1,2
162.051298332,224434,67.3803955264306,174816,89.88552250380775,322148,2,1,2
163.050713308,224686,68.10018425860484,174816,90.86876600111671,322551,2,1,2
164.051405219,224831,68.79670874423226,174816,91.48142783667053,322573,2,1,2
165.051451515,224944,69.51236004326611,174817,91.82005063480239,322611,2,1,2
166.0520086,224969,70.15413354488504,174817,92.69764493743203,322619,2,1,2
167.050984812,224994,70.86431725597086,174817,93.61058177241739,322634,2,1,2
168.05172282,225008,71.55945980773735,174871,94.28400165923664,322701,2,1,2
169.052927992,225057,72.13829486025813,174871,94.40610212726173,322711,2,1,2
170.050883047,225107,72.85944116494217,174871,94.52183569790296,322724,2,1,2
171.050580456,225216,73.54498476797352,174873,94.96822354114803,322747,2,1,2
172.050381144,225358,74.21958423168502,174873,95.67039875194419,322754,2,1,2
173.051401915,225591,74.86408793771962,174873,95.90264088976855,322805,2,1,2
174.049445427,226054,75.5592471844178,176578,95.919842763928,324589,2,1,2
175.051814539,226054,76.25162829543568,176578,95.95651130799757,324589,2,1,2
