Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
58.011027433,16448,0.0,5904,0.1190864955378954,22352,0,0,0
59.01129373,16448,0.38224718940325886,5904,0.1190864955378954,22352,0,0,0
60.011935316,44806,1.0251582816167888,5904,0.1190864955378954,50341,0,0,0
61.013566872,74276,1.4870571109058939,5904,0.12043033601643277,78385,0,0,0
62.014849134,87807,2.1305967670024892,5904,0.554688089727825,90757,0,0,0
63.013674786,87807,2.799720285642681,5904,1.4866667752221894,90757,0,0,0
64.01477602,95422,3.3566130482888745,5904,2.565644081990936,97850,0,0,0
65.015526368,99458,3.9833576850039947,22254,3.810752603753433,117989,0,0,0
66.01590183,101697,4.655220776183431,22254,4.805234568079705,120063,0,0,0
67.016273454,102972,5.118140029438892,22254,5.884211384757264,121227,0,0,0
68.016489571,103789,5.747551891289454,36938,6.8718580599967725,136566,0,0,0
69.017789749,104527,6.394789113201879,36938,8.148786864952378,137103,0,0,0
70.017534119,104527,7.04890395963624,42251,8.993328896789421,137103,0,0,0
71.020951052,105208,7.619520099331778,42251,10.258292849053795,142907,0,0,0
72.021883332,105713,8.265385389621056,42251,11.111759971866844,143238,0,0,0
73.023583643,106436,8.92494979757611,48024,12.188856475116381,149364,0,0,0
74.023134476,107567,9.565319224842828,48024,13.184835314301953,149854,0,0,0
75.02291164,108863,10.20571302905297,48024,14.01723010051858,150096,0,0,0
76.025216642,110740,10.83654609397075,54775,15.277025485300054,157225,0,0,0
77.026552798,114463,11.430435104682156,54775,16.388603966193234,157641,0,0,0
78.026327553,122666,12.173477773719023,54775,17.22194868681129,158211,0,0,0
79.034150198,122666,12.349794292556782,61863,18.472666033633157,165251,0,0,0
80.02750744,132413,12.714619042358581,61863,19.25509711255854,166093,0,0,0
81.030977411,132413,13.35874761225615,70364,19.756088080072068,174592,1,0,1
82.030035635,140382,13.9826281882146,70364,19.768174090903166,175302,1,0,1
83.029777663,145092,14.629872188082254,70364,19.808728892215374,175725,1,0,1
84.030387375,147323,15.218288034328852,70364,19.83274494015848,175881,1,0,1
85.031482818,148703,15.791661054664235,79365,20.3914018534742,184959,1,0,1
86.031395704,149646,16.437552152687545,79365,21.21282635061679,185152,1,0,1
87.033206233,149646,17.068385868208956,79365,22.225773718920244,185152,1,0,1
88.031779356,150277,17.706063010128606,83701,23.32060850801945,189700,1,0,1
89.033742843,150753,18.343743438981946,83701,24.315771583135756,189706,1,0,1
90.033476256,151629,18.857137584227385,83701,25.56517506766538,189877,1,0,1
91.035591344,152836,19.4961217741511,88473,26.394069214939858,194751,1,0,1
92.03528815,154554,20.133727104608123,88473,27.47559172905596,195140,1,0,1
93.034827036,156419,20.775476852869655,88473,28.47760576495525,195354,1,0,1
94.035392641,156419,21.367972329989765,90215,29.567181189569766,197019,1,0,1
95.035724835,157674,22.006960638357754,90215,30.81121787148998,196962,1,0,1
96.035447042,158733,22.651523497136655,90496,31.387466205869273,197053,1,0,1
97.03866119,159882,23.312497535180608,90496,32.6439793170322,197970,1,0,1
98.036396775,161053,23.879018217537354,90496,33.57944988392913,198204,1,0,1
99.037557266,162914,24.526275571836248,92038,34.3769255194881,200205,1,0,1
100.040104425,166747,25.24880022761997,92038,35.3560194300854,201330,1,1,2
101.037773162,173463,25.898792421949025,92038,36.43445681125476,203866,1,1,2
102.039014819,173463,26.539141600501583,94456,37.430436584048316,206100,1,1,2
103.040090354,182127,26.92909867022812,94456,38.509414375556375,210055,1,1,2
104.042485675,188823,27.518791065839206,98393,39.50539414835063,213341,1,1,2
105.044747538,193631,28.159194056985534,98393,40.751308625390905,220204,1,1,2
106.044049881,196897,28.794158499706764,98393,41.84651021881119,222291,1,1,2
107.045714204,199424,29.431899888125972,108061,42.8518180737621,233595,1,1,2
108.048232758,199424,30.01075188046307,108061,43.93937368462629,233595,1,1,2
109.047909336,201952,30.689492913158755,108061,44.944924280475114,235639,1,1,2
110.047065843,204259,31.206417168121888,116912,46.03573294584541,246154,1,1,2
111.047840827,204259,31.244915214309128,116912,47.042969090502446,246154,1,1,2
112.047807043,207000,31.83057139335976,116912,48.13650552941566,248125,1,1,2
113.050239723,207000,32.52979687629698,125055,49.1307314834149,256361,1,1,2
114.05218063,215659,33.21674344589161,125055,50.2194068190664,261317,1,1,2
115.050652873,215659,33.892685320708324,125055,51.22508700116891,261317,1,1,2
116.053419025,224593,34.537183626240974,136802,52.3050060137772,278722,1,1,2
117.05066273,238444,35.18446883963621,136802,53.548496800707625,288215,1,1,2
118.053975949,254300,35.76322703438521,149119,54.53876565471141,311988,1,1,2
119.055397396,263343,36.2480795570605,149119,55.61774342562081,317914,1,1,2
120.054695949,268506,36.88964242833272,149119,56.62297795212935,321301,1,1,2
121.054569733,271734,37.506737791378896,154565,57.70024964350817,328590,1,1,2
122.056067652,271734,38.17998012531278,154565,58.535717915948794,328590,1,1,2
123.05333013,273809,38.82039528063697,157026,59.75438998379597,331785,1,1,2
124.055747221,275715,39.414284272767226,157026,60.543723342904556,332491,1,1,2
125.054363025,277635,40.00406799813432,157026,61.53780531557015,333091,1,1,2
126.054916249,279588,40.65406627666636,163620,62.59794907222166,333714,1,1,2
127.059408905,281541,40.90685249968831,163620,63.42739512251792,341062,1,1,2
128.057678274,281541,41.52172591907679,163620,64.41023144357854,341062,1,1,2
129.059888019,283390,42.20592682151216,171441,65.48920906722158,349510,1,1,2
130.065099033,285272,42.92160831513283,171441,66.48492018843274,350185,1,1,2
131.060760505,287108,43.76591310554271,171441,67.56389643663496,350950,1,1,2
132.064750197,288968,44.448749581185375,180270,68.55987901286733,360488,1,1,2
133.062716113,293128,45.219159568092756,180270,69.80485248878134,362705,1,1,2
134.06529282,295117,46.06072518181354,188776,70.88382873692571,363770,1,1,2
135.065709602,297603,46.78186906849283,188776,71.87994188905164,373742,1,1,2
136.065348723,297603,47.466069585179724,188776,73.12558746073654,373742,1,1,2
137.06653552,299830,48.18721280684686,203332,74.20483459212545,389693,1,1,2
138.067962173,301930,48.90288762006189,203332,75.20081157200234,391057,1,1,2
139.067084494,304179,49.547405343421296,203332,76.27978919252683,392591,1,1,2
140.068493177,306512,50.17687373272045,216761,77.5350870481316,407889,1,1,2
141.067929604,308848,50.80908008646501,216761,78.32488885665583,409643,1,1,2
142.068670706,311165,51.452227028568366,223063,79.56445636584587,411333,1,1,2
143.068299168,313676,52.08169874980155,223063,80.544236670022,419600,1,1,2
144.072265229,316391,52.74400351535783,223063,81.59339190269813,421631,1,1,2
145.069952015,319064,53.35512348982419,227361,82.49227703471453,423693,1,1,2
146.07065795,319064,53.35512348982419,227361,83.39904115034356,427991,1,1,2
147.068558193,321971,54.01385767543256,227361,84.41344131430648,430032,1,1,2
148.071634955,324984,54.65834732231362,234521,84.60378514560102,439163,2,1,3
149.069574469,324984,55.301506625305144,234521,84.61628367257914,439163,2,1,3
150.069148223,328287,56.01991229861866,234521,84.61628367257914,441277,2,1,3
151.076246972,331071,56.65893233481955,234521,84.67828164474203,443305,2,1,3
152.070433197,335306,57.30065675047609,234521,85.24583461629605,445567,2,1,3
153.074421399,344149,57.946189043174925,234521,86.46852169990814,448175,2,1,3
