Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
24.008401165,19240,0.0,5797,0.05695509839039001,25037,0,0,0
25.008188864,19240,0.0,5797,0.05695509839039001,25037,0,0,0
26.008341962,19240,0.37749248345088293,5797,0.05695509839039001,25037,0,0,0
27.009855149,48081,1.0980248991036143,5797,0.05695509839039001,52232,0,0,0
28.011242547,71162,1.6322473661719998,5797,0.05695509839039001,72956,0,0,0
29.012009972,71162,1.6322473661719998,5797,0.05695509839039001,72956,0,0,0
30.010640964,71162,1.706367544934501,5797,0.05695509839039001,72956,0,0,0
31.011101019,71162,2.4501942639746312,5797,0.20576011383935,72956,0,0,0
32.010422046,79121,3.109733058964123,20872,1.7559149238716585,92403,0,0,0
33.011023479,83843,3.7966257806771755,20872,3.038743393671517,95944,0,0,0
34.011920239,86548,4.513577508323416,35227,4.260609466320504,112122,1,0,1
35.013137265,89436,5.2333096590310575,41756,4.6718111741775825,121365,1,0,1
36.013630773,93329,5.790232982557883,41756,6.405665375028489,125120,1,0,1
37.016425941,98299,6.561977762747097,45294,7.9130398191954345,133577,1,0,1
38.015209165,103525,7.211953773874933,45294,9.517994211010748,138864,1,0,1
39.014345171,106718,7.9071004203610915,48623,11.066514843361842,145385,1,0,1
40.01616644,108429,8.06350031120194,48884,12.229499920558116,147465,1,0,1
41.015696088,108429,8.718448460505556,48884,14.050569885033969,147465,1,0,1
42.018037908,110980,9.48725172342587,59515,15.890490139985602,160673,1,0,1
43.019093997,110980,10.127639094314059,69455,17.64214761727884,160673,1,0,1
44.01896784,112294,10.773528897864951,69455,19.417504211046793,171758,1,0,1
45.020897183,113398,11.50015650021078,76666,21.201564203766033,180217,1,0,1
46.018411963,114929,12.259628697931428,76666,22.982937730083655,181722,1,0,1
47.026559078,116754,12.976675324543,83514,24.743336800161078,190294,1,0,1
48.021899361,118377,13.623935950311838,94257,26.31385018150965,192072,1,0,1
49.021617971,120688,14.308142110701741,94257,28.05649834549049,204956,1,0,1
50.023139944,122559,15.09771573651203,106518,29.75967940272992,219124,1,0,1
51.02270952,124426,15.73129139353016,106518,31.358064389768437,221110,1,0,1
52.024735785,126445,16.42644664846369,110708,32.83051867662012,227230,1,0,1
53.027909253,128472,17.114764507926797,110708,34.57454320950927,229200,1,0,1
54.030519258,130553,17.720976975569616,112774,35.54241662510633,233331,1,0,1
55.030327161,132542,18.40655585134583,121997,37.14099722522034,244613,1,0,1
56.029376829,132542,18.43081916523234,121997,38.88891764332501,244613,1,0,1
57.030943681,132542,18.463646534143095,136221,40.88636158540403,258837,1,0,1
58.03034284,134347,19.095943027492975,144260,42.37409967848216,260581,1,0,1
59.030100402,135704,19.815388478274176,144260,44.11236692047871,269977,1,0,1
60.031217572,135704,20.462596047318165,147696,46.053733453314884,273413,1,0,1
61.034316952,136226,21.231599345675654,147696,47.750118113434475,273935,1,0,1
62.03184824,136379,21.888436686679704,151753,49.45999204482824,278203,1,0,1
63.032272634,136428,22.578116178746132,158955,51.213440417870714,285462,1,0,1
64.032200231,136443,23.42516927061871,158955,52.78191231113453,285477,1,0,1
65.034124571,136456,24.19692851518939,165018,54.76505635043316,291451,1,0,1
66.033547455,136490,24.94423498376424,171901,56.2486288863928,291485,1,0,1
67.03481186,136490,25.70037663215141,171901,57.99097827997503,298231,1,0,1
68.035940812,136490,26.271000895000558,177627,58.79404645180068,304082,2,0,2
69.036485289,136490,26.941498321234583,177627,58.88957577169909,304082,2,0,2
70.036060507,136490,27.654439135201095,179331,60.00172491205947,305793,2,0,2
71.035799969,136490,28.34001194116707,179331,61.97797027947537,305793,2,0,2
72.038098546,136490,29.000959395113185,182852,63.54911717177658,309311,2,0,2
73.041311873,136490,29.638643850171533,186110,65.27959340621868,312570,2,0,2
74.041899491,136491,30.33106544683907,186110,65.86191183361015,312571,2,0,2
75.040839178,136491,30.993374749043447,188925,66.90557442840243,315371,2,0,2
76.040846649,136536,31.678935720862814,188925,68.39244304681553,315382,2,0,2
77.042859347,140958,32.31222506461569,193460,69.8810178585726,320069,2,0,2
78.04413421,150964,32.95990696697433,193460,71.54064094926888,320102,2,1,2
79.046693621,150964,33.23592373295189,194917,73.0263965415078,321574,2,1,2
80.047905762,150964,33.23592373295189,197271,74.15871873643914,323933,2,1,2
81.049100063,150964,33.23592373295189,197271,74.86952864463325,323933,2,1,2
82.047763404,150964,33.23592373295189,204703,76.31734458641866,331365,2,1,2
83.048835948,150964,33.23592373295189,204703,77.61884993714325,331365,2,1,2
84.047789436,150964,33.23592373295189,216998,79.09599437309492,343547,2,1,2
85.047797098,150964,33.23592373295189,216998,80.83562429301489,343547,2,1,2
86.048026513,150964,33.23592373295189,227617,82.48857762045571,354265,2,1,2
87.048390461,150964,33.23592373295189,227617,83.96271609212678,354265,2,1,2
88.048740118,150964,33.23592373295189,234055,85.4657050837315,360705,2,1,2
89.048935264,150964,33.23592373295189,237848,87.09428759369774,364490,2,1,2
90.048035267,150964,33.23592373295189,237848,88.96739901521798,364490,2,1,2
91.048909572,150964,33.23592373295189,242846,90.4460615869767,369488,2,1,2
92.048111153,150964,33.23592373295189,242846,91.93599032882695,369488,2,1,2
93.04930593,150964,33.23592373295189,250181,92.73273633907068,376823,3,1,3
94.059253289,150964,33.23592373295189,250181,92.76573471663365,376823,3,1,3
95.050636193,150964,33.23592373295189,258601,93.74198451196979,385243,3,1,3
96.048891569,150964,33.23592373295189,258601,95.40291216297894,385243,3,1,3
97.050513794,150964,33.23592373295189,263838,97.13356118377936,390480,3,1,3
98.0500864,150964,33.23592373295189,265615,98.7872530426364,392257,3,1,3
99.050126627,150964,33.23592373295189,265615,100.44943479931707,392257,3,1,3
100.049007268,150964,33.23592373295189,266231,101.82790884214275,392873,3,1,3
101.050034323,150964,33.23592373295189,266231,103.25208856368438,392873,3,1,3
102.051600446,150964,33.23592373295189,268523,105.04141549164527,395165,3,1,3
103.052930086,150964,33.24549528626659,268523,106.51117005616312,395165,3,1,3
104.051223546,150964,33.25504969252144,269733,108.02904324346989,396375,3,1,3
105.050501943,150964,33.25504969252144,269873,109.72305783360798,396375,3,1,3
106.049368437,150964,33.25504969252144,269873,111.42761090759478,396515,3,1,3
107.054586733,150964,33.25504969252144,271223,112.95764648923755,397865,3,1,3
108.050708197,150964,33.25504969252144,271223,114.71819700951724,397865,3,1,3
109.050861751,150964,33.25504969252144,273900,116.45567347462473,400542,3,1,3
110.049272714,150964,33.25504969252144,273900,118.2024575255035,400542,3,1,3
111.049589955,150964,33.25504969252144,276736,119.86178628071177,403378,3,1,3
112.050221328,150964,33.25504969252144,280063,121.77267433937075,406705,3,1,3
113.050405587,150964,33.263255708626644,280063,123.26450811540165,406705,3,1,3
114.049364062,150964,33.32080243484167,282678,124.76359255031159,409320,3,1,3
115.049460629,150964,33.32080243484167,282678,126.51089703533366,409320,3,1,3
116.051616184,150964,33.32080243484167,286044,128.00449989618684,412686,3,1,3
117.05059754,150964,33.32080243484167,286044,129.5803891396614,412686,3,1,3
118.049998576,150964,33.32080243484167,289192,131.24602293931233,415834,3,1,3
119.055848304,150964,33.32080243484167,290992,132.65809517087368,417634,3,1,3
120.049637961,150964,33.41086808532748,290992,134.23642812003175,417634,3,1,3
121.053119895,150964,34.04758794155822,292641,135.73347048755818,419283,3,1,3
122.049677724,161949,34.700270788434075,292641,137.39456828572622,419321,3,1,3
123.054934157,167981,35.52399609360879,294560,138.8891107043051,421269,3,1,3
124.051354994,172321,36.44492073214613,294560,140.3817713326095,421365,3,1,3
125.049493738,172918,36.80544219913223,294830,142.13655684027688,421642,3,1,3
126.050099545,172918,36.80544219913223,294830,143.7163364096704,421642,3,1,3
127.052344538,172918,36.80544219913223,294880,145.45747149704422,421692,3,1,3
128.052173043,172918,36.80544219913223,294880,146.9950538285631,421692,3,1,3
129.049694124,172918,36.80544219913223,295515,148.47755896955337,422327,3,1,3
130.050777844,172918,36.80544219913223,295951,150.14616237181644,422327,3,1,3
131.049924847,172918,36.80544219913223,295951,151.70062369127407,422763,3,1,3
132.050770911,172918,36.80544219913223,297960,153.4182333843784,424772,3,1,3
133.05005059,172918,36.80544219913223,297960,154.9517275205878,424772,3,1,3
134.050636962,172918,36.80544219913223,301888,156.46512355829864,428700,3,1,3
135.049971999,172918,36.80544219913223,301888,157.99571625061415,428700,3,1,3
136.051234962,172918,36.80544219913223,302499,159.45615404585075,429311,3,1,3
137.050779418,172918,36.80544219913223,302499,161.16144497493997,429311,3,1,3
138.051170172,172918,36.80544219913223,304070,162.93292414978788,430882,3,1,3
139.051391468,172918,36.80544219913223,306519,164.493580254517,430882,3,1,3
140.052028051,172918,36.80544219913223,306519,165.9965938865195,433313,3,1,3
141.051499241,172918,36.80544219913223,307399,167.4952714499609,434178,3,1,3
142.051091969,172918,36.80544219913223,307399,169.00346471684196,434178,3,1,3
143.051622014,172918,36.80544219913223,307801,170.5823477088967,434573,3,1,3
144.05179823,172918,36.80544219913223,307801,172.30189958923853,434573,3,1,3
145.051155858,172918,36.93508225580717,308535,174.0274824089356,435297,3,1,3
146.052265469,173286,37.61686115431632,308535,175.48088228033737,435307,3,1,3
147.051808178,173541,38.35844412480933,309150,177.20928116272404,435905,3,1,3
148.052341769,173775,38.99056664150908,309258,178.61693949456577,435996,3,1,3
149.051176496,173986,39.67066060549443,309258,180.10365621570713,435996,3,1,3
150.050629057,173986,40.335705834264076,309429,181.7995510547335,436117,3,1,3
151.051558598,173986,41.112962689018744,309429,183.34528778626526,436117,3,1,3
152.054747939,173986,41.7944120079809,310950,185.0501669387271,436380,3,1,3
153.052641235,173986,42.458080578153535,310950,186.5484565709132,436380,3,1,3
154.05520834,173986,43.23123629999111,315942,188.20720314617895,436731,3,1,3
155.052112296,173986,43.920917794602886,315942,189.91989102778462,436731,3,1,3
156.053847843,173986,44.58733427518829,327862,191.6638595468455,436816,3,1,3
157.058247492,173986,45.28232851157935,334471,193.4319724458412,437026,3,1,3
158.055200215,173989,45.931464643245455,334471,195.24537222867028,437029,3,1,3
159.055555527,173993,46.722095466440734,341238,196.8272452084257,436883,3,1,3
160.05575513,173993,47.355666338188215,354165,197.69271112186186,436883,4,1,4
161.058455838,173995,48.0001958226108,354165,197.69647527165716,436885,4,1,4
162.057064127,174008,48.704938079165956,354165,198.46416266583446,436898,4,1,4
163.058127736,174056,49.33578515258116,364445,200.20834314699493,437021,4,1,4
164.056634842,174272,50.106213279735975,368724,201.83391107870267,437221,4,1,4
165.057959023,174659,50.73979742234611,368724,203.57412469257565,437608,4,1,4
166.056182867,174659,51.37201303035837,372701,205.4117708610747,437610,4,1,4
167.056734219,175157,52.09042537424347,372701,206.89331481945683,438235,4,1,4
168.05768166,176391,52.73630534759162,379817,208.63153360827351,439356,4,1,4
169.057444915,176942,53.373980479904766,385892,210.4447950765511,440218,4,1,4
170.056645794,177826,54.07871236480596,385892,212.19401512454093,440859,4,1,4
171.060827393,179026,54.72050327759423,389516,213.95635361158406,442091,4,1,4
172.061938565,180648,55.35408268530326,392464,215.61152950266228,443713,4,1,4
173.056716982,182549,55.99039812874839,392464,217.11063211964853,445606,4,1,4
174.058915447,184134,56.706070682900226,398900,218.8648789971661,447261,4,1,4
175.057766104,185508,57.38069908400021,398900,220.60530719599666,448614,4,1,4
176.060513125,186282,58.04163023907455,409281,221.1233078309192,449697,4,1,4
177.062213289,186282,58.68478641169244,409281,221.38071495018005,449697,4,1,4
178.058748539,186748,59.371718767472736,419859,222.99161409553108,451866,4,1,4
179.058671007,187023,60.084650693226486,425626,224.74737469892221,452001,4,1,4
180.061183348,187243,60.72917069493248,425626,226.330262383673,454070,4,1,4
181.064882135,187523,61.41885922075516,428335,227.8374382975422,455666,4,1,4
182.063052133,187742,62.093483745909865,428335,228.04679863704,455714,4,1,4
183.061963775,188038,62.92820162120406,429570,229.34416095136373,456752,4,1,4
184.060163159,188510,63.667133609980795,430784,231.10781388960174,456838,4,1,4
185.060222645,189063,64.40198015599452,430784,232.51053436096663,458039,4,1,4
186.057863968,189771,65.09302213220671,433065,234.3448523534019,460359,4,1,4
187.05913515,190896,65.77449345819358,433065,235.93243856772807,460457,4,1,4
188.058575062,192708,66.38343620915491,438171,236.31266892495233,465875,5,1,5
189.06010603,196029,66.88427748035593,444114,237.36070195544423,467541,5,1,5
190.061591441,203779,67.45789566326563,444114,238.9233871827648,477901,5,1,5
191.062209721,203779,67.74072504813955,445812,240.5500182943309,479413,5,2,5
192.062070661,217524,68.39742281756415,445812,241.88729937361347,488123,5,2,5
193.064657919,230455,69.1772813467681,447910,242.8825793528734,498826,5,2,5
194.063391191,238411,69.82167737865613,453547,243.5463581387216,504415,5,2,5
195.063103387,243547,70.45522390130643,453547,245.1364766018997,513260,5,2,5
196.063893052,247293,70.95448634511686,467948,246.86063565972293,530364,5,2,5
197.064839974,250441,71.64962791490856,467948,248.5717316523225,532799,5,2,5
198.067251126,253313,72.3995207125631,477805,250.25700315018977,544944,5,2,5
199.064823767,253313,73.09056754863734,484555,251.96476965592703,544944,5,2,5
200.066336048,255905,73.81856430277058,484555,252.9793631280559,553640,6,2,6
201.067188671,258679,74.54108896827661,496247,253.00567456873281,567515,6,2,6
202.067798287,261703,75.19108574048869,496247,253.00567456873281,569672,6,2,6
203.07032719,265513,75.82328952782305,496247,253.00567456873281,572306,6,2,6
204.070788135,270054,76.46506656799477,496247,253.00567456873281,574698,6,2,6
205.069333649,276320,77.10394731999418,496247,253.00567456873281,577124,6,2,6
206.069284158,284463,77.75203109647327,496247,253.00567456873281,579704,6,2,6
207.070339388,292079,78.47428509205247,496247,253.00567456873281,582096,6,2,6
208.073144019,297306,79.17349529012519,496247,253.00567456873281,583773,6,2,6
