Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
43.011011948,19240,0.0,5660,0.039487154873450066,24898,0,0,0
44.00927824,19240,0.0,5660,0.039487154873450066,24898,0,0,0
45.009432842,19240,0.38085144304397117,5660,0.039487154873450066,24898,0,0,0
46.010184634,48098,1.1781597358895044,5660,0.039487154873450066,52059,0,0,0
47.01027068,71599,1.916320319431624,5660,0.039487154873450066,73291,0,0,0
48.010653899,78556,2.422626518419848,5660,0.12628986244242485,79447,1,0,1
49.01209441,82563,2.8927955064663573,20058,1.2423343911794185,93473,1,0,1
50.012284535,82563,2.9948507800487048,20058,2.166962801923883,93473,1,0,1
51.012126098,86400,3.8548597549959713,20058,3.421731901635316,95612,1,0,1
52.013032892,89721,4.4869492658305274,35364,4.4460191290256805,109928,1,0,1
53.012805095,93503,5.257274511469118,35364,5.594195330640355,110545,1,0,1
54.014764303,96331,6.029045427848565,40741,6.999540025005802,115267,1,1,1
55.014458972,99832,6.692726740678614,40741,8.300034729929147,115462,1,1,1
56.015680835,105729,7.342720751358009,40741,9.848629727523832,116284,1,1,1
57.017600828,110661,8.041969940633985,46232,11.26066122707575,121919,1,1,1
58.017367157,114618,8.76996072743527,46232,12.71380951810072,122688,1,1,1
59.016567,116793,9.492479893294822,46232,13.481963585951332,123202,1,1,1
60.017084906,117954,10.061731403066272,59539,14.228814226862458,136714,1,1,1
61.01645431,118602,10.837613684526055,59539,15.141794785690928,136866,1,1,1
62.018380539,118885,11.814652951372826,59539,16.13777407053186,136950,1,1,1
63.01798847,119078,12.135305881090295,72201,17.056231189505127,149704,1,1,1
64.019885336,119078,12.135305881090295,72201,18.071129521136655,149704,1,1,1
65.01695772,119078,12.135305881090295,72201,19.478455181159095,149704,1,1,1
66.017316896,119078,12.135305881090295,76292,20.553511139711595,153794,1,1,1
67.018807639,119078,12.135305881090295,76292,22.569106862720815,153794,1,1,1
68.018933559,119078,12.135305881090295,76292,24.280006927139873,153794,1,1,1
69.021477365,119078,12.135305881090295,84866,26.093546935596798,162368,1,1,1
70.020656345,119078,12.135305881090295,84866,27.646520192753123,162368,1,1,1
71.019480609,119078,12.135305881090295,95171,29.39119527286095,172673,1,1,1
72.020635184,119078,12.135305881090295,95171,31.024199205259453,172673,1,1,1
73.023340831,119078,12.135305881090295,99897,32.41948060363931,177399,1,1,1
74.023573187,119078,12.135305881090295,99897,33.112638261253935,177399,1,1,1
75.022894291,119078,12.135305881090295,99897,34.50170772713017,177399,1,1,1
76.023426254,119078,12.135305881090295,105326,35.256392229428236,182828,1,1,1
77.024303479,119078,12.135305881090295,105326,36.557187764830076,182828,1,1,1
78.022439793,119078,12.135305881090295,105326,38.408151528561994,182828,1,1,1
79.023896156,119078,12.135305881090295,114708,39.10845233986437,192210,1,1,1
80.023716353,119078,12.135305881090295,114708,40.39363838112999,192210,1,1,1
81.024033687,119078,12.135305881090295,114708,42.13884863429349,192210,1,1,1
82.023981992,119078,12.135305881090295,120991,43.770925509703034,198493,1,1,1
83.023153338,119078,12.135305881090295,120991,46.144112871175125,198493,1,1,1
84.02479685,119078,12.135305881090295,127188,46.97177978086346,204673,2,1,2
85.026433788,119078,12.135305881090295,127188,47.68607986051387,204673,2,1,2
86.028075727,119078,12.135305881090295,136560,49.18231336735272,214000,2,1,2
87.030508699,119078,12.147806569273623,136560,50.094082567675784,214000,2,1,2
88.028857457,119195,12.853951324193453,136560,51.339056950226755,214150,2,1,2
89.030733096,119229,13.487461555028524,143643,52.25203787338709,221210,2,1,2
90.030258673,119300,14.20848393541197,143643,52.99602774448647,221241,2,1,2
91.030921118,119324,14.903635772033011,143643,54.15624429958213,221245,2,1,2
92.032308396,119329,15.623418516879818,150538,54.90161051473989,228155,2,1,2
93.031893874,119329,16.26931823495868,150538,55.81014051035208,228155,2,1,2
94.032960267,119340,16.989104837693922,150538,57.04975024329898,228166,2,1,2
95.033539342,119360,17.600743491677125,157818,58.71102898150754,235466,2,1,2
96.033711564,119369,18.26708504003448,157818,59.95533138011275,235466,2,1,2
97.03577015,119370,18.98823735881915,165223,61.36630207725592,242856,2,1,2
98.035542657,119514,19.627277460726336,165223,62.113286133914166,242871,2,1,2
99.039670571,120568,20.273160786184064,172691,63.524256725947886,250394,2,1,2
100.039527667,125315,20.981427986002995,172691,64.68623337308266,250670,2,1,2
101.040708694,136585,21.63932685786629,172691,65.9312073312637,251358,2,1,2
102.042929516,147762,22.182346749905943,179719,66.83764945645041,260093,2,1,2
103.04221703,147762,22.471979052827365,179719,67.83080212280652,260093,2,1,2
104.041445531,152388,23.17067645899989,179719,68.99251020621568,261140,2,1,2
105.041548389,154181,23.812125129380103,186371,69.98849013677781,268209,2,1,2
106.043026037,155146,24.461958124669785,186371,71.39946001560031,268357,2,1,2
107.044253659,156250,25.150259097999093,194692,72.39517380413258,276902,2,1,2
108.045383526,157461,25.815309869825587,194692,73.55199399645755,276970,2,1,2
109.044181025,158802,26.451616894671947,194692,74.54298165602381,277023,2,1,2
110.044270628,160111,27.093395406143618,208505,75.70374531902458,290862,2,1,2
111.045863653,160111,27.743380405220044,208505,76.94248891139084,290862,2,1,2
112.04613144,164103,28.645149681015518,222272,78.1348109155576,304868,2,1,2
113.045759396,164103,28.90403859246165,222272,79.76706578613606,304868,2,1,2
114.045617273,164103,29.066937096918693,227504,81.39215427400806,310039,2,1,2
115.045973481,164103,29.541940542015286,227504,82.79206512369025,310039,2,1,2
116.045827766,167326,30.295129421897443,227504,84.05388111503065,310232,3,1,3
117.046734481,176055,31.343088420720473,231901,85.07412327461245,316301,3,1,3
118.047293204,180697,32.31855351558587,231901,86.48119662847586,317646,3,1,3
119.047402239,189432,33.56164306899203,231901,87.38170381759477,323178,3,1,3
120.049761255,193687,34.45791110979706,244782,88.72247539592419,339508,3,1,3
121.049816469,197196,35.56084329513764,244782,89.65547336992289,342537,3,1,3
