Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
63.008909907,6164,0.0,5904,0.1209468366944459,12068,0,0,0
64.009644829,6164,0.0,5904,0.1209468366944459,12068,0,0,0
65.008869238,6164,0.0,5904,0.1209468366944459,12068,0,0,0
66.008426807,6164,0.0,5904,0.1209468366944459,12068,0,0,0
67.00930236,6164,0.0,5904,0.3082854797906067,12068,0,0,0
68.008269716,6164,0.0,5904,1.0735366807349025,12068,0,0,0
69.00882769,6164,0.0,5904,2.318509712941337,12068,0,0,0
70.009044537,6164,0.0,22254,3.3974881337860485,28418,0,0,0
71.009206653,6164,0.0,22254,4.400293715375174,28418,0,0,0
72.011423701,6164,0.0,22254,5.470939303533412,28418,0,0,0
73.011790192,6164,0.0,36938,6.716047570180491,43102,0,0,0
74.012753164,6164,0.0,36938,7.724065778093869,43102,0,0,0
75.010879512,6164,0.0,36938,8.826651153458592,43102,0,0,0
76.014381977,6164,0.0,42251,9.838493304946722,48415,0,0,0
77.014929339,6164,0.0,42251,10.710744874957294,48415,0,0,0
78.016571056,6164,0.0,48024,11.942433524244507,54188,0,0,0
79.016061578,6164,0.0,48024,13.021410224028049,54188,0,0,0
80.016790484,6164,0.0,48024,13.854887266577306,54188,0,0,0
81.016693713,6164,0.0,54775,14.857501180522634,60939,0,0,0
82.018350311,6164,0.0,54775,15.962312546604641,60939,0,0,0
83.01811582,6164,0.0,54775,16.975789284321667,60939,0,0,0
84.018472086,6164,0.0,61863,18.058908865920927,68027,0,0,0
85.020545562,6164,0.0,61863,19.058539412405725,68027,0,0,0
86.018521877,6164,0.0,61863,19.695269758477252,68027,0,0,0
87.020466258,6164,0.0,70364,19.75893040962935,76528,0,0,0
88.019559075,6164,0.0,70364,19.839265306433774,76528,0,0,0
89.019543834,6164,0.0,70364,19.868150670658995,76528,0,0,0
90.018910056,6164,0.0,70364,20.141614682135472,76528,0,0,0
91.021280119,6164,0.0,79365,20.995799020966743,85529,0,0,0
92.020892151,6164,0.0,79365,22.094169136798126,85529,0,0,0
93.023753085,6164,0.0,83701,23.10815593090344,89865,0,0,0
94.02201368,6164,0.0,83701,24.189392493422595,89865,0,0,0
95.021717682,6164,0.0,83701,25.185101435150287,89865,0,0,0
96.025755499,6164,0.0,88473,26.267399644732592,94637,0,0,0
97.022444268,6164,0.0,88473,27.263651240798676,94637,0,0,0
98.023401779,6164,0.0,88473,28.350918740665932,94637,0,0,0
99.023868009,6164,0.0,90215,29.357487839403376,96379,0,0,0
100.022282046,6164,0.0,90215,30.436466344850416,96379,0,0,0
101.022668563,6164,0.0,90215,31.426767895441454,96379,0,0,0
102.023805137,6164,0.0,90496,32.26331641014805,96660,0,0,0
103.023875781,6164,0.0,90496,33.31948250678784,96660,0,0,0
104.025264457,6164,0.0,92038,34.180936051530544,98202,0,0,0
105.025007241,6164,0.0,92038,35.231910604790755,98202,0,0,0
106.025581816,6164,0.0,92038,36.22573676035784,98202,0,0,0
107.026796755,6164,0.0,94456,37.055720085537004,100620,0,0,0
108.027480991,6164,0.0,94456,38.3006942221858,100620,0,0,0
109.028162209,6164,0.0,94456,39.37967211626085,100620,0,0,0
110.028914634,6164,0.0,98393,40.37565178659298,104557,0,0,0
111.028777817,6164,0.0,98393,41.63242820561194,104557,0,0,0
112.029280926,6164,0.0,98393,42.47711004240072,104557,0,0,0
113.030988447,6164,0.0,108061,43.72777726031145,114225,0,0,0
114.033062972,6164,0.0,108061,44.818728732585434,114225,0,0,0
115.033270683,6164,0.0,116912,45.827039458335534,123076,0,0,0
116.033108269,6164,0.0,116912,46.915654570540035,123076,0,0,0
117.032686558,6164,0.0,116912,47.93007531829327,123076,0,0,0
118.034746932,6164,0.0,125055,49.00514562483517,131219,0,0,0
119.032786804,6164,0.0,125055,50.01082494252571,131219,0,0,0
120.03373594,6164,0.0,125055,51.09976117714145,131219,0,0,0
121.034320539,6164,0.0,136802,52.096549666831386,142966,0,0,0
122.036598018,6164,0.0,136802,53.174188561115415,142966,0,0,0
123.034933456,6164,0.0,149119,54.1701608173817,155283,0,0,0
124.034718212,6164,0.0,149119,55.24343336715534,155283,0,0,0
125.035266511,6164,0.0,149119,56.49511498705853,155283,0,0,0
126.036690478,6164,0.0,154565,57.33137933179486,160729,0,0,0
127.036274978,6164,0.0,154565,58.57639532163215,160729,0,0,0
128.036350635,6164,0.0,154565,59.37914569001949,160729,0,0,0
129.03540214,6164,0.0,157026,60.341117988992885,163190,0,0,0
130.036668938,6164,0.0,157026,61.41291148685565,163190,0,0,0
131.035282263,6164,0.0,157026,62.230714420832264,163190,0,0,0
132.038478876,6164,0.0,163620,63.46849509865553,169784,0,0,0
133.039632905,6164,0.0,163620,64.28541979031252,169784,0,0,0
134.041256874,6164,0.0,171441,65.2813979178359,177605,0,0,0
135.041383827,6164,0.0,171441,66.11111336085558,177605,0,0,0
136.042858096,6164,0.0,171441,67.35608607240887,177605,0,0,0
137.043185941,6164,0.0,180270,68.43506688036884,186434,0,0,0
138.042540723,6164,0.0,180270,69.43104566110004,186434,0,0,0
139.043117724,6164,0.0,180270,70.67601837269962,186434,0,0,0
140.044701918,6164,0.0,188776,71.75499538515842,194940,0,0,0
141.044591715,6164,0.0,188776,72.75178144165733,194940,0,0,0
142.044264989,6164,0.0,188776,73.83075786858126,194940,0,0,0
143.044957351,6164,0.0,203332,74.82700614587407,209496,0,0,0
144.046204163,6164,0.0,203332,76.07197831840246,209496,0,0,0
145.046230161,6164,0.0,216761,77.32077077187525,222925,0,0,0
146.046869529,6164,0.0,216761,78.13541752378835,222925,0,0,0
147.0447921,6164,0.0,216761,79.19056869602773,222925,0,0,0
148.044345704,6164,0.0,223063,80.00784582530132,229227,0,0,0
149.044963752,6164,0.0,223063,81.23671192529294,229227,0,0,0
150.044973643,6164,0.0,223063,82.20988729655619,229227,0,0,0
151.047070783,6164,0.0,227361,83.27407483167835,233525,0,0,0
152.046031803,6164,0.0,227361,84.20482906504132,233525,0,0,0
