Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
56.007835613,49456,4.889939785423759,5878,0.0,54112,0,0,0
57.008119667,49456,4.889939785423759,5878,0.0,54112,0,0,0
58.007776923,49456,4.889939785423759,5878,0.0,54112,0,0,0
59.007645303,49456,4.889939785423759,5878,0.0,54112,0,0,0
60.007931171,49456,4.889939785423759,5878,0.0,54112,0,0,0
61.008810054,49456,4.889939785423759,21973,0.0,70214,0,0,0
62.009663692,49456,4.989931670274615,21973,0.0,70214,0,0,0
63.009724634,52854,6.277436591259787,21973,0.0,71809,0,0,0
64.009372475,54345,7.581436417978549,21973,0.0,72547,0,0,0
65.009498374,60163,8.848317996990643,21973,0.0,76511,0,0,0
66.014613696,68920,10.062542042111264,33904,0.0,93219,0,0,0
67.015026053,75952,11.350012988957461,33904,0.0,95451,0,0,0
68.014206385,78198,11.620892695810523,52143,0.0,114075,0,0,0
69.014640526,78198,11.620892695810523,65910,0.0,127842,0,0,0
70.015072956,78198,11.620892695810523,65910,0.0,127842,0,0,0
71.016824884,78198,11.620892695810523,70674,0.0,132605,0,0,0
72.016675132,78198,11.620892695810523,77866,0.0,139797,0,0,0
73.017034535,78198,11.620892695810523,77866,0.0,139797,0,0,0
74.018148124,78198,11.620892695810523,90690,0.0,152621,0,0,0
75.018387514,78198,11.620892695810523,90690,0.0,152621,0,0,0
76.019285155,78198,11.620892695810523,98185,0.0,152621,0,0,0
77.01962661,78198,11.620892695810523,98185,0.0,160116,0,0,0
78.024872864,78198,11.620892695810523,98185,0.0,160116,0,0,0
79.021499867,78198,11.620892695810523,101475,0.0,163406,0,0,0
80.021629535,78198,11.620892695810523,101475,0.0,163406,0,0,0
81.020013241,78198,11.620892695810523,113753,0.0,175684,0,0,0
82.022415144,78198,11.620892695810523,120809,0.0,182740,0,0,0
83.021776451,78198,11.620892695810523,120809,0.0,182740,0,0,0
84.021186845,78198,11.620892695810523,124598,0.0,186529,0,0,0
85.021555585,78198,11.620892695810523,124598,0.0,186529,0,0,0
86.023224895,78198,11.620892695810523,130255,0.0,192206,0,0,0
87.025037957,78198,11.620892695810523,137960,0.0,192206,0,0,0
88.025325915,78198,11.620892695810523,137960,0.0,199942,0,0,0
89.026517983,78198,11.620892695810523,144323,0.0,206267,0,0,0
90.025435731,78198,11.620892695810523,144323,0.0,206267,0,0,0
91.028466513,78198,11.620892695810523,150550,0.0,206267,0,0,0
92.028904077,78198,11.620892695810523,150550,0.0,212536,0,0,0
93.030567218,78198,11.620892695810523,157763,0.0,219739,0,0,0
94.03069985,78198,11.620892695810523,157763,0.0,219739,0,0,0
95.032409178,78198,11.620892695810523,164943,0.0,226891,0,0,0
96.031654486,78198,11.620892695810523,164943,0.0,226891,0,0,0
97.032762973,78198,11.620892695810523,171546,0.0,233484,0,0,0
98.033495883,78198,11.620892695810523,171546,0.0,233484,0,0,0
99.033854992,78198,11.620892695810523,178292,0.0,240243,0,0,0
