Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,with_human_knowledge
56.00624379,5665,0.02461916651939361,5878,0.0,11543,0,0,0,
57.006235621,5665,0.02461916651939361,5878,0.0,11543,0,0,0,
58.006236152,5665,0.02461916651939361,5878,0.0,11543,0,0,0,
59.006155632,5665,0.02461916651939361,5878,0.0,11543,0,0,0,
60.006446374,5665,0.02461916651939361,5878,0.0,11543,0,0,0,
61.009566979,19620,0.5286582244692111,22152,0.0,41772,0,0,0,
62.009694658,39510,1.928063536680314,22152,0.0,61662,0,0,0,
63.008789331,41981,2.6802081948289813,22152,0.0,64133,0,0,0,
64.008967829,41981,2.6802081948289813,22152,0.0,64133,0,0,0,
65.009571568,41981,2.6802081948289813,22152,0.0,64133,0,0,0,
66.010312863,41981,2.6802081948289813,34294,0.0,76275,0,0,0,
67.011367966,41981,2.6802081948289813,34294,0.0,76275,0,0,0,
68.012668612,41981,2.6802081948289813,52319,0.0,94300,0,0,0,
69.013443784,41981,2.6802081948289813,66211,0.0,108192,0,0,0,
70.013757663,41981,2.6802081948289813,66211,0.0,108192,0,0,0,
71.013396112,41981,2.6802081948289813,71094,0.0,113075,0,0,0,
72.015377824,41981,2.6802081948289813,78551,0.0,120532,0,0,0,
73.014978935,41981,2.7177071969507383,78551,0.0,120532,0,0,0,
74.017353601,44418,3.942239410701084,92089,0.0,136507,0,0,0,
75.017590998,46683,5.18120385796047,92089,0.0,138772,0,0,0,
76.019825448,49721,6.513124894171474,99567,0.0,149288,0,0,0,
77.019152425,52898,7.781149474415068,99567,0.0,152465,0,0,0,
78.020142161,54526,9.056379816492818,99567,0.0,154093,0,0,0,
79.020330394,57762,10.267461722575234,102857,0.0,160619,0,0,0,
80.021642312,60865,11.584237486455354,102857,0.0,163722,0,0,0,
81.022413229,64009,12.772566999283324,114919,0.0,178928,0,0,0,
82.022772835,65882,13.284288106005572,122335,0.0,188217,0,0,0,
83.02252531,67860,14.462572844788552,122335,0.0,190195,0,0,0,
84.022597197,72234,15.866229468526347,126124,0.0,198358,0,0,0,
85.02247811,76732,17.10430471589502,126124,0.0,202856,0,0,0,
86.02501186,80246,18.226780263613488,131746,0.0,211992,0,0,0,
87.027408894,84019,19.519731819664162,139164,0.0,215765,0,0,0,
88.027613087,87306,20.771063698170597,139164,0.0,226470,0,0,0,
89.02967466,89267,22.055952401183777,145595,0.0,234862,0,0,0,
90.029994133,92921,23.312067117060113,145595,0.0,238516,0,0,0,
91.030266738,96626,24.50847401306115,151785,0.0,242221,0,0,0,
92.034378766,100406,25.76128793338605,151785,0.0,252191,0,0,0,
93.034752039,104061,26.961673882153264,158567,0.0,262628,0,0,0,
94.035717902,108090,28.289221066095365,158567,0.0,266657,0,0,0,
95.037101291,112623,29.500381912971086,165648,0.0,278271,0,0,0,
96.036688712,117942,30.836172356413318,165648,0.0,283590,0,0,0,
97.038709832,122089,32.14940003947975,172349,0.0,294438,0,0,0,
98.040394251,125254,33.2330186910287,172349,0.0,297603,0,0,0,
99.039921288,127506,34.48309891619988,178838,0.0,306344,0,0,0,
100.04482293,130700,35.82893787894798,184155,0.0,313119,0,0,0,
101.044084036,132527,37.0479726861813,184155,0.0,316682,0,0,0,
102.044923164,136137,38.33913443864901,190193,0.0,324521,0,0,0,
103.048520633,139678,39.379609620090555,190193,0.0,328118,0,0,0,
104.046740024,142988,40.605876297505745,201420,0.0,344408,0,0,0,
105.046953358,146415,41.93029362186785,201420,0.0,346038,0,0,0,
106.048662053,150188,43.19925921293385,215756,0.0,349725,0,0,0,
107.050335292,159849,44.36513022444658,215756,0.0,368184,0,0,0,
108.050836904,166150,45.62389700909018,223808,0.0,386989,0,0,0,
109.050765414,171911,46.862762478024855,223808,0.0,392898,0,0,0,
110.051669798,176752,48.13093685052781,229989,0.0,398284,0,0,0,
111.053131551,179593,49.0997451798275,229989,0.0,406741,0,0,0,
112.052388709,183732,50.24854444628709,241634,0.0,423639,0,0,0,
113.054311138,186558,51.525246420944896,254001,0.0,426818,0,0,0,
114.053450244,189150,52.61490586104248,254001,0.0,441940,0,0,0,
115.054178495,191684,53.815376806360945,259425,0.0,450005,0,0,0,
116.056202562,193956,55.12896790948032,259425,0.0,452080,0,0,0,
117.056482977,197022,56.40296613873425,260550,0.0,456033,0,0,0,
118.054173122,198500,57.75703411532517,260550,0.0,459050,0,0,0,
119.056344006,201473,58.94525609303238,260606,0.0,460544,0,0,0,
120.056162901,203061,59.23423884623435,260606,0.0,463667,0,0,0,
121.057960161,203061,59.23423884623435,260606,0.0,463667,0,0,0,
122.053777025,203061,59.23423884623435,261217,0.0,464278,0,0,0,
123.054805279,203061,59.23423884623435,261217,0.0,464278,0,0,0,
124.056394969,203061,59.23423884623435,262985,0.0,466046,0,0,0,
125.056350197,203061,59.23423884623435,262985,0.0,466046,0,0,0,
126.058881174,203061,59.23423884623435,262985,0.0,466046,0,0,0,
127.054968721,203061,59.23423884623435,264109,0.0,467170,0,0,0,
128.054447367,203061,59.23423884623435,264344,0.0,467405,0,0,0,
129.056572178,203061,59.23423884623435,264520,0.0,467581,0,0,0,
130.05672281,203061,59.23423884623435,264520,0.0,467581,0,0,0,
131.056815999,203061,59.23423884623435,265115,0.0,468176,0,0,0,
132.056082154,203061,59.23423884623435,266542,0.0,469603,0,0,0,
133.055789618,203061,59.23423884623435,266542,0.0,469603,0,0,0,
134.059656325,203061,59.23423884623435,268170,0.0,471231,0,0,0,
135.059117022,203061,59.23423884623435,269675,0.0,471231,0,0,0,
136.056803556,203061,59.23423884623435,269675,0.0,472736,0,0,0,
137.055442317,203061,59.23423884623435,269675,0.0,472736,0,0,0,
138.055219476,203061,59.23423884623435,269675,0.0,472736,0,0,0,
139.058659156,203061,59.23423884623435,271382,0.0,474443,0,0,0,
140.057259376,203061,59.23423884623435,271382,0.0,474443,0,0,0,
141.060612805,203061,59.23423884623435,272734,0.0,475795,0,0,0,
142.055784124,203061,59.23423884623435,274050,0.0,477111,0,0,0,
143.056874165,203061,59.23423884623435,275149,0.0,478210,0,0,0,
144.057981655,203061,59.23423884623435,275149,0.0,478210,0,0,0,
145.060597429,203061,59.23423884623435,280141,0.0,483202,0,0,0,
146.057851462,203061,59.23423884623435,285423,0.0,483202,0,0,0,
147.058760271,203061,59.23423884623435,285423,0.0,488484,0,0,0,
148.053934875,203061,59.23423884623435,288606,0.0,491667,0,0,0,
149.055443445,203061,59.23423884623435,288606,0.0,491667,0,0,0,
150.054480054,203061,59.23423884623435,292023,0.0,495084,0,0,0,
151.05757726,203061,59.23423884623435,292023,0.0,495084,0,0,0,
152.057210898,203061,59.23423884623435,292023,0.0,495084,0,0,0,
153.057795194,203061,59.23423884623435,292023,0.0,495084,0,0,0,
154.058366156,203061,59.23423884623435,292023,0.0,495084,0,0,0,
155.058837949,203061,59.23423884623435,297699,0.0,500760,0,0,0,
156.059747267,203061,59.23423884623435,297699,0.0,500760,0,0,0,
157.056834841,203061,59.23423884623435,300587,0.0,500760,0,0,0,
158.05702153,203061,59.23423884623435,304058,0.0,504764,0,0,0,
159.058254499,203061,59.23423884623435,304058,0.0,507119,0,0,0,
160.05867359,203061,59.23423884623435,304582,0.0,507643,0,0,0,
161.058217242,203061,59.23423884623435,304582,0.0,507643,0,0,0,
162.05740257,203061,59.23423884623435,305168,0.0,508229,0,0,0,
163.056371193,203061,59.23423884623435,307316,0.0,510377,0,0,0,
164.056238835,203061,59.23423884623435,307316,0.0,510377,0,0,0,
165.061771346,203061,59.23423884623435,308518,0.0,511579,0,0,0,
166.058629876,203061,59.23423884623435,308518,0.0,511579,0,0,0,
167.058440997,203061,59.23423884623435,308518,0.0,511579,0,0,0,
168.0593018,204694,59.86103512578503,309585,0.0,512646,0,0,0,
169.060697619,208183,61.15498486651164,309585,0.0,516078,0,0,0,
170.061341593,210196,62.402089011669744,312518,0.0,521879,0,0,0,
171.060054673,210608,63.72067507433196,312518,0.0,523023,0,0,0,
172.065330294,210818,65.03418348484301,318429,0.0,527504,0,0,0,
173.064945958,210834,66.13901271582854,326098,0.0,530348,0,0,0,
174.065994377,210835,67.2114763030241,326098,0.0,530350,0,0,0,
175.06408675,210835,67.52179118563625,338501,0.0,534049,0,0,0,
176.067029404,210835,68.65981096312217,347765,0.0,534049,0,0,0,
177.06702362,210844,69.97740553970299,347765,0.0,535767,0,0,0,
178.066493212,210892,71.2451813929087,352464,0.0,536036,0,0,0,
179.065618976,210892,72.47790974479435,352464,0.0,536084,0,0,0,
180.065810291,210928,73.82262833364292,359212,0.0,536118,0,0,0,
181.067492074,210970,75.16274123392922,359212,0.0,536187,0,0,0,
182.067833935,211051,76.43885774999457,367932,0.0,537078,0,0,0,
183.065823261,211084,77.74012682005282,367932,0.0,537132,0,0,0,
184.065918266,211095,78.91509983650178,374810,0.0,538785,0,0,0,
185.067593682,211856,80.24859833528299,374810,0.0,538673,0,0,0,
186.066520424,212490,81.45130595959408,382541,0.0,540679,0,0,0,
187.072013452,214574,82.8300969212758,382541,0.0,542412,0,0,0,
188.070597805,217751,84.02453647274905,394825,0.0,546834,0,0,0,
189.071292432,222094,85.28256604962854,409251,0.0,554081,0,0,0,
190.070930959,226507,86.65303244836714,409251,0.0,557923,0,0,0,
191.070579805,231398,87.87849560882134,415034,0.0,565347,0,0,0,
192.068485735,234560,88.82762558289133,415034,0.0,568270,0,0,0,
193.069723329,237759,90.07252317620454,418955,0.0,575721,0,0,0,
194.071392031,242978,91.34734479417868,418955,0.0,578778,0,0,0,
195.072936886,246681,92.64789128070055,427481,0.0,583974,0,0,0,
196.071511013,249537,93.62986703860683,427481,0.0,587288,0,0,0,
197.071645564,250761,94.40298820315273,436951,0.0,592464,0,0,0,
198.074913383,253282,95.58483586581714,436951,0.0,593676,0,0,0,
199.073135757,255917,96.78498681853645,440612,0.0,598414,0,0,0,
200.073533618,258496,98.00480264942077,448197,0.0,603858,0,0,0,
201.074612274,259853,99.20775623098861,448197,0.0,606393,0,0,0,
202.075486673,262413,100.44607847559683,455282,0.0,610126,0,0,0,
203.073914726,263832,100.9706971741902,455282,0.0,611468,0,0,0,
204.076837582,265278,102.21315195035561,461022,0.0,614106,0,0,0,
205.07813669,268408,103.50654029441586,474582,0.0,617114,0,0,0,
206.075620766,271583,104.73167956370595,474582,0.0,623264,0,0,0,
207.078524189,273192,106.06546733056976,485310,0.0,630544,0,0,0,
208.073665397,273494,106.90365738170847,485310,0.0,631260,0,0,0,
209.075426349,273494,106.90365738170847,485310,0.0,631358,0,0,0,
210.074118047,273494,106.90365738170847,485310,0.0,631358,0,0,0,
211.075087103,273494,106.90365738170847,485310,0.0,631358,0,0,0,
