Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
56.009042396,38614,2.54005813598633,5878,0,44492,0,0,0,11799,12034.98
57.008555996,38614,2.65107599094316,5878,0,44492,0,0,0,11799,12034.98
58.007975807,41453,3.91800278761445,5878,0,47330,0,0,0,11799,12034.98
59.008688141,45987,5.20945538548218,5878,0,51426,0,0,0,11799,12034.98
60.008852523,50775,6.16916345872885,5878,0,54779,0,0,0,25245,25749.9
61.010022165,50775,6.16916345872885,22152,0,71088,0,0,0,61784,63019.68
62.009971499,50775,6.70572490341082,22152,0,71088,0,0,0,61784,63019.68
63.009735759,56257,7.92564637164234,22152,0,74873,0,0,0,82445,84093.9
64.011207919,59593,9.20490705522721,22152,0,77124,0,0,0,94821,96717.42
65.011774197,64732,10.3269284383487,22152,0,80033,0,0,0,98936,100914.72
66.011691013,68446,11.7473477310426,34294,0,93707,0,0,0,116550,118881
67.01222462,71463,12.9940662825497,34294,0,94361,0,0,0,120243,122647.86
68.014639093,74210,14.2041490707549,52319,0,112545,0,0,0,141672,144505.44
69.014957853,77303,15.4970915285679,66211,0,126656,0,0,0,158865,162042.3
70.015548699,78958,16.7853080139132,66211,0,126889,0,0,0,162306,165552.12
71.017070906,82057,17.987798631655,71094,0,131935,0,0,0,170512,173922.24
72.018178605,85169,19.2899507916155,78551,0,140224,0,0,0,180745,184359.9
73.0184696,88053,20.5425095095332,78551,0,140707,0,0,0,182436,186084.72
74.021385935,93053,21.7736457104457,92089,0,155116,0,0,0,198642,202614.84
75.02000323,97910,22.1077471733465,92089,0,155687,0,0,0,201924,205962.48
76.022770182,101031,22.7811783125823,99567,0,163876,0,0,0,205586,209697.72
77.023137047,101031,23.5984616768033,99567,0,163876,0,0,0,216822,221158.44
78.023584814,107064,24.5489153003714,99567,0,164327,0,0,0,220935,225353.7
79.024915227,111575,25.5773048619701,102857,0,167958,0,0,0,228329,232895.58
80.024189492,113399,26.8877004952853,102857,0,168138,0,0,0,230582,235193.64
81.023992874,115938,28.1485391703742,114919,0,180463,0,0,0,245043,249943.86
82.025432818,118127,28.9091779546999,122335,0,188030,0,0,0,256103,261225.06
83.025794869,121022,30.1913363361593,122335,0,188232,0,0,0,258990,264169.8
84.027570916,128066,31.229193798429,126124,0,192537,0,0,0,264991,270290.82
85.028130413,131622,31.229193798429,126124,0,192857,0,0,0,266145,271467.9
86.027915866,131622,31.229193798429,131746,0,198671,0,0,0,275644,281156.88
87.029781951,131622,31.2661460181426,139164,0,205776,0,0,0,282787,288442.74
88.031470901,131622,31.2661460181426,139164,0,205776,0,0,0,298176,304139.52
89.033148958,131622,31.2661460181426,145595,0,212563,0,0,0,309164,315347.28
90.03363765,131622,31.2661460181426,145595,0,212563,0,0,0,311885,318122.7
91.034224747,131622,31.2661460181426,151785,0,218710,0,0,0,313357,319624.14
92.034379691,131622,31.2661460181426,151785,0,218710,0,0,0,323363,329830.26
93.034740617,131622,31.2661460181426,158567,0,225280,0,0,0,334141,340823.82
94.034762903,131622,31.2661460181426,158567,0,225280,0,0,0,334141,340823.82
95.037590057,131622,31.2661460181426,165648,0,232460,0,0,0,343505,350375.1
96.043568214,131622,31.2661460181426,165648,0,232460,0,0,0,348224,355188.48
97.041950053,131622,31.2661460181426,172349,0,239096,0,0,0,360295,367500.9
98.039732213,131622,31.2661460181426,172349,0,239096,0,0,0,367736,375090.72
99.041866087,131622,31.2661460181426,178838,0,245537,0,0,0,384159,391842.18
100.045978336,131622,31.2661460181426,184155,0,250890,0,0,0,395035,402935.7
101.045016461,131622,31.2661460181426,184155,0,250890,0,0,0,409124,417306.48
102.047200877,131622,31.2661460181426,190193,0,256922,0,0,0,421705,430139.1
103.045924724,131622,31.3671240661607,190193,0,256922,0,0,0,424849,433345.98
104.047778401,131622,32.6197104030108,201420,0,268135,0,0,0,441009,449829.18
105.04573004,142275,33.9244166365915,201420,0,269324,0,0,0,444580,453471.6
106.049253921,150360,35.1749132676643,215756,0,270690,0,0,0,444580,453471.6
107.050611718,152748,36.3477312672566,215756,0,285767,0,0,0,461083,470304.66
108.047637633,153077,36.8338556832386,223808,0,293709,0,0,0,463453,472722.06
109.047736661,153519,38.033269057451,223808,0,293607,0,0,0,474058,483539.16
110.048525029,154764,39.2695432174448,229989,0,293953,0,0,0,475868,485385.36
111.04944821,155826,40.5023047833499,229989,0,300186,0,0,0,488153,497916.06
112.049500582,158445,41.8895981960731,241634,0,312046,0,0,0,505910,516028.2
113.04860961,161657,43.1478918382341,241634,0,312788,0,0,0,510740,520954.8
114.050722905,165357,44.458330277541,254001,0,326625,0,0,0,526644,537176.88
115.05149092,167344,45.4953050821527,259425,0,333030,0,0,0,535551,546262.02
116.050570186,175922,46.7786874718651,259425,0,336197,0,0,0,536826,547562.52
117.053217431,182603,47.9322393228546,260550,0,340568,0,0,0,537925,548683.5
118.052694131,185246,49.264640508636,260550,0,341969,0,0,0,540333,551139.66
119.050578511,185910,50.3518678979842,260606,0,342413,0,0,0,542214,553058.28
120.050663885,187030,51.6916496036484,260606,0,342949,0,0,0,543047,553907.94
121.05250386,188161,52.8632717677366,260606,0,343449,0,0,0,543258,554123.16
