Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections,merged_exploration_merged_map,with_human_knowledge
56.009042396,38614.0,2.54005813598633,5878.0,0.0,44492.0,0,0,0,11799.0,12034.98
57.008555996,38614.0,2.65107599094316,5878.0,0.0,44492.0,0,0,0,11799.0,12034.98
58.007975807,41453.0,3.91800278761445,5878.0,0.0,47330.0,0,0,0,11799.0,12034.98
59.008688141,45987.0,5.20945538548218,5878.0,0.0,51426.0,0,0,0,11799.0,12034.98
60.008852523,50775.0,6.16916345872885,5878.0,0.0,54779.0,0,0,0,25245.0,25749.9
61.010022165,50775.0,6.16916345872885,22152.0,0.0,71088.0,0,0,0,61784.0,63019.68
62.009971499,50775.0,6.70572490341082,22152.0,0.0,71088.0,0,0,0,61784.0,63019.68
63.009735759,56257.0,7.92564637164234,22152.0,0.0,74873.0,0,0,0,82445.0,84093.9
64.011207919,59593.0,9.20490705522721,22152.0,0.0,77124.0,0,0,0,94821.0,96717.42
65.011774197,64732.0,10.3269284383487,22152.0,0.0,80033.0,0,0,0,98936.0,100914.72
66.011691013,68446.0,11.7473477310426,34294.0,0.0,93707.0,0,0,0,116550.0,118881.0
67.01222462,71463.0,12.9940662825497,34294.0,0.0,94361.0,0,0,0,120243.0,122647.86
68.014639093,74210.0,14.2041490707549,52319.0,0.0,112545.0,0,0,0,141672.0,144505.44
69.014957853,77303.0,15.4970915285679,66211.0,0.0,126656.0,0,0,0,158865.0,162042.3
70.015548699,78958.0,16.7853080139132,66211.0,0.0,126889.0,0,0,0,162306.0,165552.12
71.017070906,82057.0,17.987798631655,71094.0,0.0,131935.0,0,0,0,170512.0,173922.24
72.018178605,85169.0,19.2899507916155,78551.0,0.0,140224.0,0,0,0,180745.0,184359.9
73.0184696,88053.0,20.5425095095332,78551.0,0.0,140707.0,0,0,0,182436.0,186084.72
74.021385935,93053.0,21.7736457104457,92089.0,0.0,155116.0,0,0,0,198642.0,202614.84
75.02000323,97910.0,22.1077471733465,92089.0,0.0,155687.0,0,0,0,201924.0,205962.48
76.022770182,101031.0,22.7811783125823,99567.0,0.0,163876.0,0,0,0,205586.0,209697.72
77.023137047,101031.0,23.5984616768033,99567.0,0.0,163876.0,0,0,0,216822.0,221158.44
78.023584814,107064.0,24.5489153003714,99567.0,0.0,164327.0,0,0,0,220935.0,225353.7
79.024915227,111575.0,25.5773048619701,102857.0,0.0,167958.0,0,0,0,228329.0,232895.58
80.024189492,113399.0,26.8877004952853,102857.0,0.0,168138.0,0,0,0,230582.0,235193.64
81.023992874,115938.0,28.1485391703742,114919.0,0.0,180463.0,0,0,0,245043.0,249943.86
82.025432818,118127.0,28.9091779546999,122335.0,0.0,188030.0,0,0,0,256103.0,261225.06
83.025794869,121022.0,30.1913363361593,122335.0,0.0,188232.0,0,0,0,258990.0,264169.8
84.027570916,128066.0,31.229193798429,126124.0,0.0,192537.0,0,0,0,264991.0,270290.82
85.028130413,131622.0,31.229193798429,126124.0,0.0,192857.0,0,0,0,266145.0,271467.9
