Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
20.014051028,20286,0.0,5770,0.06227625644947004,26056,0,0,0
21.013543447,20286,0.0,5770,0.06227625644947004,26056,0,0,0
22.014108652,20286,0.0,5770,0.06227625644947004,26056,0,0,0
23.013422314,20286,0.0,5770,0.06227625644947004,26056,0,0,0
24.013381056,20286,0.0,5770,0.06227625644947004,26056,0,0,0
25.013715026,20286,0.0,5770,0.06227625644947004,26056,0,0,0
26.015334489,20286,0.0,5770,0.07060732423797993,26056,0,0,0
27.013614206,20286,0.0,5770,0.0771926252807885,26056,0,0,0
28.01327902,20286,0.0,5770,0.20772226643852118,26056,0,0,0
29.013226544,20286,0.0,5770,0.2604062289485013,26056,0,0,0
30.013227295,20286,0.0,5770,0.3421907729709513,26056,0,0,0
31.016055665,62508,0.7608245353494205,5770,1.3830587576192777,68278,0,1,1
32.017343305,108635,1.6321420894234355,5770,3.1452128946806126,114405,0,1,1
33.020732534,128423,2.2536369005356702,22063,4.81020294666244,145072,0,1,1
34.019453549,139637,3.4438058962830698,36429,6.322490741011798,157326,0,1,1
35.020663685,150957,4.602386757111286,36429,8.065453393175266,166296,0,1,1
36.023010552,156240,5.750298732314925,42748,9.81472975812348,171344,0,1,1
37.023759891,158375,6.740625451798166,42748,11.517037386723361,173398,0,1,1
38.024883126,162278,7.843538650537941,48455,13.034843257073218,177235,0,1,1
39.025313715,164010,8.99162272430733,48455,14.783935658571819,178961,0,1,1
40.028348466,167835,10.161594245137096,56476,16.282504007771667,182803,0,1,1
41.027614856,169840,11.234425866132458,64247,18.13129652571886,184966,1,1,2
42.027697293,174102,12.33050948633216,64247,19.93001102907118,189225,1,1,2
43.031579876,176152,13.475864998798428,68968,21.705048046733324,191406,1,1,2
44.033012509,180220,14.587014567384157,68968,23.111904055877716,195446,1,1,2
45.032905513,182832,15.512878718610649,73331,24.83937775464517,198343,1,1,2
46.033975943,182832,15.67099832035665,80162,26.651919983755775,198323,1,1,2
47.038224625,184916,16.98405855562832,80162,28.572047402813382,200502,1,1,2
48.040457221,187745,18.30638978212819,88052,30.316358464104447,203345,1,1,2
49.03489648,188135,19.741768208056023,88052,32.0593197747789,203735,1,1,2
50.03648995,188213,21.078707970244576,96681,33.80228865101349,203926,1,1,2
51.037986435,188241,22.396469438147644,104350,35.296256622293065,204205,1,1,2
52.041830215,188264,23.755158358559033,104350,37.131955766549645,204218,1,1,2
53.040530953,188547,25.016840849064575,111715,38.86912130780676,205772,1,1,2
54.041030679,189059,26.28139176925777,111715,40.611407423033214,206179,1,1,2
55.040909901,189098,27.549993285254292,119107,42.35437795932864,209400,1,1,2
56.04508532,189101,28.85001637832891,126498,44.01434224726633,215317,1,1,2
57.042453081,189124,30.069293205205156,126498,45.93219713747816,215324,1,1,2
58.04628171,189564,31.33238883905548,134061,47.669519087694624,222590,1,1,2
59.049010266,196936,32.58513412434289,134061,49.41368692888902,223655,1,2,3
60.050997553,210759,33.68417238294451,140792,51.15543990052215,238736,1,2,3
61.057629105,229412,34.83766171659297,148679,52.64941054595656,262919,1,2,3
62.053082546,232381,36.00077713963043,148679,54.47456742308241,265833,1,2,3
63.053325188,235216,37.096495314515494,162792,56.21780115509582,282773,1,2,3
64.054820299,236599,38.12406762417212,176676,57.96331586734611,298012,1,2,3
65.05269659,239484,38.963605701976434,176676,59.706948178330215,300897,1,2,3
66.052458702,241052,39.74415653802385,184218,61.40286036390449,310144,1,2,3
67.061050995,250726,40.98406206273119,184218,63.15764901429603,319818,1,2,3
68.05764341,256944,42.16079369148295,188660,64.93736521791487,330471,1,2,3
69.058457884,259682,43.35946481412929,195441,66.78340109901427,333201,1,2,3
70.059009648,266430,44.59789659252107,195441,68.53111532578286,346635,1,2,3
71.05863659,269921,45.82126955438102,202509,70.02103086785387,357180,1,2,3
