Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
32.014261981,20286,0.0,5722,0.03392843440494126,26008,0,0,0
33.014880276,20286,0.0,5722,0.03392843440494126,26008,0,0,0
34.014722181,20286,0.0,5722,0.03392843440494126,26008,0,0,0
35.014464894,20286,0.0,5722,0.03392843440494126,26008,0,0,0
36.015752468,20286,0.0,5722,0.04842963176047951,26008,0,0,0
37.016362862,20286,0.0,5722,2.661882861507534,26008,0,0,0
38.016323702,20286,0.0,22233,5.151227640665887,42519,0,0,0
39.015841041,20286,0.0,36255,7.168071903939423,56541,0,0,0
40.022545038,20286,0.0,41960,9.262354788820273,62237,0,0,0
41.02006845,20286,0.0,41960,11.025537284514868,62237,0,0,0
42.01847822,20286,0.0,47956,12.787174403123704,67497,0,0,0
43.018649161,20286,0.0,54552,14.004648869196938,70413,0,0,0
44.02035345,20286,0.0,54552,15.100610329014941,70413,0,0,0
45.018612882,20286,0.20994816087423535,54552,15.848533295224565,70413,0,1,1
46.020873588,108194,1.4074111222632706,56889,16.833991871174486,135307,0,1,1
47.021431925,108194,1.705626040029289,56889,16.98836184286927,135307,0,1,1
48.024248928,128378,2.212305414808763,56889,17.3652520615762,149244,0,1,1
49.023087295,146459,3.2969604366316942,56889,17.70728924033641,162755,0,1,1
50.023828879,150801,4.442203923661282,56889,17.758110207141502,166294,0,1,1
51.025625101,154229,5.473955653146641,65684,17.95896258075006,171256,0,1,1
52.02871098,158309,6.57003875484337,76209,24.47197631289641,185672,0,1,1
53.028642114,159844,7.677011811461178,86237,26.451814854067415,197243,0,1,1
54.030406297,162963,8.153668391021123,86237,28.366313731823443,200302,1,1,2
55.031305681,162963,8.447632002825364,90680,28.938567780526895,204807,1,1,2
56.03315012,164714,9.590263457204914,94277,30.599022438427443,210109,1,1,2
57.037463956,164951,10.679411330652112,106382,32.36070264987562,222484,1,1,2
58.036729768,166198,11.704714443817771,106382,34.356529100031025,223662,1,1,2
59.038212448,169681,12.665129831907047,121487,36.0994914253032,242225,1,1,2
60.038330072,172477,13.762447093162773,121487,37.34433267908193,245050,1,1,2
61.038709157,177139,14.779174670393601,128754,39.53626451090894,256937,1,1,2
62.041684978,179477,15.800003416156779,128754,39.53626451090894,259300,1,1,2
63.048119515,181638,16.835864959843253,132909,42.22039345477527,265707,1,1,2
64.047638844,185882,17.853943098120094,145794,44.200119872548484,282842,1,1,2
65.048556733,188284,18.945919284895474,145794,46.45374558525302,285085,1,1,2
66.051163011,193174,19.968111237576277,161177,48.04045430133674,305348,1,1,2
67.055614203,195842,20.8815940507071,168741,50.556670774569916,315592,1,1,2
68.055438132,198301,21.652919577888042,176863,52.57146274516465,326265,1,1,2
69.05893988,203901,22.762649872343545,176863,54.3269067859739,331767,1,1,2
70.058482807,206326,23.786200392783233,189772,56.170558169725105,347231,1,1,2
71.059199772,208840,24.83850766235536,189772,57.847516042832176,349601,1,1,2
72.058892762,214101,25.91952224784993,199975,60.15412851667532,365096,1,1,2
73.067810652,216483,26.891088738520523,204048,62.33267584826943,371553,1,1,2
74.064444082,219415,27.913267813213906,211472,64.04697826654376,381988,1,1,2
75.068063577,225015,28.964208285635173,211472,65.29640661758813,387540,1,1,2
76.067133226,227781,29.97681418278583,211472,66.54539655273074,390300,1,1,2
77.07221469,236397,30.93058210279156,227110,67.54217595811816,414647,1,1,2
78.069767377,242341,31.974658752799275,227110,69.28527282212124,420447,1,1,2
79.086876942,249602,32.17215786815605,239358,71.27752555112072,440051,1,1,2
80.074868807,257808,32.96690599291357,243076,73.0314991701189,448246,1,1,2
81.082203879,265961,34.12918325597005,243076,73.49616634758522,460117,1,1,2
82.081762302,277214,35.307347735039585,243076,74.74086748667213,471345,1,1,2
83.079654359,280567,36.411627787077556,252855,78.05382814466167,484442,1,1,2
84.082735336,284262,37.57468967371856,267991,80.80128452552343,503273,1,1,2
85.081529937,285288,38.73101570727791,278800,82.21404378580874,515108,1,1,2
86.080578703,286321,39.687611764796856,284356,83.40868902966129,521288,1,1,2
87.082755916,287185,40.829530105247606,284356,84.62769884407238,522561,1,1,2
88.085064682,287771,41.574593052145914,285556,84.82774854788775,524347,1,1,2
