region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1353,0,1593,198,41554,47959,59.961547851999995,11.476310997955112
Tturn,2,0,518,193,758,0,46754,0.0,0.0
Tturn,3,513,518,753,758,0,58081,0.0,0.0
Tturn,4,2473,238,2668,478,41151,47236,27.110351562000005,5.1887724205744075
Tturn,5,1353,518,1593,758,41717,58081,31.493164060999987,6.027618665978177
Tturn,6,1073,1078,1313,1318,33463,58081,0.0,0.0
Tturn,7,233,1358,473,1598,39469,58081,0.0,0.0
Tturn,8,1913,1358,2153,1598,41318,58081,25.948242187000005,4.9663510675756894
Tturn,9,2193,1358,2433,1598,41497,58081,28.770507812000005,5.506517210572577
Tturn,10,1073,2198,1313,2438,27264,58081,0.0,0.0
Tturn,11,1633,2198,1873,2438,38967,58081,0.0,0.0
Tturn,12,233,2478,473,2672,41488,46995,0.0,0.0
Tturn,13,1633,2478,1873,2672,39174,46995,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,427062,700587,173.283813474,33.16557036265596
