Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
39.014365281,20286,0.0,5871,0.09334063784886693,26157,0,0,0
40.014315239,20286,0.0,5871,0.09334063784886693,26157,0,0,0
41.015360729,20286,0.0,5871,0.09334063784886693,26157,0,0,0
42.015924338,20286,0.0,5871,0.09334063784886693,26157,0,0,0
43.01472114,20286,0.0,5871,0.09334063784886693,26157,0,0,0
44.016143964,20286,0.0,5871,0.09334063784886693,26157,0,0,0
45.01377679,20286,0.0,5871,0.09334063784886693,26157,0,0,0
46.013698612,20286,0.0,5871,0.09334063784886693,26157,0,0,0
47.015561971,20286,0.0,5871,0.09334063784886693,26157,0,0,0
48.014086991,20286,0.0,5871,0.09334063784886693,26157,0,0,0
49.024614003,20286,0.0,5871,0.1057414496238129,26157,0,0,0
50.017891025,20286,0.0,21409,1.4656027583531168,41695,0,0,0
51.015478059,20286,0.0,21409,3.178752647120638,41695,0,0,0
52.01533764,20286,0.0,36011,4.442303497215525,56297,0,0,0
53.015551307,20286,0.0,36011,6.16565006111394,56297,0,0,0
54.025580913,20286,0.0,42995,7.945033839418303,63281,0,0,0
55.016313842,20286,0.0,42995,10.200385105994107,63281,0,0,0
56.017227078,20286,0.0,45995,12.566459108788706,66239,1,0,1
57.017899657,20286,0.0,45995,13.315721308392597,66239,1,0,1
58.02010305,20286,0.0,52854,15.062863460268172,71601,1,0,1
59.017664795,20286,0.0,60027,19.67582802945723,76563,1,0,1
60.018770473,20286,0.0,68813,21.736082699681067,81532,1,0,1
61.021266828,20286,0.0,68813,24.08958699378757,81532,1,0,1
62.021747698,20286,0.0,77356,26.230840185231862,85596,1,0,1
63.023656305,63279,0.7930524311563041,82948,28.827498370413828,111129,1,1,2
64.027612463,108322,1.890295644297783,89659,30.574603377230872,142097,1,1,2
65.028411498,142782,2.871571942263406,89659,32.597152266129065,165518,1,1,2
66.030973376,149991,3.842722501160003,95317,34.39768868988514,171470,1,1,2
67.033229723,149991,4.645640279561307,95317,35.146279456098256,171470,1,1,2
