Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
47.014306642,20286,0.0,5760,0.055115049117919895,26046,0,0,0
48.013517755,20286,0.0,5760,0.055115049117919895,26046,0,0,0
49.013955385,20286,0.0,5760,0.07991636323790088,26046,0,0,0
50.013653571,20286,0.0,5760,0.7613924910113137,26046,0,0,0
51.017509416,20286,0.0,20989,1.7526048508657401,41275,0,0,0
52.015370551,20286,0.0,20989,2.997615365463667,41275,0,0,0
53.015414677,20286,0.0,35006,4.102082432325423,55292,0,0,0
54.015503964,20286,0.0,35006,4.931550940293377,55292,0,0,0
55.015691646,20286,0.0,43125,6.595654913608229,63411,0,0,0
56.015843827,20286,0.0,43125,7.593648334881795,63411,0,0,0
57.015872279,20286,0.0,43125,8.263000132311372,63411,0,0,0
58.026084019,20286,0.0,46999,9.618906728360507,67260,0,0,0
59.01728399,20286,0.0,46999,10.802337391873722,67260,0,0,0
60.017307834,20286,0.0,46999,11.81092368782369,67260,0,0,0
61.01874479,20286,0.0,52600,13.079857481866354,71874,0,0,0
62.017865631,20286,0.0,52600,14.330510674847583,71874,0,0,0
63.018918878,20286,0.0,62214,15.409485908549389,75909,0,0,0
64.019551423,20286,0.2605623179146303,62214,16.67214826849743,75909,0,1,1
65.021387341,108345,1.4895048342228494,62214,17.917123225047696,138724,0,1,1
66.021610705,108345,1.6837655054563303,71367,18.93566926482715,138948,1,1,2
67.032306927,128100,2.315799411874195,71367,20.257890827814556,152594,1,1,2
68.026191852,146486,3.422982273166816,76765,21.358724500228977,166121,1,1,2
69.034153465,150785,4.528482527544828,76765,22.434611580126074,169655,1,1,2
70.027279041,156132,5.668346993631847,76765,23.252516747602204,174441,1,1,2
71.028719112,157819,6.782191750576947,81771,24.663489784474926,176116,1,1,2
72.028197941,160685,7.83309179338957,81771,25.908462438819505,178955,1,1,2
73.032418129,160685,8.045986942889938,89016,27.402435666953657,179076,1,1,2
74.031247771,162383,8.297335180503701,89016,28.647408321299363,180720,1,1,2
75.029596395,164093,9.533256814258358,96994,29.89238097564559,182210,1,1,2
76.032447153,165414,10.615664834446715,96994,31.13829591840447,183423,1,1,2
77.032700563,166706,11.5881652563463,104830,32.38326653369818,184736,1,1,2
78.034766531,170549,12.666363883583873,104830,33.379250590072665,188680,1,1,2
79.036561529,172932,13.717296520966492,104830,34.873215328422305,190960,1,1,2
80.03667092,177295,14.738123419997846,112379,35.87468074405176,195357,1,1,2
81.036471427,179415,15.754847402334361,112379,37.11965205563463,197477,1,1,2
82.040365716,181505,16.78251363804038,119836,38.61710596045269,200498,1,1,2
83.043682396,186016,17.885434571258912,119836,39.86221616141687,204841,1,1,2
84.04408789,188290,18.899415259312836,127030,40.85819504511961,209201,1,1,2
85.042464486,193058,19.95855159860064,127030,41.937171856551956,214114,1,1,2
86.044213833,195626,21.031351914461663,127030,42.93315453751216,216656,1,1,2
