region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1357,0,1597,213,41865,51574,78.057422876,14.797293821616275
Tturn,2,0,533,197,773,41673,47718,29.999023437000005,5.686894952502045
Tturn,3,517,533,757,773,41801,58081,38.01757812400001,7.206967039902705
Tturn,4,2477,253,2670,493,34801,46754,0.0,0.0
Tturn,5,1357,533,1597,773,41541,58081,16.50192260700004,3.12825851072813
Tturn,6,1077,1093,1317,1333,0,58081,0.0,0.0
Tturn,7,237,1373,477,1613,0,58081,0.0,0.0
Tturn,8,1917,1373,2157,1613,35134,58081,0.0,0.0
Tturn,9,2197,1373,2437,1613,37579,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,274394,494532,162.57594704400006,30.819414324749157
