region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1356,0,1596,219,41742,53020,25.547569991,4.898224865649386
Tturn,2,0,539,196,779,41640,47477,0.0,0.0
Tturn,3,516,539,756,779,41629,58081,0.0,0.0
Tturn,4,2476,259,2682,499,41856,49887,36.755859373999996,7.047185482120747
Tturn,5,1356,539,1596,779,24764,58081,0.0,0.0
Tturn,6,1076,1099,1316,1339,0,58081,0.0,0.0
Tturn,7,236,1379,476,1619,0,58081,0.0,0.0
Tturn,8,1916,1379,2156,1619,42067,58081,25.400390625,4.870006227614313
Tturn,9,2196,1379,2436,1619,42192,58081,18.610351562999995,3.5681548897400766
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,275890,498870,106.314171553,20.383571465124522
