Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
20.014547212,20286,0.0,5770,0.06227625644947004,26056,0,0,0
21.013607311,20286,0.0,5770,0.06227625644947004,26056,0,0,0
22.017141458,62260,0.6990207518663867,5770,0.06227625644947004,68030,0,1,1
23.019529929,108066,1.6643959358436504,5770,0.06227625644947004,113836,0,1,1
24.018177699,108066,1.6643959358436504,5770,0.06227625644947004,113836,0,1,1
25.018759964,128053,2.591657571420203,5770,0.06227625644947004,133823,0,1,1
26.02044249,146611,3.6257154221162686,5770,0.07060732423797993,152380,0,1,1
27.020590992,151215,4.7420845335489,5770,0.0771926252807885,156984,0,1,1
28.021144533,156138,5.619447917398221,5770,0.20772226643852118,161907,0,1,1
29.02043021,158029,6.71681395082687,5770,0.2604062289485013,163798,0,1,1
30.021169575,161733,7.740318755801492,5770,0.3421907729709513,167502,0,1,1
31.02208933,163455,8.839105437638253,5770,1.3830587576192777,169224,0,1,1
32.022430402,165676,9.873634253195947,5770,2.895913721533057,171445,0,1,1
33.026577783,169544,10.967007234932831,22063,4.810324261046514,183533,0,1,1
34.02687431,171414,11.99742734345521,36429,6.322612055395871,186142,0,1,1
35.027679601,175791,13.025113666064689,36429,8.06557470755934,190519,0,1,1
36.02885925,177908,14.074685000933556,42748,9.814851072507555,192800,0,1,1
37.028286274,180030,15.157114821022521,42748,11.517158701107435,194946,0,1,1
38.029843586,184670,16.11482751033155,48455,13.034964571457293,199496,0,1,1
39.029495766,184670,16.130328853726887,48455,14.784056972955893,199496,0,1,1
40.031635842,187203,16.664178045715435,56476,16.28267450381438,202073,0,1,1
41.03149133,189264,17.96219868252051,64247,18.131467021761573,204274,1,1,2
42.03290131,190394,19.200301208158546,64247,19.930181525113895,205404,1,1,2
43.03643824,190499,20.445576686413006,68968,21.705218542776038,205721,1,1,2
44.035696009,190551,21.741538614906162,68968,23.11207455192043,205772,1,1,2
45.034551381,190592,23.020987964901607,73331,24.839548250687884,206054,1,1,2
46.036692148,190666,24.30863968355251,80162,26.651840427704663,206081,1,1,2
47.036697908,190688,25.617951759262745,80162,28.57196784676227,206096,1,1,2
48.036397296,191345,26.830439623586084,88052,30.316278908053334,206821,1,1,2
49.038396966,191398,27.97707996486815,88052,32.05924021872779,206827,1,1,2
50.039058076,191399,29.123797211778907,96681,33.80220909496238,206998,1,1,2
51.040284369,191408,30.34718677545465,104350,35.29617706624195,207186,1,1,2
52.040435032,191436,31.560973072064,104350,37.13187621049853,207192,1,1,2
53.041278167,192062,32.745866287392516,111715,38.869041751755645,208539,1,1,2
54.043269922,200784,33.84100595212841,111715,40.6113278669821,209879,1,2,3
55.045172055,215376,34.87055986767184,119107,42.354298403277525,222706,1,2,3
56.047314375,226731,35.98287006720009,126498,44.014262691215215,238672,1,2,3
57.053301787,234964,37.017196137147145,126498,45.93211758142705,246637,1,2,3
58.050954618,236376,38.06530715825513,134061,47.66943953164351,255323,1,2,3
59.048968977,238764,39.07341711623295,134061,49.41360737283791,257711,1,2,3
60.050914035,240163,39.913860350714444,140792,51.155360344471035,265945,1,2,3
61.057032864,240163,39.913860350714444,148679,52.64933098990545,274026,1,2,3
62.056456386,241944,40.76387092179088,148679,54.4744878670313,275807,1,2,3
63.056175268,253309,41.85911237841012,162792,56.21772159904471,301285,1,2,3
64.057423662,257473,42.89359064541837,176676,57.963236311295,305448,1,2,3
65.058641013,264890,44.00059317053804,176676,59.7068686222791,326712,1,2,3
66.059418977,268812,45.11031813369832,184218,61.402780807853375,338111,1,2,3
67.057454736,273310,46.3198330874373,184218,63.157569458244915,342609,1,2,3
68.06411657,274088,47.502144318521,188660,64.93728566186377,347829,1,2,3
69.062117893,275174,48.48822437604052,195441,66.78341456897283,348915,1,2,3
70.060330949,276353,49.71101720569623,195441,68.53112879574142,356791,1,2,3
71.062078559,277435,50.98613145665839,202509,70.02104433781243,364949,1,2,3
72.065074695,281828,52.26557958564792,202509,71.7714901508845,369342,1,2,3
73.063515215,289444,53.49169651982416,207445,73.76730567465728,381860,1,2,3
74.062513342,294090,54.77247612960653,210663,75.34990334588771,389724,1,2,3
75.063812071,298861,55.11567292416904,210663,77.11014838419514,394521,1,2,3
76.067227464,301971,55.88864976374689,216890,78.85416060214973,403768,1,2,3
77.069027878,308338,56.98605641952928,216890,80.59712388848718,410119,1,2,3
78.077093149,309585,58.084884014424055,231720,82.42308594368951,426212,1,2,3
79.073808863,311331,59.107081617321796,248003,84.19120233564115,428024,1,2,3
80.076898593,311890,60.20179254387673,248003,85.93561980218342,444852,1,2,3
81.072214937,312472,61.22399770129054,254470,87.718000266752,451643,1,2,3
82.081171616,313684,62.31052200732146,254470,89.2292026952755,452868,1,2,3
83.074367629,314359,62.90575635461695,259604,91.06220548709315,458677,1,2,3
84.079365394,314359,64.00585297121971,261847,92.63821878400917,460757,1,2,3
85.080778334,316417,65.0992060414247,261847,94.32208390057839,462805,1,2,3
86.090757894,318453,66.04752964892722,264232,96.04105491485656,467485,1,2,3
87.084261159,323911,67.08472089418734,264232,97.53151678688751,472943,1,2,3
88.088291297,327377,67.94189286497253,270342,99.35410789941821,482518,1,2,3
89.086773374,335223,69.03805657720312,277155,100.84901521047959,490364,1,2,3
90.087425591,339265,70.27443168531101,277155,102.32886837875284,501273,1,2,3
91.087884979,344378,71.42106567299365,284508,103.99219086905647,513739,1,2,3
92.089401899,345744,72.66219081987926,284508,105.98574791684196,515105,1,2,3
93.09020906,347422,73.89237637718074,290368,107.72871092252099,522657,1,2,3
94.095710527,348554,75.04183393989436,297677,109.22241046987203,523241,1,2,3
95.094878248,349203,76.26906604509051,297677,111.04837190160524,531104,1,2,3
96.098507982,349863,76.40560783546056,312433,112.79066261239,547413,1,2,3
97.096367919,350829,77.46959904520584,312433,114.52754019604274,547413,1,2,3
98.109229309,351078,78.69894322701568,328809,116.25461475836855,564661,1,2,3
99.099631469,351078,78.78177289925995,328809,117.99120738003039,564669,1,2,3
100.106988693,351078,79.89909012467979,335702,119.79983631896104,571618,1,2,3
101.102594392,351080,81.09356606688505,340034,121.1903873909123,575951,1,2,3
102.098596441,351091,82.3224131850962,340034,121.58266773941132,575963,1,2,3
103.114168931,352290,83.20493996544656,342230,121.71535672573418,578239,1,2,3
104.118466916,359246,84.47364645773321,342230,121.75749894087166,581099,1,2,3
105.122981485,372221,85.71199732820367,344065,122.94132759421193,588409,1,2,3
106.135774281,389969,86.67416634055068,344065,124.43916747975447,613183,2,2,3
107.128261126,389969,86.8260066901581,351992,126.26890904663429,626990,2,2,3
108.123527917,393353,88.10791111023957,355329,127.65574701381611,629424,2,2,3
109.139950802,393639,88.41843511737184,355329,127.95066692307675,633972,2,2,3
110.129593812,393639,88.68710127714803,355329,128.0677910714857,633972,2,2,3
111.129966917,393639,88.99897356127109,355329,128.32883651032392,633972,2,2,3
112.135220674,393639,88.99897356127109,357203,129.87320491343283,635846,2,2,3
113.133777867,393972,89.94727722259209,357203,131.3489653792862,635846,2,2,3
114.131217282,394254,91.0850661946821,360011,133.09251071842894,639288,2,2,3
115.131409891,395360,92.23856819088299,360011,134.82656377559337,639807,2,2,3
116.133514608,396611,93.08228932910309,365123,136.56378500746743,645965,2,2,3
117.133637064,396611,93.08228932910309,371396,138.06020370015932,646757,2,2,3
118.130410086,398260,93.90508033556651,371396,139.80444480082167,653030,2,2,3
119.131495793,399486,95.14566131512628,377555,141.55093232906574,662064,2,2,3
120.130842469,400445,96.42099990593479,377555,143.0450740665396,662714,2,2,3
121.140367752,400559,97.647018242148,383339,144.78823815552002,668901,2,2,3
122.132454218,400559,98.72675420462686,391024,146.53140224450044,668921,2,2,3
123.132566409,400559,98.90458469417034,391024,148.27456633348086,676606,2,2,3
124.145333494,400596,100.14160896446589,405267,149.7687061638461,690854,2,2,3
125.138381268,406983,101.41195402263203,405267,151.51187025282653,690886,2,2,3
126.145104347,426163,102.63239591650334,419551,153.00601199786547,720524,2,2,3
127.138472432,435280,103.86253612584653,419551,154.67194430443183,736658,2,2,3
128.141895696,437234,104.9983057720946,425496,156.2854684434373,745799,2,2,3
129.139907809,439968,105.96916135039135,428334,157.75905150396218,749170,2,2,3
130.137829276,441274,107.18796544674035,428334,159.46536406290713,754631,2,2,3
131.141468726,444825,108.48105984334913,437516,160.93685279099907,756053,3,2,4
132.13893363,447850,108.8326289858831,437516,162.6869238701876,770389,3,2,4
133.14572918,452700,109.54965790883954,450938,164.3343657013655,783811,3,2,4
134.140858303,456089,110.57280928110225,450938,165.9573754445822,788661,3,2,4
135.146748024,457138,111.68522194590511,460788,167.36850671535922,802949,3,2,4
136.14526276,457682,112.66498661619472,465867,168.91672181351467,803347,3,2,4
137.141401866,457773,113.23998496834272,465867,170.60475683759452,808572,3,2,4
138.159479373,457983,114.12775558071344,475084,172.07697322912932,808663,3,2,4
139.142680998,460102,115.32569268630358,475084,173.81758028818135,818775,3,2,4
140.16724187,461326,116.64448783392426,484563,175.31755911469892,829688,3,2,4
141.143515271,467704,117.87194747677671,484563,176.8755777173449,833105,3,2,4
142.145354859,487522,119.1661017283789,491582,178.44710404637468,852984,3,2,4
143.156343781,500562,119.9786467537769,493760,180.13193808936316,877147,3,2,4
144.149566835,508097,120.84279362874811,493760,181.78263229418812,886840,3,2,4
145.156197248,513334,121.33971884231174,495507,183.28258294729383,892100,3,2,4
146.149056614,513334,121.33971884231174,495507,184.94273943179098,893847,3,2,4
147.152271064,513334,121.33971884231174,495886,186.9559647383529,894226,3,2,4
148.149269856,513334,121.33971884231174,495886,188.48155178373702,894226,3,2,4
149.152978692,513334,121.33971884231174,496042,190.36652638334513,894341,3,2,4
150.151153457,513334,121.33971884231174,496601,191.8606678973529,894900,3,2,4
151.148208384,513334,121.33971884231174,496601,193.60383227333145,894900,3,2,4
152.15686923,513334,121.33971884231174,496706,195.39299301806275,895005,3,2,4
153.162893922,513334,121.33971884231174,496706,197.1726097147989,895005,3,2,4
154.147604889,513334,121.5189601295052,496946,198.76405465964348,895245,3,2,4
155.165227743,516472,122.5553995206518,497186,200.52263024142454,895245,3,2,4
156.149063738,518603,123.31917623160042,497186,202.2675067854509,900766,3,2,4
157.167863075,521828,124.4273748929004,497587,204.02731475894927,902360,3,2,4
158.149226917,523295,125.58231339359553,497587,205.777522225841,905863,3,2,4
159.16585092,526617,126.23151617467877,497918,207.36015096736304,907872,3,2,4
160.151928628,528858,127.24472326464036,498711,209.10492045357665,911828,3,2,4
161.158840497,532877,128.29425472125624,498711,210.84902480009285,914600,3,2,4
162.150116526,535107,128.83661779543115,499605,212.59697953874607,917425,3,2,4
163.159266226,536540,130.02350991624925,499605,214.3401428397163,921117,3,2,4
164.161239147,540038,131.085359181334,500173,215.92010894098985,923434,3,2,4
165.156412482,541145,132.14335516052813,500953,217.9122965393234,926270,3,2,4
166.153279457,542814,133.3620911411419,500953,219.65546163056868,927888,3,2,4
167.160470378,543975,134.59067343269228,502027,221.3984901186664,929295,3,2,4
168.153553075,544554,134.90254105624433,502027,223.05905011853383,931517,3,2,4
169.160787506,544554,135.57502817291297,503423,224.71920656459227,932913,3,3,5
170.160352948,545961,136.8090788222171,505714,226.4623721537473,933724,3,3,5
171.157462712,546266,138.02826122594684,505714,227.95152099536827,936828,3,3,5
172.166497228,546304,139.26804673648044,509015,229.69468782359695,936954,3,3,5
173.154628686,546319,140.4229925330027,509015,231.52085767588446,940413,3,3,5
174.166593063,546328,141.6518292178349,514559,233.26157089719567,945882,3,3,5
175.168650876,546329,142.85055404759322,521395,234.67270360919335,945886,3,3,5
176.166810337,546334,144.0711604654327,521395,236.4988771504227,952804,3,3,5
177.164100272,546416,145.29584623280394,530484,238.24204176485475,952824,3,3,5
178.180015663,546490,146.5301182720815,530484,239.98223835683584,961960,3,3,5
179.167538789,547026,147.75072192871818,543643,241.47691534360985,975193,3,3,5
180.173702575,548041,148.95356045790714,543643,243.05460143249155,976254,3,3,5
181.166735523,548647,150.18099379585638,555960,244.7910257576543,989061,3,3,5
182.179188336,550563,151.41391536516554,561166,246.53475712896184,990597,3,3,5
183.168984604,551356,152.52094408405245,561166,248.0459734688634,997616,3,3,5
184.170983527,552166,153.72102678515327,561349,249.77042147088846,998127,3,3,5
185.169129101,552474,155.01688280154391,561349,251.6029887637962,998789,3,3,5
186.169126883,552610,156.16496737594508,561379,253.1078665206847,998947,3,3,5
187.16973362,552840,157.44851764715472,561754,254.86346187273898,999251,3,3,5
188.16994538,553230,158.67457527731852,561754,256.77411527218106,999688,3,3,5
189.170602581,553596,159.7243947027889,562483,258.52643076357583,1000807,3,3,5
190.170907828,554153,159.88988928711908,562483,260.2646847522827,1001730,3,3,5
191.173852158,554881,161.12961996165336,562676,261.7658881951964,1001923,3,3,5
192.171534154,560663,162.41318366933314,562702,263.592061647955,1003966,3,3,5
193.169792721,587086,163.71861678228672,562702,265.33522608927467,1008459,3,3,5
194.191679767,596098,164.24808465349219,562775,267.0783868869735,1043894,3,3,5
195.167335932,596098,164.68313273664762,562775,268.75481696965386,1043967,3,3,5
196.179774515,600438,165.79600540891022,563021,270.39836124567165,1044213,3,3,5
197.17652001,604410,166.9514492982475,563021,272.1340744389235,1051180,3,3,5
198.173824814,604411,168.03085572337858,563917,273.8407391965235,1053421,3,3,5
199.17628516,604420,169.0653756106061,564586,275.41788709150717,1053431,3,3,5
200.16848889,604420,170.15737714423074,564586,277.14685802153355,1054100,3,3,5
201.175615343,604420,171.1713817374632,565069,278.8874659056,1054100,3,3,5
202.170991251,604420,172.27570398042334,565069,280.3763350891478,1054583,3,3,5
203.174747317,604420,173.3827328425928,565755,282.12257421512385,1055269,3,3,5
204.17403958,604420,174.41175515836474,567820,283.6909018250724,1055269,3,3,5
205.167780118,604420,175.37647401356315,567820,285.4340652994397,1057334,3,3,5
206.178306596,604420,176.40139806741408,569635,287.177229090632,1057334,3,3,5
207.169254525,604421,177.49884941326783,569635,288.670026343859,1059149,3,3,5
208.168594336,604427,178.56482965308945,570986,290.4131900482074,1060501,3,3,5
209.174115235,604433,179.662284425229,570986,292.23936180568734,1060507,3,3,5
210.171825531,604436,180.76513966901553,572406,293.78187280025674,1061933,3,3,5
211.168618238,604440,181.8625925256313,575909,295.55692102579917,1061939,3,3,5
212.168890123,604440,183.007948391669,575909,297.2093094952134,1065443,3,3,5
213.173125904,604440,184.10813632814347,579135,298.68585423980636,1065443,3,3,5
214.192630717,604440,185.2657931773848,579135,300.48689281718754,1068669,3,3,5
215.171079244,604440,186.16782557993815,583123,301.9954662301783,1072657,3,3,5
216.180339732,604440,186.16782557993815,587462,303.7411753213295,1072657,3,3,5
217.169152044,604440,186.16782557993815,587462,305.4843397768368,1076996,3,3,5
218.192196734,604440,186.16782557993815,592399,306.9784814391249,1076996,3,3,5
219.171245219,604440,186.16782557993815,592399,308.80465202178965,1081933,3,3,5
220.177044013,604440,186.16782557993815,598720,310.302539573538,1088254,3,3,5
221.172513005,604440,186.16782557993815,598720,312.0457048349134,1088254,3,3,5
222.175747472,604440,186.16782557993815,606935,313.7888663145607,1096469,3,3,5
223.170623836,604440,186.16782557993815,621348,315.2962374176598,1096469,3,3,5
224.173537735,604440,186.16782557993815,621348,317.19903177753076,1110882,3,3,5
225.182378632,604440,186.16782557993815,635418,318.691551222852,1124952,3,3,5
226.188865354,604440,186.16782557993815,635418,320.18569155201027,1124952,3,3,5
227.175704751,604440,186.16782557993815,642798,322.0714636187958,1132332,3,3,5
228.179020391,604440,186.20532613486455,646971,323.84127804701876,1132332,3,3,5
229.171036109,604442,187.3055085877107,646971,325.6195683892295,1136505,3,3,5
230.177279638,604442,188.4631679555669,658409,327.2853422787168,1136507,3,3,5
231.173765736,604442,189.55519009486923,658409,328.69647539155983,1147945,3,3,5
