region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells,robot_time_inside_s,robot_time_inside_pct
Tturn,1,1352,0,1592,222,41894,53743,62.76737880899999,11.892033757371532
Tturn,2,0,542,192,782,0,46513,0.0,0.0
Tturn,3,512,542,752,782,0,58081,0.0,0.0
Tturn,4,2472,262,2674,502,41371,48923,0.0,0.0
Tturn,5,1352,542,1592,782,41785,58081,35.84277343700002,6.790843902653242
Tturn,6,1072,1102,1312,1342,41555,58081,45.8203125,8.681208509302637
Tturn,7,232,1382,472,1622,41632,58081,20.32031250099999,3.8499272521410646
Tturn,8,1912,1382,2152,1622,2975,58081,0.0,0.0
Tturn,9,2192,1382,2432,1622,35598,58081,0.0,0.0
Tturn,10,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,11,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,12,-1,-1,-1,-1,0,0,0.0,0.0
Tturn,13,-1,-1,-1,-1,0,0,0.0,0.0
ALL_BOXES,0,-1,-1,-1,-1,246810,497665,164.750777247,31.21401342146848
