Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
31.013350978,20286,0.0,5884,0.07011900961213759,26170,0,0,0
32.013738788,20286,0.0,5884,0.07011900961213759,26170,0,0,0
33.014299639,20286,0.6423286759120421,5884,0.07011900961213759,26170,0,1,1
34.01761469,107686,1.6645619429422431,5884,0.07011900961213759,113434,0,1,1
35.017915742,107686,1.6645619429422431,5884,0.08462076527784718,113434,0,1,1
36.018120927,107686,1.6645619429422431,5884,0.144307375890995,113434,0,1,1
37.017681784,107686,1.8715710259726501,5884,0.1887352915787699,113434,0,1,1
38.020415802,129263,2.9521879255925976,21047,1.4323115436627516,146545,0,1,1
39.019523093,140779,4.005439793551588,21047,3.1753261314163232,157498,0,1,1
40.021203152,151244,5.083707910009567,36269,5.167340731163901,169474,0,1,1
41.028255004,153605,6.1305257582405535,43699,6.828824710541921,171767,0,1,1
42.023136619,155720,7.076093748677554,43699,8.57210471084612,173696,0,1,1
43.024168055,159516,8.044919511722682,46364,10.109993075774893,177474,0,1,1
44.023974188,161586,8.790587004743243,46364,11.89421934660322,179566,0,1,1
45.025507787,163775,9.578728645537355,49944,13.646807741448614,181864,0,1,1
46.026889825,166681,10.868754409103438,49944,15.14117758775862,184765,0,1,1
47.02498445,167163,12.174207702665813,54305,17.150543139529155,185159,0,1,1
48.026568119,167567,13.411903583977596,61957,18.67025419167534,185624,0,1,1
49.02631907,167582,14.60775464455804,61957,20.44018316244547,185625,0,1,1
50.028222484,167584,15.83935040411297,71150,22.21175747739116,185511,0,1,1
51.031044834,167593,17.066823519975273,78238,23.9827578151375,185964,0,1,1
52.029378296,167679,18.290120292284517,78238,25.731347331731858,185980,0,1,1
53.0287816,168269,19.44232883210057,84364,27.486983721989812,185966,0,1,1
54.034193173,175867,20.584659457898,84364,29.237624406162823,186542,0,2,2
55.033544612,189723,20.99619020848164,87443,30.991530989881063,193052,0,2,2
56.038679385,201194,21.55677219928896,89695,32.73287447803039,202694,0,2,2
57.035976053,206990,22.54929583501281,89695,34.47788918488224,208153,0,2,2
58.036722114,207639,23.695814053515477,90719,36.236559893761985,208776,0,2,2
59.037191247,207639,24.91918019135874,90719,37.419683929427144,208776,0,2,2
60.039402933,207639,26.104204428442294,93503,37.82149361235826,208942,0,2,2
61.038163727,207639,27.275534072649396,99929,39.112632188202504,209664,0,2,2
62.037931714,207639,28.47423807787348,99929,40.530817763420735,209664,0,2,2
63.03934354,207773,29.529707442003325,106526,42.02799203096993,213087,0,2,2
64.039364107,207876,30.551421909012017,106526,43.61259773220121,213140,0,2,2
65.043646837,208249,31.565358420414174,112151,45.3674388498717,217374,0,2,2
66.044841991,209178,32.66418789751359,119037,47.03384041603999,223341,0,2,2
67.044939707,210158,33.6932282805225,119037,48.801585032643985,223651,0,2,2
68.04732045,212019,34.71268909006348,126935,50.239332057781844,231526,0,2,2
69.046909875,213367,35.76498947837777,126935,52.01715106518437,231813,0,2,2
70.049051424,216988,36.83780446765219,130617,53.28819256263123,235992,0,2,2
71.046691491,218971,37.88462038658803,130617,53.477322471511805,236574,0,2,2
72.04856566,221025,38.95606780694781,141752,54.11224781432592,248361,0,2,2
73.052689587,225347,40.00288376856947,155501,55.85094546325076,263695,0,2,2
74.048524329,227404,41.02096622471395,155501,57.60256011473806,264652,0,2,2
75.05400764,231889,42.03905297453597,163189,59.34927454545768,274977,0,2,2
76.049492031,234031,42.874784837629264,166262,61.09491303292191,279541,0,2,2
77.051299992,234031,43.09328213910946,166262,62.82006989618344,279541,0,2,2
78.05437463,238627,44.11821859885625,168821,64.50221670717254,285779,0,2,2
79.056217018,240896,45.143142406101205,168821,66.2073454457446,287456,0,2,2
80.065638806,242821,46.22965273418714,176178,67.94668179839549,296425,0,2,2
81.059394037,247247,47.33394167042837,184300,69.68040721323926,300284,0,2,2
82.057876027,249740,48.35475971459073,184300,71.2567025849432,310773,0,2,2
83.060101517,255019,49.44536075582538,190923,72.91974827618857,321125,0,2,2
84.061306014,258476,50.47438448738795,190923,74.91170633190418,323191,0,2,2
85.06554163,272352,51.57104382038959,198705,76.5716732563439,336708,0,2,2
86.064464656,288177,52.735887808187044,212451,78.31463702883981,353199,0,2,2
87.066008625,300931,53.24188651185594,212451,80.30713345965259,355647,0,2,2
88.066018118,300931,53.4686213883821,226091,82.05357462960652,369150,0,2,2
89.065880317,310762,54.6562837019149,232791,83.79828597618337,371609,0,2,2
90.068619436,313244,55.75922819804409,232791,85.541249870529,378973,0,2,2
91.065880875,313244,55.76879171712642,234988,87.51120534579846,381170,0,2,2
92.073523304,313244,56.10368931718412,238173,89.17346743862117,381170,0,2,2
93.068412611,314541,57.1967987373313,238173,90.90203717741336,384762,0,2,2
94.068490488,316021,58.34746773061725,244687,92.63918818395085,392112,0,2,2
95.078718157,316702,59.520038186427165,244687,94.53839331600074,392747,0,2,2
96.066186612,318180,60.77287378323459,250101,94.92073219477732,399553,1,2,3
97.069288444,318350,61.99736910885544,250101,94.93967786318929,399693,1,2,3
98.067356881,318396,63.269964604606734,250101,95.02471169758795,399729,1,2,3
99.072214677,318401,64.50015597498754,250101,95.08688319434799,399734,1,2,3
100.066038359,318420,65.77391105821219,250101,95.12302869130683,399742,1,2,3
101.069413812,318423,67.05045303123536,250101,95.13848617061274,399744,1,2,3
102.066873457,318423,68.36686532342866,250101,95.15783561433236,399744,1,2,3
103.069032513,318424,69.56697046107439,250101,95.21755779483343,399745,1,2,3
104.06798013,318437,70.87378400495722,250101,95.27543940303993,399758,1,2,3
105.0679223,318442,72.10260258519273,250101,95.31705822081501,399763,1,2,3
106.068738538,318451,73.39299259262495,250101,95.37991063689442,399772,1,2,3
107.068015718,318468,74.66560433807004,250101,95.42975425609744,399789,1,2,3
108.066729439,318510,75.94505409655007,250101,95.45889534168168,399831,1,2,3
109.066078711,318510,77.2587288797272,250101,95.469246108977,399831,1,2,3
110.076501022,318553,78.48894045267464,250101,95.90980162898335,399874,1,2,3
111.06988938,318573,79.6329395728898,259015,97.59272970221937,408874,1,2,3
112.068403558,318579,80.73578751717943,261947,99.3445291160904,411655,1,2,3
113.069293437,318579,80.95894523114926,261947,101.10167910597349,411655,1,2,3
114.070540553,318604,82.23463786464406,265947,102.60383125901107,415600,1,2,3
115.071419979,318604,83.45084867207909,265947,104.59829900882536,415600,1,2,3
116.072332744,318606,84.679584160131,271612,106.18027501513205,421925,1,2,3
117.074121113,318617,85.8234953897491,279617,107.92530795932741,421927,1,2,3
