region,box_index,x_min,y_min,x_max,y_max,explored_cells,total_cells
Tturn,1,1356,0,1596,219,41865,53020
Tturn,2,0,539,196,779,41640,47477
Tturn,3,516,539,756,779,41629,58081
Tturn,4,2476,259,2682,499,40839,49887
Tturn,5,1356,539,1596,779,41665,58081
Tturn,6,1076,1099,1316,1339,41546,58081
Tturn,7,236,1379,476,1619,0,58081
Tturn,8,1916,1379,2156,1619,41799,58081
Tturn,9,2196,1379,2436,1619,42012,58081
Tturn,10,-1,-1,-1,-1,0,0
Tturn,11,-1,-1,-1,-1,0,0
Tturn,12,-1,-1,-1,-1,0,0
Tturn,13,-1,-1,-1,-1,0,0
