Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
23.013834836,20286,0.0,5770,0.06227625644947004,26056,0,0,0
24.015614816,20286,0.0,5770,0.06227625644947004,26056,0,0,0
25.01429318,20286,0.0,5770,0.06227625644947004,26056,0,0,0
26.013507756,20286,0.0,5770,0.07060732423797993,26056,0,0,0
27.013808606,20286,0.0,5770,0.0771926252807885,26056,0,0,0
28.01756119,20286,0.0,5770,0.20772226643852118,26056,0,0,0
29.014486433,20286,0.0,5770,0.2604062289485013,26056,0,0,0
30.013763657,20286,0.0,5770,0.3421907729709513,26056,0,0,0
31.014204473,20286,0.0,5770,1.3830587576192777,26056,0,0,0
32.014152529,20286,0.0,5770,2.895913721533057,26056,0,0,0
33.016023441,20286,0.0,22063,4.810324261100637,42349,0,0,0
34.015744991,20286,0.0,36429,6.322612055449994,56715,0,0,0
35.016581243,20286,0.0,36429,8.065574707613463,56715,0,0,0
36.016835387,20286,0.0,42748,9.814851072561677,63026,0,0,0
37.017154487,20286,0.0,42748,11.517158701161557,63026,0,0,0
38.017487979,20286,0.0,48455,13.034964571511415,68115,0,0,0
39.019142051,20286,0.0,48455,14.784056973010015,68115,0,0,0
40.017939121,20286,0.0,56476,16.282674503868503,71995,0,0,0
41.021742154,20286,0.0,64247,18.131467021815695,75197,1,0,1
42.024007023,20286,0.0,64247,19.930181525168017,75197,1,0,1
43.021878141,20286,0.5993229866934007,68968,21.70521854283016,78855,1,1,2
44.025151368,110267,1.7031925793032592,68968,23.11207455197455,138076,1,1,2
45.027710006,131279,2.7101845021899647,73331,24.839548250742006,153435,1,1,2
46.029219692,149710,3.867038212291196,80162,26.651840427758785,167696,1,1,2
47.030194599,153954,4.51939509533542,80162,28.571967846816392,171038,1,1,2
48.030298607,156578,5.546126340412618,88052,30.06728556870974,173378,1,1,2
49.031462288,159653,6.52163026260876,88052,31.81024687938419,176225,1,1,2
