Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
20.013360573,20286,0.0,5770,0.06227518461894574,26056,0,0,0
21.01360199,20286,0.0,5770,0.06227518461894574,26056,0,0,0
22.013240155,20286,0.0,5770,0.06227518461894574,26056,0,0,0
23.014377114,20286,0.0,5770,0.06227518461894574,26056,0,0,0
24.013390286,20286,0.0,5770,0.06227518461894574,26056,0,0,0
25.014574159,20286,0.0,5770,0.06227518461894574,26056,0,0,0
26.013984153,20286,0.0,5770,0.07060625240745563,26056,0,0,0
27.013653792,20286,0.0,5770,0.07719155345026421,26056,0,0,0
28.014054141,20286,0.0,5770,0.2077211946079969,26056,0,0,0
29.014095695,20286,0.0,5770,0.260405157117977,26056,0,0,0
30.013783096,20286,0.0,5770,0.34221800473541847,26056,0,0,0
31.013740569,20286,0.0,5770,1.3830860724298177,26056,0,0,0
32.014250531,20286,0.0,5770,2.895941036343597,26056,0,0,0
33.014562351,20286,0.0,22063,4.810351575911176,42349,0,0,0
34.015434806,20286,0.0,36429,6.322985757965266,56715,0,0,0
35.016408434,20286,0.0,36429,8.065948410128735,56715,0,0,0
36.017098717,20286,0.0,42748,9.815224775076949,63026,0,0,0
37.018047969,20286,0.0,42748,11.26735877565724,63026,0,0,0
38.016943549,20286,0.0,48455,13.035267855099898,68115,0,0,0
39.020942824,20286,0.0,48455,14.784360256599255,68115,0,0,0
40.019290369,20286,0.0,56476,16.282977787457742,71995,0,1,1
41.025108353,62176,0.9893070840740744,64247,18.131770305404935,102447,1,1,2
42.022153337,108265,1.6166397461004358,64247,19.68148638672336,135884,1,1,2
43.024166177,108265,1.6166397461004358,68968,21.705521826415893,136145,1,1,2
44.02552976,139926,2.6165158670286,68968,23.112600851187203,158286,1,1,2
45.026006155,146881,3.7680491894629706,73331,24.840074549954657,163856,1,1,2
46.030480352,154063,4.918871464355173,80162,26.65236672697299,169849,1,1,2
47.027530651,156401,5.909956842632669,80162,28.572494146030596,171991,1,1,2
