Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
22.013434636,20286,0.0,5770,0.06227625644947004,26056,0,0,0
23.013182268,20286,0.0,5770,0.06227625644947004,26056,0,0,0
24.013800102,20286,0.0,5770,0.06227625644947004,26056,0,0,0
25.015040668,20286,0.0,5770,0.06227625644947004,26056,0,1,1
26.015472322,62182,1.132870944019572,5770,0.07195131224813683,67952,0,1,1
27.018089356,107819,1.6851012304151465,5770,0.0771926252807885,113589,0,1,1
28.017241086,107819,1.6851012304151465,5770,0.21645399119639003,113589,0,1,1
29.01839895,107819,2.264024651685887,5770,0.2786579079348837,113589,0,1,1
30.018329209,127269,3.5418865086518503,5770,0.46117720176019045,133038,0,1,1
31.019018936,144310,4.77067087438125,5770,1.6358200322353986,150079,0,1,1
32.02002958,150503,5.951611620775763,5770,3.399382062610245,156177,0,1,1
33.020862383,152592,7.237944737936961,22063,5.05948166559961,167557,0,1,1
34.022460142,156742,8.52427785509841,36429,6.820628867050564,173229,0,1,1
35.022968238,161121,9.80520512355837,36429,8.56359484547987,177581,0,1,1
36.023797927,163020,11.109372776283093,42748,10.260914225422159,179707,0,1,1
37.024845906,167265,12.340579007296151,42748,11.776408174086663,183917,0,1,1
38.025630967,171356,13.624219055328279,48455,13.28398846028184,187895,0,1,1
39.027406284,175587,14.978946454712148,48455,15.03536088737845,192227,0,1,1
40.028017036,177864,16.266607565166726,56476,16.780695346164062,194593,0,1,1
41.028333562,181808,17.63501828566319,64247,18.385399486217512,198598,1,1,2
42.029623386,186129,18.85973484418883,64247,20.179202125451873,202964,1,1,2
43.031791242,190050,20.211784625674927,68968,21.949268289797104,207068,1,1,2
44.032644943,192230,21.53728757367942,68968,23.609151313200844,209223,1,1,2
45.033470077,196654,22.94405236227752,73331,25.420561918866255,213911,1,1,2
46.035715517,200626,24.29602420625599,80162,27.15187811879787,217872,1,1,2
47.039505789,204956,25.648102769521238,80162,28.82112950723238,222176,1,1,2
48.037493126,209729,26.98509456892119,88052,30.56530067421012,227035,1,1,2
49.037868179,214796,28.33981089071818,88052,32.30826955044561,232065,1,1,2
50.038830209,217061,29.77669583071184,96890,34.05123086112006,234359,1,1,2
51.039236509,220733,31.102729256315314,96890,35.545198709291334,238031,1,1,2
52.042406028,222703,32.41976320599036,104921,37.379997709704874,240033,1,1,2
53.040063668,224443,33.76585899303771,112477,39.11728819955765,241808,1,1,2
54.03959815,225930,35.0397402688982,112477,40.860251094868005,243295,1,1,2
55.041270684,228268,36.47800501617844,120088,42.60322163116343,245699,1,1,2
56.041972115,230182,37.825940721158354,120088,44.2631859191013,247608,1,1,2
57.041379969,235765,39.102720219525025,127805,46.18049974189077,253232,1,1,2
58.044424627,243467,40.45472259596278,135250,47.91836207579256,260825,1,1,2
59.04286482,251354,41.569671802773044,135250,49.66239684684625,268839,1,1,2
60.044002539,251354,41.569671802773044,142889,51.40428303423132,268913,1,1,2
61.045631574,251354,41.569671802773044,142889,53.147113887386475,268913,1,1,2
62.044215885,251354,41.569671802773044,152216,54.97240681196482,268901,1,1,2
63.043762899,251354,41.569671802773044,152216,56.217649168335235,268901,1,1,2
64.043535056,251354,41.569671802773044,166902,58.21282778651009,269045,1,1,2
65.045115641,251354,41.569671802773044,178830,59.9557915553325,269152,1,1,2
66.046289955,251354,41.569671802773044,178830,61.90096340713281,269152,1,1,2
67.044973277,251354,41.569671802773044,184156,63.415066649002156,269153,1,1,2
68.045348682,251354,41.569671802773044,184156,65.18875812007258,269153,1,1,2
69.047468343,251354,41.569671802773044,190044,67.03233695028946,269253,1,1,2
70.049584105,251354,41.569671802773044,199158,68.78045326424865,270377,1,1,2
71.048468445,251354,41.569671802773044,199158,70.51896005220067,270377,1,1,2
72.049001312,251354,41.569671802773044,203636,72.2732646701336,271996,1,1,2
73.048296881,251354,41.569671802773044,203636,74.0992262304752,271996,1,1,2
74.050296671,251354,41.569671802773044,206697,75.8608236623706,274209,1,1,2
75.053158432,251354,41.569671802773044,206697,77.35906759913978,274209,1,1,2
76.056227603,251354,41.569671802773044,213275,79.3520754292533,278945,1,1,2
77.057355487,251354,41.569671802773044,227715,81.09504055789542,293304,1,1,2
78.05953745,251354,41.569671802773044,227715,82.67254613793993,293304,1,1,2
79.059063345,251354,41.569671802773044,243690,84.43998910199713,309561,1,1,2
80.05714849,251354,41.569671802773044,243690,86.18923665037077,309561,1,1,2
81.057822717,251354,41.569671802773044,250703,87.96633823961777,316574,1,1,2
82.057352876,251354,41.569671802773044,250703,89.7349186333247,316574,1,1,2
83.059582767,251354,41.569671802773044,256026,91.26977829069537,321897,1,1,2
84.065316476,251354,41.569671802773044,258167,92.87779861973638,324027,1,1,2
85.063826411,251354,41.569671802773044,258167,94.56961138956416,324027,1,1,2
86.066093922,251354,42.10405257864131,260844,96.28939005251584,326701,1,1,2
87.068666624,253786,43.268870674911675,260844,97.7798532752774,327834,1,1,2
88.067180081,256592,44.49333509078976,268118,99.6033830641905,336124,1,1,2
89.072459503,259242,45.64552986161687,268118,101.34146824820169,336398,1,1,2
90.073511966,261078,46.870217165384396,274914,102.82620074168261,344038,1,1,2
91.069503851,264971,48.14009366177497,274914,104.48952217489487,344470,1,1,2
92.071575999,268941,49.31554125231648,281787,106.23408452335177,351521,1,1,2
93.074773762,271041,50.516994655520435,289682,107.97677856587283,351876,1,1,2
94.077520448,274865,51.734861148880796,289682,109.71974262615262,359572,1,1,2
95.079918721,276224,51.9167558511134,303186,111.5457039951039,373017,1,1,2
96.079770478,276224,51.9167558511134,303186,113.0390004968033,373017,1,1,2
97.080155233,276224,51.9167558511134,318638,114.77520524965074,388819,1,1,2
98.079182533,276224,51.9167558511134,329594,116.50362326826163,388819,1,1,2
99.08344848,276224,51.9167558511134,329594,118.23019308510204,399664,1,1,2
100.079833178,276224,51.9167558511134,334100,120.04817195774102,404170,1,1,2
101.080919567,276224,51.9167558511134,334100,121.43034073548469,404170,1,1,2
102.084019214,276224,51.9167558511134,338838,121.69104556458673,408908,1,1,2
103.085089811,276224,51.9167558511134,338838,121.72504198491268,408908,1,1,2
104.083209746,276224,51.9167558511134,338838,121.81979048053054,408908,1,1,2
105.095586916,276224,51.9167558511134,340454,123.44228151955129,410667,1,1,2
