Time Elapsed (s),tb exploration,tb trajectory,human exploration,human trajectory,merged exploration,human detections,tb3 detections,total detections
20.014793293,20286,0.0,5770,0.062276579792588445,26056,0,0,0
21.014899167,20286,0.0,5770,0.062276579792588445,26056,0,0,0
22.015305253,20286,0.0,5770,0.062276579792588445,26056,0,0,0
23.015685796,20286,0.0,5770,0.062276579792588445,26056,0,0,0
24.013800855,20286,0.0,5770,0.062276579792588445,26056,0,0,0
25.014299568,20286,0.0,5770,0.062276579792588445,26056,0,0,0
26.014598506,20286,0.0,5770,0.06415761239088709,26056,0,0,0
27.014296117,20286,0.0,5770,0.07638664758537198,26056,0,0,0
28.014016358,20286,0.0,5770,0.09290041950017819,26056,0,0,0
29.014725295,20286,0.0,5770,0.2216987210368056,26056,0,0,0
30.013980592,20286,0.0,5770,0.3262385724818624,26056,0,0,0
31.013783684,20286,0.0,5770,0.7230680955363916,26056,0,0,0
32.014798786,20286,0.0,5770,2.1339560847177466,26056,0,0,0
33.014860896,20286,0.0,22063,3.8973613154633706,42349,0,0,0
34.015691953,20286,0.0,22063,5.5711100212896625,42349,0,0,0
35.01720339,20286,0.0,36429,7.318956921907751,56715,0,0,0
36.01721934,20286,0.0,36429,9.061919574071219,56715,0,0,0
37.018717601,20286,0.0,42748,10.767348258140018,63026,0,0,0
38.018389074,20286,0.0,48455,12.28160706437284,68115,0,0,0
39.017343964,20286,0.0,48455,14.032161327020525,68115,0,0,0
40.018461907,20286,0.0,56476,15.788336057120677,71995,0,0,0
41.018118966,20286,0.0,56476,17.279873601631948,71995,1,0,1
42.018021498,20286,0.48803811378236367,64247,18.904499221330575,75197,1,1,2
43.024109882,107823,1.621420664446208,68968,20.685643050112002,135598,1,1,2
44.024736483,107823,1.621420664446208,68968,22.39793503410507,135598,1,1,2
45.026208569,107823,1.959485108785813,73331,24.335855457972286,135857,1,1,2
46.025147023,128765,3.1096738621034357,73331,25.914685688642606,150329,1,1,2
47.02702688,146256,4.217855187527371,80162,27.652947022585774,162555,1,1,2
48.03124313,149287,5.4904126610635196,88052,29.318611446018785,164847,1,1,2
49.029793209,152122,6.638470804083685,88052,31.061580322257118,167446,1,1,2
50.029752347,153406,7.823479745948488,96681,32.804541632931574,168907,1,1,2
51.029609827,154451,8.150533894132748,96681,34.79649640611114,169735,1,1,2
52.032310933,154759,9.413674365877096,104350,36.29047194295085,170758,1,1,2
53.033949541,154841,10.7555728111449,111715,38.12526853313012,173528,1,1,2
54.033465201,154855,12.028167777329193,111715,39.862557183547295,173535,1,1,2
55.034046523,155306,13.33363897319275,119107,41.60552007885765,178771,1,1,2
56.037063489,157968,14.611823125127861,119107,43.26549200778068,178918,1,1,2
57.039356742,175971,15.895485829646866,126498,45.18000692416004,194750,1,1,2
58.040918215,187164,17.252976791979663,134061,46.9219956009371,211759,1,1,2
59.040312338,194992,18.540577912808708,134061,48.66373084967787,219147,1,1,2
60.04242878,196186,19.822523758652192,140792,50.40682621928768,227159,1,1,2
61.041553447,196301,20.624094269946166,140792,51.9006566876471,227260,1,1,2
62.044819993,196469,21.773170321571495,148679,53.72621736584359,235203,1,2,3
63.043037755,196496,23.002527327173347,162792,55.46877750632656,249343,1,2,3
64.042208398,196513,24.095702040102065,162792,56.96354898180218,249360,1,2,3
65.043017907,196517,25.23682352898198,176676,58.958193230013705,263211,1,2,3
66.043448592,196538,26.21113222671532,176676,60.45922492015571,263232,1,2,3
67.043198011,196545,27.368804296648264,184218,62.154549130941405,270764,1,2,3
68.050139356,198803,28.520882095196292,188660,64.17994255565506,277456,1,2,3
69.049702387,216416,29.676558625111465,188660,66.03024834668382,295141,1,2,3
70.051552349,216416,30.04357331471592,195441,67.77875920313622,301785,1,2,3
71.051497545,234464,31.240726599435973,195441,69.2734948772757,319833,1,2,3
72.05228523,237004,32.451749419139986,202509,71.2690240751103,329330,1,2,3
73.053387333,238535,33.750393496694706,207445,73.01972970434245,335797,1,2,3
74.0549788,238754,34.55917711713847,207445,74.59669659201016,336016,1,2,3
75.055262189,238766,35.829071322568325,210663,76.36109351918674,339246,1,2,3
76.058823781,239384,37.12890736197527,216890,78.10656377853633,340042,1,2,3
77.071492879,241672,38.371377765414906,216890,79.84952897196167,348485,1,2,3
78.069074315,260765,39.66452735966709,231720,81.59249225831373,382348,1,2,3
79.068351625,270310,40.960340573168885,231720,83.42648498326069,391893,1,2,3
80.071588944,276435,41.774159600882804,248003,85.1826407146241,414263,1,2,3
81.070105991,277010,42.674074053179424,254470,86.69519409147281,414848,1,2,3
82.072628873,277470,43.75610424223319,254470,88.46411300100252,421688,1,2,3
83.072682198,278410,44.983557698609125,259604,90.23261378211873,427762,1,2,3
84.074503964,278925,45.99620077287541,259604,91.90541599150443,428277,1,2,3
85.080390584,281158,47.09229366629247,261847,93.60261560078763,432609,1,2,3
86.082951083,284129,48.23492667410084,264232,95.07044030348771,435580,1,2,3
87.082854915,288444,48.45660693646156,264232,97.05185401600457,442488,1,2,3
88.088861607,293832,49.45713572204851,270342,98.54231556402574,454056,1,2,3
89.083147977,303895,50.691516611456265,270342,100.11685080697475,464119,1,2,3
90.088526061,308369,51.97757686242111,277155,101.84547402677134,475454,1,2,3
91.086720886,309227,53.179025155318,277155,103.50873503884434,476312,1,2,3
92.083276319,310263,54.4569455594296,284508,105.2516977818629,484701,1,2,3
93.086065486,310607,54.55145481468892,290368,106.99653441905119,490918,1,2,3
94.085874596,310607,55.79418516776568,290368,108.48996269886551,490918,1,2,3
95.090373607,311002,57.22669886348422,297677,110.23292599999914,498307,1,2,3
96.093032096,311640,58.62519075259538,297677,112.05888933883713,498747,1,2,3
97.091459909,313495,60.0319624211931,312433,113.79671205389383,514755,1,2,3
98.102397712,324236,61.4695836217033,328809,115.53370431225173,535085,1,2,3
99.102020434,349035,62.32300100217941,328809,117.26802221135756,557236,1,2,3
100.101411791,353919,63.31222631418967,335702,118.9842988732472,574649,1,2,3
101.109196399,357307,64.53086356695437,335702,120.81026027819584,581710,1,2,3
102.102262843,358149,65.0923494542314,340034,121.55421202466434,587253,1,2,3
103.117030959,360109,66.47700733522478,342230,121.71461746240757,591116,1,2,3
104.116841038,360867,67.74784702886427,342230,121.74068486870152,592184,1,2,3
105.123171173,361907,69.10101994965748,344065,122.2480437703248,593532,1,2,3
106.120334555,365567,70.36264420748293,344065,123.9555969907485,596500,2,2,3
107.124118977,368828,71.73644552300372,351992,125.53631238349834,601051,2,2,3
108.128638427,371977,73.1007270489329,351992,127.24262911753485,610826,2,2,3
109.130829248,386316,74.46634525166881,355329,127.82589485487138,623153,2,2,3
110.132104309,393649,74.53987786255024,355329,128.06851705904307,638962,2,2,3
111.135116645,397139,75.5651098391909,355329,128.12768930934652,642452,2,2,3
112.131390227,399645,76.9570462639208,357203,129.14953650464201,643976,2,2,3
113.130607272,401898,78.4253697052638,357203,130.87572105946802,647824,2,2,3
114.131725382,404084,78.7125272134963,360011,132.60728976424866,654079,2,2,3
115.134153818,407183,80.06146178298104,360011,134.09462880046817,654079,2,3,4
116.132428159,417956,81.40255735871327,365123,135.8370660169146,667323,2,3,4
117.137271114,431163,82.84338394689448,365123,137.57550922526175,678888,2,3,4
118.135663321,438378,84.18578326202073,371396,139.0713923960277,692570,2,3,4
119.135623306,453824,85.49123794472848,377555,140.81868696812344,707244,2,3,4
120.135138861,463916,86.62547514138497,377555,142.3128287055973,727940,2,3,4
121.134687303,463916,86.67438425438502,383339,144.05599279457772,737266,2,3,4
122.134380808,466672,87.98893619101037,383339,145.79915688355814,739020,2,3,4
123.136653481,467671,89.40929053302376,391024,147.54232097253856,748337,2,3,4
124.137076048,468108,90.07021584306794,405267,149.03646271001242,749143,2,3,4
125.142226194,470060,91.3469160126044,405267,150.77962679899284,764234,2,3,4
126.141103005,471858,92.69060310787322,419551,152.52278993441894,767136,2,3,4
127.137907406,483410,93.861826200472,419551,154.02248220452958,785272,2,3,4
128.139356365,506508,95.18694427468398,425496,155.65727958551753,811917,2,3,4
129.138994553,511931,95.69996868942307,425496,157.29371352568765,827438,2,3,4
130.139124375,515070,96.19079574276343,428334,158.73890890858377,833415,2,3,4
131.144710752,517251,97.59932913872913,437516,160.3771873750736,833415,2,3,4
132.148072272,518891,97.97807124456587,437516,161.95560448985208,846418,3,3,5
133.140945225,518891,98.09728058336037,450938,163.4352873803255,846418,3,3,5
134.140146412,520122,99.22834745161634,450938,165.06486305116184,861071,3,3,5
135.14127161,522153,100.40091467198275,460788,166.63708148786588,872157,3,3,5
136.144109551,522617,101.18745509010644,460788,168.2036807090506,873416,3,3,5
137.146333658,522950,101.87049916260698,465867,169.90866227412022,878495,3,3,5
138.143165591,523239,103.14692375983257,465867,171.35561833380322,878828,3,3,5
139.14237241,524450,104.29778219810215,475084,173.08474735872844,888753,3,3,5
140.1454633,525752,105.47880538283792,484563,174.60500383919987,889545,3,3,5
141.143165329,528926,106.68446389405678,484563,176.06275851583496,901769,3,3,5
142.144775668,533089,107.90519809839277,491582,177.88839153284005,905616,3,3,5
143.147318284,535088,109.13412627417699,491582,179.23567714549918,914682,3,3,5
144.144007752,539204,110.36851709759354,493760,181.06816850330355,918859,3,3,5
145.145264657,542360,111.32040716128151,493760,182.54490747000858,924927,3,3,5
146.145973656,543228,112.65369292771338,495507,184.20344655713603,927878,3,3,5
147.14686331,544391,113.93849203702776,495886,186.19563523942227,929488,3,3,5
148.14473595,544840,115.30275865285063,495886,187.73202049696386,930583,3,3,5
149.144110657,544982,116.67654027222322,496042,189.35098408525832,930838,3,3,5
150.144956206,545011,117.94632867049758,496042,191.12109674883652,930998,3,3,5
151.144087487,545098,119.17506581929628,496601,192.86426112481507,931632,3,3,5
152.147347889,545159,120.09756479662866,496706,194.62533270144948,931709,3,3,5
153.147194797,545219,121.22541966869942,496706,196.40668542189272,931839,3,3,5
154.144850471,545395,122.31281233361614,496946,198.03014770720202,932037,3,3,5
155.147613392,545420,123.33644106676293,496946,199.77331212856888,932315,3,3,5
156.144637046,545457,123.75000065658924,497186,201.53382420705827,932617,3,3,5
157.143647073,545458,125.07966630177467,497587,203.28272336966006,932618,3,3,5
158.145446748,545458,126.37689039002979,497587,205.03662106959257,933019,3,3,5
159.143955779,545458,127.66310234154003,497918,206.62402372726498,933019,3,3,5
160.146849941,545458,129.01790750327217,497918,208.37105560584544,933350,3,3,5
161.142218718,545458,130.29747375444379,498711,210.11422130303146,934143,3,3,5
162.142547117,545458,131.5209409696029,499605,211.86311715514597,934143,3,3,5
163.148096701,545458,132.81552951123172,499605,213.60628047574457,935037,3,3,5
164.145599639,545468,134.16490485733982,500173,215.35222032722834,935041,3,3,5
165.143737586,545483,135.52930249390369,500173,217.1783922753122,935627,3,3,5
166.14390344,545490,136.87723446332853,500953,218.67253299111857,936417,3,3,5
167.145775312,545494,138.21267580254812,502027,220.66458629341525,936420,3,3,5
168.14166314,545494,139.51941076960549,502027,222.15872628224915,937495,3,3,5
169.144996999,545508,140.79341974920973,503423,223.81928818298212,937496,3,3,5
170.148165569,545508,142.1617463198589,503423,225.47944462904056,938905,3,3,5
171.145412279,545508,143.44930061516274,505714,227.46654346967483,941196,3,3,5
172.145509334,545669,144.917516964875,509015,228.9606820966357,941196,3,3,5
173.14567854,545680,146.193363313626,509015,230.70384891490326,944794,3,3,5
174.149023382,545680,147.41805412306496,514559,232.2809943997101,944794,3,3,5
175.151822345,545691,148.6988822645689,514559,234.27075848773748,950259,3,3,5
176.154588754,545697,149.8716116418644,521395,235.7649001290052,957174,3,3,5
177.157066804,545725,149.8881133071847,521395,237.50806474096453,957208,3,3,5
178.157064088,545725,151.0089488822838,530484,239.24826580320652,966264,3,3,5
179.156918933,546104,152.23503382207386,543643,240.82581853282426,966398,3,3,5
180.156707797,546613,153.38722356811203,543643,242.569652780636,980311,3,3,5
181.159584678,548215,154.56267748724588,555960,244.0637934911751,981037,3,3,5
182.157987257,549945,155.77097831842983,555960,245.79533688815428,994942,3,3,5
183.157505871,550950,156.94919077754057,561166,247.54439078474894,1001107,3,3,5
184.159422492,553520,158.1451941896942,561166,248.92894279946432,1003232,3,3,5
185.160153936,555268,159.1879283345841,561349,250.59702874607223,1004805,3,3,5
186.163522881,559256,160.38801224011158,561379,252.3679448158907,1008631,3,3,5
